AGCJ-105-501,34,18,1,0,0.1,53,3.622,0.2,0.3,0.4,0.5,0.6,53.1,CHIVVIS J,2021
,64.15%,33.96%,1.89%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-105-502,24,13,1,0,1,39.0,3.512,0.0,0.0,0,0.0,0.0,39.0,CHIVVIS J,2021
,61.54%,33.33%,2.56%,0.00%,2.56%,,,,,,,,,,2021
COURSE TOTAL:,58,31,2,0,1,92.0,3.576,0.0,0.0,0,0.0,0.0,92.0,,2021
,63.04%,33.70%,2.17%,0.00%,1.09%,,,,,,,,,,2021
AGCJ-281-500,49,3,0,0,3,55.0,3.727,0.0,0.0,0,0.0,0.0,55.0,DUNSFORD D,2021
,89.09%,5.45%,0.00%,0.00%,5.45%,,,,,,,,,,2021
COURSE TOTAL:,49,3,0,0,3,55.0,3.727,0.0,0.0,0,0.0,0.0,55.0,,2021
,89.09%,5.45%,0.00%,0.00%,5.45%,,,,,,,,,,2021
AGCJ-306-599,14,7,4,0,0,25.0,3.4,0.0,0.0,0,0.0,0.0,25.0,DUNSFORD D,2021
,56.00%,28.00%,16.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,14,7,4,0,0,25.0,3.4,0.0,0.0,0,0.0,0.0,25.0,,2021
,56.00%,28.00%,16.00%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-307-599,19,5,1,0,3,28.0,3.321,0.0,0.0,0,2.0,0.0,30.0,TOPP K,2021
,67.86%,17.86%,3.57%,0.00%,10.71%,,,,,,,,,,2021
AGCJ-307-700,14,6,1,1,0,22.0,3.5,0.0,0.0,0,1.0,0.0,23.0,TOPP K,2021
,63.64%,27.27%,4.55%,4.55%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,33,11,2,1,3,50.0,3.4,0.0,0.0,0,3.0,0.0,53.0,,2021
,66.00%,22.00%,4.00%,2.00%,6.00%,,,,,,,,,,2021
AGCJ-308-501,19,7,1,1,0,28.0,3.571,0.0,0.0,0,1.0,0.0,29.0,KELLETT M,2021
,67.86%,25.00%,3.57%,3.57%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,19,7,1,1,0,28.0,3.571,0.0,0.0,0,1.0,0.0,29.0,,2021
,67.86%,25.00%,3.57%,3.57%,0.00%,,,,,,,,,,2021
AGCJ-312-500,12,13,10,1,4,40.0,2.7,0.0,0.0,0,0.0,0.0,40.0,MCGRATH P,2021
,30.00%,32.50%,25.00%,2.50%,10.00%,,,,,,,,,,2021
COURSE TOTAL:,12,13,10,1,4,40.0,2.7,0.0,0.0,0,0.0,0.0,40.0,,2021
,30.00%,32.50%,25.00%,2.50%,10.00%,,,,,,,,,,2021
AGCJ-313-901,14,6,1,0,0,21.0,3.619,0.0,0.0,0,0.0,0.0,21.0,MCGRATH P,2021
,66.67%,28.57%,4.76%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-313-902,9,7,5,0,0,21.0,3.19,0.0,0.0,0,0.0,0.0,21.0,MCGRATH P,2021
,42.86%,33.33%,23.81%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,23,13,6,0,0,42.0,3.404,0.0,0.0,0,0.0,0.0,42.0,,2021
,54.76%,30.95%,14.29%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-314-901,8,6,0,0,0,14.0,3.571,0.0,0.0,0,0.0,0.0,14.0,DUNSFORD D,2021
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-314-902,4,9,0,0,1,14.0,3.071,0.0,0.0,0,0.0,0.0,14.0,DUNSFORD D,2021
,28.57%,64.29%,0.00%,0.00%,7.14%,,,,,,,,,,2021
COURSE TOTAL:,12,15,0,0,1,28.0,3.321,0.0,0.0,0,0.0,0.0,28.0,,2021
,42.86%,53.57%,0.00%,0.00%,3.57%,,,,,,,,,,2021
AGCJ-404-500,19,1,0,1,0,21.0,3.809,0.0,0.0,0,1.0,0.0,22.0,DUNSFORD D,2021
,90.48%,4.76%,0.00%,4.76%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,19,1,0,1,0,21.0,3.809,0.0,0.0,0,1.0,0.0,22.0,,2021
,90.48%,4.76%,0.00%,4.76%,0.00%,,,,,,,,,,2021
AGCJ-405-501,10,1,1,0,0,12.0,3.75,0.0,0.0,0,0.0,0.0,12.0,ROUSE L,2021
,83.33%,8.33%,8.33%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,10,1,1,0,0,12.0,3.75,0.0,0.0,0,0.0,0.0,12.0,,2021
,83.33%,8.33%,8.33%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-406-500,31,3,1,0,0,35.0,3.857,0.0,0.0,0,0.0,0.0,35.0,SHIPP D,2021
,88.57%,8.57%,2.86%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,31,3,1,0,0,35.0,3.857,0.0,0.0,0,0.0,0.0,35.0,,2021
,88.57%,8.57%,2.86%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-408-700,0,15,5,0,0,20.0,2.75,0.0,0.0,0,0.0,0.0,20.0,WEGENER R,2021
,0.00%,75.00%,25.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,0,15,5,0,0,20.0,2.75,0.0,0.0,0,0.0,0.0,20.0,,2021
,0.00%,75.00%,25.00%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-411-500,8,5,3,0,0,16.0,3.312,0.0,0.0,0,1.0,0.0,17.0,LEGGETTE H,2021
,50.00%,31.25%,18.75%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,5,3,0,0,16.0,3.312,0.0,0.0,0,1.0,0.0,17.0,,2021
,50.00%,31.25%,18.75%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-413-500,3,8,0,0,0,11.0,3.272,0.0,0.0,0,0.0,0.0,11.0,LEGGETTE H,2021
,27.27%,72.73%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,3,8,0,0,0,11.0,3.272,0.0,0.0,0,0.0,0.0,11.0,,2021
,27.27%,72.73%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-481-501,5,6,0,0,0,11.0,3.454,0.0,0.0,0,0.0,0.0,11.0,LEGGETTE H,2021
,45.45%,54.55%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,5,6,0,0,0,11.0,3.454,0.0,0.0,0,0.0,0.0,11.0,,2021
,45.45%,54.55%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AGCJ-494-556,6,1,0,0,0,7.0,3.818,0.0,0.0,0,0.0,0.0,7.0,DUNSFORD D,2021
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,6,1,0,0,0,7.0,3.818,0.0,0.0,0,0.0,0.0,7.0,,2021
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AGSC-302-900,13,3,1,0,0,17.0,3.705,1.0,0.0,0,2.0,0.0,20.0,EDNEY K,2021
,76.47%,17.65%,5.88%,0.00%,0.00%,,,,,,,,,,2021
