BUSH-602-600,11,4,0,0.1,0.2,15,0.000,0.3,0.4,0.5,2,0.6,17,RAISOR C,2021
,73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,11,4,0,0,0,15.0,Error,0.0,0.0,0.0,2.0,0.0,17.0,,2021
,73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,,,,2021
BUSH-631-601,15,3,1,0,0,19.0,3.736,1.0,0.0,0.0,0.0,0.0,20.0,CORTES K,2021
,78.95%,15.79%,5.26%,0.00%,0.00%,,,,,,,,,,2021
BUSH-631-602,11,2,2,0,0,15.0,3.600,0.0,0.0,0.0,1.0,0.0,16.0,LAHEY J,2021
,73.33%,13.33%,13.33%,0.00%,0.00%,,,,,,,,,,2021
BUSH-631-603,19,3,0,0,0,22.0,3.863,0.0,0.0,0.0,0.0,0.0,22.0,CORTES K,2021
,86.36%,13.64%,0.00%,0.00%,0.00%,,,,,,,,,,2021
BUSH-631-604,10,3,1,0,1,15.0,3.400,0.0,0.0,0.0,0.0,0.0,15.0,LAHEY J,2021
,66.67%,20.00%,6.67%,0.00%,6.67%,,,,,,,,,,2021
BUSH-631-607,16,3,0,0,0,19.0,3.842,0.0,0.0,0.0,0.0,0.0,19.0,DVIR R,2021
,84.21%,15.79%,0.00%,0.00%,0.00%,,,,,,,,,,2021
BUSH-631-700,23,1,0,0,0,24.0,3.958,0.0,0.0,0.0,0.0,0.0,24.0,NAKAMURA B,2021
,95.83%,4.17%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,94,15,4,0,1,114.0,3.763,1.0,0.0,0.0,1.0,0.0,116.0,,2021
,82.46%,13.16%,3.51%,0.00%,0.88%,,,,,,,,,,2021
DEPARTMENT TOTAL:,105,19,4,0,1,129.0,3.763,1.0,0.0,0.0,3.0,0.0,133.0,,2021
,81.40%,14.73%,3.10%,0.00%,0.78%,,,,,,,,,,2021
INTA-603-601,9,0,0,0,0,9.0,4.000,0.0,0.0,0.0,0.0,0.0,9.0,NAPPER L,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-603-602,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,NAPPER L,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,17,0,0,0,0,17.0,4.000,0.0,0.0,0.0,0.0,0.0,17.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-604-600,5,7,0,0,0,12.0,3.416,0.0,0.0,0.0,0.0,0.0,12.0,TABAAR M,2021
,41.67%,58.33%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,5,7,0,0,0,12.0,3.416,0.0,0.0,0.0,0.0,0.0,12.0,,2021
,41.67%,58.33%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-605-601,21,2,0,0,0,23.0,3.913,0.0,0.0,0.0,0.0,0.0,23.0,LAYNE C,2021
,91.30%,8.70%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-605-602,18,6,0,0,0,24.0,3.750,0.0,0.0,0.0,0.0,0.0,24.0,TEAGUE A,2021
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-605-700,6,5,0,0,0,11.0,3.545,1.0,0.0,0.0,2.0,0.0,14.0,TALBOT B,2021
,54.55%,45.45%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,45,13,0,0,0,58.0,3.775,1.0,0.0,0.0,2.0,0.0,61.0,,2021
,77.59%,22.41%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-606-601,15,6,0,0,0,21.0,3.714,0.0,0.0,0.0,0.0,0.0,21.0,SCHUESSLER J,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-606-602,11,11,0,0,0,22.0,3.500,0.0,0.0,0.0,0.0,0.0,22.0,SCHUESSLER J,2021
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-606-603,19,1,0,0,0,20.0,3.950,0.0,0.0,0.0,0.0,0.0,20.0,MARIN THORNTON G,2021
,95.00%,5.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-606-604,8,1,1,0,0,10.0,3.700,0.0,0.0,0.0,0.0,0.0,10.0,WEBER Y,2021
,80.00%,10.00%,10.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,53,19,1,0,0,73.0,3.712,0.0,0.0,0.0,0.0,0.0,73.0,,2021
,72.60%,26.03%,1.37%,0.00%,0.00%,,,,,,,,,,2021
INTA-608-600,23,5,0,0,0,28.0,3.821,0.0,0.0,0.0,1.0,0.0,29.0,MU R,2021
,82.14%,17.86%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-608-601,10,14,2,1,1,28.0,3.107,0.0,0.0,0.0,3.0,0.0,31.0,ROBERTSON R,2021
,35.71%,50.00%,7.14%,3.57%,3.57%,,,,,,,,,,2021
INTA-608-602,20,9,0,0,0,29.0,3.689,0.0,0.0,0.0,0.0,0.0,29.0,MU R,2021
,68.97%,31.03%,0.00%,0.00%,0.00%,,,,,,,,,,2021
INTA-608-603,8,1,0,0,0,9.0,3.888,0.0,0.0,0.0,0.0,1.0,10.0,ZONGYUAN L,2021
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,61,29,2,1,1,94.0,3.574,0.0,0.0,0.0,4.0,1.0,99.0,,2021
,64.89%,30.85%,2.13%,1.06%,1.06%,,,,,,,,,,2021
INTA-609-600,11,3,0,0,0,14.0,3.785,1.0,0.0,0.0,0.0,0.0,15.0,SIEVERT R,2021
,78.57%,21.43%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,11,3,0,0,0,14.0,3.785,1.0,0.0,0.0,0.0,0.0,15.0,,2021
,78.57%,21.43%,0.00%,0.00%,0.00%,,,,,,,,,,2021
