ASCC-101-502,6,8,3,0,0.1,17,3.176,0.2,0.3,0.4,0.5,0.6,17.1,JONES M,2021
,35.29%,47.06%,17.65%,0.00%,0.00%,,,,,,,,,,2021
ASCC-101-503,12,4,2,0,0,18.0,3.555,1.0,0.0,0.0,0.0,0.0,19.0,MCCLURE M,2021
,66.67%,22.22%,11.11%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,18,12,5,0,0,35.0,3.371,1.0,0.0,0.0,0.0,0.0,36.0,,2021
,51.43%,34.29%,14.29%,0.00%,0.00%,,,,,,,,,,2021
DEPARTMENT TOTAL:,18,12,5,0,0,35.0,3.371,1.0,0.0,0.0,0.0,0.0,36.0,,2021
,51.43%,34.29%,14.29%,0.00%,0.00%,,,,,,,,,,2021
COLLEGE TOTAL:,18,12,5,0,0,35.0,3.371,1.0,0.0,0.0,0.0,0.0,36.0,,2021
,51.43%,34.29%,14.29%,0.00%,0.00%,,,,,,,,,,2021
