OBIO-610-600,19,0,0.1,0.2,0.3,19.1,4.000,0.4,0.5,0.6,0.7,0.8,19.2,LIU X,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,19,0,0,0,0,19.0,4.000,0.0,0.0,0.0,0.0,0.0,19.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
OBIO-611-600,19,15,3,0,0,37.0,3.432,0.0,0.0,0.0,0.0,0.0,37.0,BUSCHANG P,2021
,51.35%,40.54%,8.11%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,19,15,3,0,0,37.0,3.432,0.0,0.0,0.0,0.0,0.0,37.0,,2021
,51.35%,40.54%,8.11%,0.00%,0.00%,,,,,,,,,,2021
OBIO-630-600,18,2,2,0,0,22.0,3.629,0.0,0.0,0.0,0.0,0.0,22.0,RUEST L,2021
,81.82%,9.09%,9.09%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,18,2,2,0,0,22.0,3.629,0.0,0.0,0.0,0.0,0.0,22.0,,2021
,81.82%,9.09%,9.09%,0.00%,0.00%,,,,,,,,,,2021
OBIO-631-600,24,4,1,0,0,29.0,3.764,0.0,0.0,0.0,0.0,0.0,29.0,RUEST L,2021
,82.76%,13.79%,3.45%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,24,4,1,0,0,29.0,3.764,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,82.76%,13.79%,3.45%,0.00%,0.00%,,,,,,,,,,2021
OBIO-674-600,9,0,0,0,0,9.0,4.000,0.0,0.0,0.0,0.0,0.0,9.0,NEWMAN J,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,9,0,0,0,0,9.0,4.000,0.0,0.0,0.0,0.0,0.0,9.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
OBIO-687-600,4,1,0,0,0,5.0,3.857,0.0,0.0,0.0,0.0,0.0,5.0,RUEST L,2021
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,4,1,0,0,0,5.0,3.857,0.0,0.0,0.0,0.0,0.0,5.0,,2021
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DEPARTMENT TOTAL:,93,22,6,0,0,121.0,3.643,0.0,0.0,0.0,0.0,0.0,121.0,,2021
,76.86%,18.18%,4.96%,0.00%,0.00%,,,,,,,,,,2021
AEGD-601-600,8,0,0,0,0,8.0,0.000,0.0,0.0,0.0,0.0,0.0,8.0,ZANDINEJAD A,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,0,0,0,0,8.0,Error,0.0,0.0,0.0,0.0,0.0,8.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AEGD-607-600,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,ZANDINEJAD A,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AEGD-611-600,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,ZANDINEJAD A,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AEGD-614-600,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,GOYDAN D,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AEGD-616-600,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,ZANDINEJAD A,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AEGD-619-600,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,ZANDINEJAD A,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DEPARTMENT TOTAL:,48,0,0,0,0,48.0,4.000,0.0,0.0,0.0,0.0,0.0,48.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DDHS-3110-500,21,9,0,0,0,30.0,3.700,0.0,0.0,0.0,0.0,0.0,30.0,FOX E,2021
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,21,9,0,0,0,30.0,3.700,0.0,0.0,0.0,0.0,0.0,30.0,,2021
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DDHS-3120-500,20,8,0,1,0,29.0,3.620,0.0,0.0,0.0,0.0,0.0,29.0,FOX E,2021
,68.97%,27.59%,0.00%,3.45%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,20,8,0,1,0,29.0,3.620,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,68.97%,27.59%,0.00%,3.45%,0.00%,,,,,,,,,,2021
DDHS-3160-500,13,16,1,0,0,30.0,3.400,0.0,0.0,0.0,0.0,0.0,30.0,VU M,2021
,43.33%,53.33%,3.33%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,13,16,1,0,0,30.0,3.400,0.0,0.0,0.0,0.0,0.0,30.0,,2021
,43.33%,53.33%,3.33%,0.00%,0.00%,,,,,,,,,,2021
DDHS-3250-500,10,13,4,1,1,29.0,3.034,0.0,0.0,0.0,0.0,0.0,29.0,LU Y,2021
,34.48%,44.83%,13.79%,3.45%,3.45%,,,,,,,,,,2021
COURSE TOTAL:,10,13,4,1,1,29.0,3.034,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,34.48%,44.83%,13.79%,3.45%,3.45%,,,,,,,,,,2021
DDHS-3425-500,6,20,3,1,0,30.0,3.033,0.0,0.0,0.0,0.0,0.0,30.0,COTTER J,2021
,20.00%,66.67%,10.00%,3.33%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,6,20,3,1,0,30.0,3.033,0.0,0.0,0.0,0.0,0.0,30.0,,2021
,20.00%,66.67%,10.00%,3.33%,0.00%,,,,,,,,,,2021
DDHS-4015-500,14,13,2,0,0,29.0,3.413,0.0,0.0,0.0,0.0,0.0,29.0,ABRAHAM C,2021
,48.28%,44.83%,6.90%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,14,13,2,0,0,29.0,3.413,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,48.28%,44.83%,6.90%,0.00%,0.00%,,,,,,,,,,2021
DDHS-4025-500,18,10,1,0,0,29.0,3.586,0.0,0.0,0.0,0.0,0.0,29.0,PATEL P,2021
,62.07%,34.48%,3.45%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,18,10,1,0,0,29.0,3.586,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,62.07%,34.48%,3.45%,0.00%,0.00%,,,,,,,,,,2021
DDHS-4140-500,25,3,1,0,0,29.0,3.827,0.0,0.0,0.0,0.0,0.0,29.0,REED K,2021
,86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,25,3,1,0,0,29.0,3.827,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,,,,2021
DDHS-4210-500,29,0,0,0,0,29.0,4.000,0.0,0.0,0.0,0.0,0.0,29.0,SIMONS P,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,29,0,0,0,0,29.0,4.000,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DDHS-4410-500,29,0,0,0,0,29.0,4.000,0.0,0.0,0.0,0.0,0.0,29.0,WYATT L,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,29,0,0,0,0,29.0,4.000,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DDHS-4610-500,15,13,1,0,0,29.0,3.482,0.0,0.0,0.0,0.0,0.0,29.0,ABRAHAM C,2021
,51.72%,44.83%,3.45%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,15,13,1,0,0,29.0,3.482,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,51.72%,44.83%,3.45%,0.00%,0.00%,,,,,,,,,,2021
DDHS-4620-500,15,14,0,0,0,29.0,3.517,0.0,0.0,0.0,0.0,0.0,29.0,BROWN M,2021
,51.72%,48.28%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,15,14,0,0,0,29.0,3.517,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,51.72%,48.28%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DDHS-4715-500,13,13,3,0,0,29.0,3.344,0.0,0.0,0.0,0.0,0.0,29.0,KABANI F,2021
,44.83%,44.83%,10.34%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,13,13,3,0,0,29.0,3.344,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,44.83%,44.83%,10.34%,0.00%,0.00%,,,,,,,,,,2021
DEPARTMENT TOTAL:,228,132,16,3,1,380.0,3.451,0.0,0.0,0.0,0.0,0.0,380.0,,2021
,60.00%,34.74%,4.21%,0.79%,0.26%,,,,,,,,,,2021
OMFS-610-600,11,0,0,0,0,11.0,4.000,0.0,0.0,0.0,0.0,0.0,11.0,HENDERSON B,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,11,0,0,0,0,11.0,4.000,0.0,0.0,0.0,0.0,0.0,11.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
OMFS-650-600,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,REDDY L,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,0,0,0,0,8.0,4.000,0.0,0.0,0.0,0.0,0.0,8.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DEPARTMENT TOTAL:,19,0,0,0,0,19.0,4.000,0.0,0.0,0.0,0.0,0.0,19.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
ORTH-602-600,6,0,0,0,0,6.0,0.000,0.0,0.0,0.0,0.0,0.0,6.0,POLSON J,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
