CEHD-603-600,9,1,0,0.1,0.2,10,3.900,0.3,0.4,0.5,0.6,0.7,10.1,GOODSON P,2021
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,9,1,0,0,0,10.0,3.9,0,0.0,0.0,0.0,0.0,10.0,,2021
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DEPARTMENT TOTAL:,9,1,0,0,0,10.0,3.9,0,0.0,0.0,0.0,0.0,10.0,,2021
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-601-601,14,1,0,0,0,15.0,3.933,0,0.0,0.0,1.0,0.0,16.0,HAYNES DAVISON C,2021
,93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,14,1,0,0,0,15.0,3.933,0,0.0,0.0,1.0,0.0,16.0,,2021
,93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-605-700,8,1,0,0,0,9.0,3.888,0,0.0,0.0,0.0,0.0,9.0,HOLLEY S,2021
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,1,0,0,0,9.0,3.888,0,0.0,0.0,0.0,0.0,9.0,,2021
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-606-700,9,0,0,0,0,9.0,4.0,0,0.0,0.0,0.0,0.0,9.0,FAHRENWALD C,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-606-701,36,3,1,0,0,40.0,3.875,0,0.0,0.0,0.0,0.0,40.0,FAHRENWALD C,2021
,90.00%,7.50%,2.50%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,45,3,1,0,0,49.0,3.897,0,0.0,0.0,0.0,0.0,49.0,,2021
,91.84%,6.12%,2.04%,0.00%,0.00%,,,,,,,,,,2021
EDAD-608-700,6,3,1,0,0,10.0,3.5,0,0.0,0.0,0.0,0.0,10.0,SAAVEDRA A,2021
,60.00%,30.00%,10.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,6,3,1,0,0,10.0,3.5,0,0.0,0.0,0.0,0.0,10.0,,2021
,60.00%,30.00%,10.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-610-600,15,0,0,0,0,15.0,4.0,0,0.0,0.0,0.0,0.0,15.0,BROWN J,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,15,0,0,0,0,15.0,4.0,0,0.0,0.0,0.0,0.0,15.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-611-600,12,4,0,0,0,16.0,3.75,4,0.0,0.0,0.0,0.0,20.0,MUSOBA G,2021
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,12,4,0,0,0,16.0,3.75,4,0.0,0.0,0.0,0.0,20.0,,2021
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-618-600,11,0,0,0,1,12.0,3.666,0,0.0,0.0,0.0,0.0,12.0,LECHUGA V,2021
,91.67%,0.00%,0.00%,0.00%,8.33%,,,,,,,,,,2021
COURSE TOTAL:,11,0,0,0,1,12.0,3.666,0,0.0,0.0,0.0,0.0,12.0,,2021
,91.67%,0.00%,0.00%,0.00%,8.33%,,,,,,,,,,2021
EDAD-623-600,15,0,0,0,0,15.0,4.0,0,0.0,0.0,0.0,0.0,15.0,ROUMELL E,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,15,0,0,0,0,15.0,4.0,0,0.0,0.0,0.0,0.0,15.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-624-700,10,0,0,0,0,10.0,4.0,0,0.0,0.0,0.0,0.0,10.0,FAHRENWALD C,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,10,0,0,0,0,10.0,4.0,0,0.0,0.0,0.0,0.0,10.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-631-600,14,0,0,0,0,14.0,4.0,0,0.0,0.0,0.0,0.0,14.0,MUSOBA G,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,14,0,0,0,0,14.0,4.0,0,0.0,0.0,0.0,0.0,14.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-638-701,43,7,0,0,0,50.0,3.86,0,0.0,0.0,0.0,0.0,50.0,WEBB-JOHNSON G,2021
,86.00%,14.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,43,7,0,0,0,50.0,3.86,0,0.0,0.0,0.0,0.0,50.0,,2021
,86.00%,14.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-639-600,9,2,0,0,0,11.0,3.818,0,0.0,0.0,1.0,0.0,12.0,LECHUGA V,2021
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-639-601,12,1,0,0,0,13.0,3.923,0,0.0,0.0,1.0,0.0,14.0,JAMES GALLAWAY C,2021
,92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,,2021
EDAD-639-700,19,0,0,0,0,19.0,4.0,0,0.0,0.0,0.0,0.0,19.0,FAHRENWALD C,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,40,3,0,0,0,43.0,3.93,0,0.0,0.0,2.0,0.0,45.0,,2021
