AERO-201-200,5,13,7,0,0.1,25,2.920,0.2,0.3,0.4,0.5,0.6,25.1,SHRYOCK K,2021
,20.00%,52.00%,28.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-201-201,4,15,5,0,0,24.0,2.958,0.0,0.0,0,1.0,0.0,25.0,SHRYOCK K,2021
,16.67%,62.50%,20.83%,0.00%,0.00%,,,,,,,,,,2021
AERO-201-500,6,23,14,1,1,45.0,2.711,0.0,0.0,0,0.0,0.0,45.0,SHRYOCK K,2021
,13.33%,51.11%,31.11%,2.22%,2.22%,,,,,,,,,,2021
AERO-201-501,6,15,8,4,0,33.0,2.696,0.0,0.0,0,2.0,0.0,35.0,SHRYOCK K,2021
,18.18%,45.45%,24.24%,12.12%,0.00%,,,,,,,,,,2021
AERO-201-502,2,13,10,3,1,29.0,2.413,0.0,0.0,0,2.0,0.0,31.0,VALASEK J,2021
,6.90%,44.83%,34.48%,10.34%,3.45%,,,,,,,,,,2021
AERO-201-503,1,7,9,9,3,29.0,1.793,0.0,0.0,0,4.0,0.0,33.0,VALASEK J,2021
,3.45%,24.14%,31.03%,31.03%,10.34%,,,,,,,,,,2021
AERO-201-504,2,11,14,3,1,31.0,2.322,0.0,0.0,0,2.0,0.0,33.0,VALASEK J,2021
,6.45%,35.48%,45.16%,9.68%,3.23%,,,,,,,,,,2021
COURSE TOTAL:,26,97,67,20,6,216.0,2.541,0.0,0.0,0,11.0,0.0,227.0,,2021
,12.04%,44.91%,31.02%,9.26%,2.78%,,,,,,,,,,2021
AERO-211-200,31,15,1,0,0,47.0,3.638,0.0,0.0,0,0.0,0.0,47.0,MOBLE B,2021
,65.96%,31.91%,2.13%,0.00%,0.00%,,,,,,,,,,2021
AERO-211-500,24,16,7,0,0,47.0,3.361,0.0,0.0,0,1.0,0.0,48.0,MOBLE B,2021
,51.06%,34.04%,14.89%,0.00%,0.00%,,,,,,,,,,2021
AERO-211-501,5,11,13,2,1,32.0,2.531,0.0,0.0,0,1.0,0.0,33.0,BHATTACHARYA R,2021
,15.63%,34.38%,40.63%,6.25%,3.13%,,,,,,,,,,2021
AERO-211-504,30,34,20,3,2,89.0,2.977,0.0,0.0,0,3.0,0.0,92.0,GUZMAN F,2021
,33.71%,38.20%,22.47%,3.37%,2.25%,,,,,,,,,,2021
COURSE TOTAL:,90,76,41,5,3,215.0,3.139,0.0,0.0,0,5.0,0.0,220.0,,2021
,41.86%,35.35%,19.07%,2.33%,1.40%,,,,,,,,,,2021
AERO-212-200,8,14,2,0,0,24.0,3.25,0.0,0.0,0,5.0,0.0,29.0,BOYD J,2021
,33.33%,58.33%,8.33%,0.00%,0.00%,,,,,,,,,,2021
AERO-212-500,4,13,16,3,1,37.0,2.432,0.0,0.0,0,31.0,0.0,68.0,BOYD J,2021
,10.81%,35.14%,43.24%,8.11%,2.70%,,,,,,,,,,2021
AERO-212-502,7,20,17,2,3,49.0,2.53,0.0,0.0,0,48.0,0.0,97.0,BOYD J,2021
,14.29%,40.82%,34.69%,4.08%,6.12%,,,,,,,,,,2021
COURSE TOTAL:,19,47,35,5,4,110.0,2.654,0.0,0.0,0,84.0,0.0,194.0,,2021
,17.27%,42.73%,31.82%,4.55%,3.64%,,,,,,,,,,2021
AERO-214-500,1,9,6,2,2,20.0,2.25,0.0,0.0,0,0.0,0.0,20.0,NARAGHI M,2021
,5.00%,45.00%,30.00%,10.00%,10.00%,,,,,,,,,,2021
AERO-214-501,1,3,8,3,1,16.0,2.0,0.0,0.0,0,1.0,0.0,17.0,NARAGHI M,2021
,6.25%,18.75%,50.00%,18.75%,6.25%,,,,,,,,,,2021
AERO-214-502,2,6,5,2,0,15.0,2.533,0.0,0.0,0,0.0,0.0,15.0,NARAGHI M,2021
,13.33%,40.00%,33.33%,13.33%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,4,18,19,7,3,51.0,2.254,0.0,0.0,0,1.0,0.0,52.0,,2021
,7.84%,35.29%,37.25%,13.73%,5.88%,,,,,,,,,,2021
AERO-222-500,11,12,6,1,0,30.0,3.1,0.0,0.0,0,1.0,0.0,31.0,MORTARI D,2021
,36.67%,40.00%,20.00%,3.33%,0.00%,,,,,,,,,,2021
AERO-222-501,10,9,8,0,1,28.0,2.964,0.0,0.0,0,2.0,0.0,30.0,MORTARI D,2021
,35.71%,32.14%,28.57%,0.00%,3.57%,,,,,,,,,,2021
COURSE TOTAL:,21,21,14,1,1,58.0,3.034,0.0,0.0,0,3.0,0.0,61.0,,2021
,36.21%,36.21%,24.14%,1.72%,1.72%,,,,,,,,,,2021
AERO-301-200,13,7,1,0,0,21.0,3.571,0.0,0.0,0,0.0,0.0,21.0,TROPINA A,2021
,61.90%,33.33%,4.76%,0.00%,0.00%,,,,,,,,,,2021
AERO-301-500,37,16,8,2,0,63.0,3.396,0.0,0.0,0,2.0,0.0,65.0,TROPINA A,2021
,58.73%,25.40%,12.70%,3.17%,0.00%,,,,,,,,,,2021
AERO-301-501,23,18,14,0,2,57.0,3.052,0.0,0.0,0,0.0,0.0,57.0,STRGANAC T,2021
,40.35%,31.58%,24.56%,0.00%,3.51%,,,,,,,,,,2021
COURSE TOTAL:,73,41,23,2,2,141.0,3.283,0.0,0.0,0,2.0,0.0,143.0,,2021
,51.77%,29.08%,16.31%,1.42%,1.42%,,,,,,,,,,2021
AERO-303-500,8,13,13,6,2,42.0,2.452,0.0,0.0,0,1.0,0.0,43.0,REED H,2021
,19.05%,30.95%,30.95%,14.29%,4.76%,,,,,,,,,,2021
COURSE TOTAL:,8,13,13,6,2,42.0,2.452,0.0,0.0,0,1.0,0.0,43.0,,2021
,19.05%,30.95%,30.95%,14.29%,4.76%,,,,,,,,,,2021
AERO-304-200,8,2,0,0,0,10.0,3.8,0.0,0.0,0,0.0,0.0,10.0,BENZERGA A,2021
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-304-500,15,20,10,4,2,51.0,2.823,0.0,0.0,0,7.0,0.0,58.0,BENZERGA A,2021
,29.41%,39.22%,19.61%,7.84%,3.92%,,,,,,,,,,2021
AERO-304-501,19,40,10,7,0,76.0,2.934,0.0,0.0,0,8.0,0.0,84.0,TALREJA R,2021
,25.00%,52.63%,13.16%,9.21%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,42,62,20,11,2,137.0,2.956,0.0,0.0,0,15.0,0.0,152.0,,2021
,30.66%,45.26%,14.60%,8.03%,1.46%,,,,,,,,,,2021
AERO-306-500,2,13,18,4,1,38.0,2.289,0.0,0.0,0,2.0,0.0,40.0,WHITCOMB J,2021
,5.26%,34.21%,47.37%,10.53%,2.63%,,,,,,,,,,2021
AERO-306-502,31,14,1,2,0,48.0,3.541,0.0,0.0,0,1.0,0.0,49.0,STROUBOULIS T,2021
,64.58%,29.17%,2.08%,4.17%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,33,27,19,6,1,86.0,2.988,0.0,0.0,0,3.0,0.0,89.0,,2021
,38.37%,31.40%,22.09%,6.98%,1.16%,,,,,,,,,,2021
AERO-307-900,18,1,0,0,0,19.0,3.947,0.0,0.0,0,0.0,0.0,19.0,JACKSON S,2021
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-307-901,17,2,0,0,0,19.0,3.894,0.0,0.0,0,0.0,0.0,19.0,JACKSON S,2021
,89.47%,10.53%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-307-902,9,8,1,0,0,18.0,3.444,0.0,0.0,0,1.0,0.0,19.0,JACKSON S,2021
,50.00%,44.44%,5.56%,0.00%,0.00%,,,,,,,,,,2021
AERO-307-903,11,5,5,0,0,21.0,3.285,0.0,0.0,0,0.0,0.0,21.0,JACKSON S,2021
,52.38%,23.81%,23.81%,0.00%,0.00%,,,,,,,,,,2021
AERO-307-904,15,2,0,0,0,17.0,3.882,0.0,0.0,0,2.0,0.0,19.0,JACKSON S,2021
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-307-905,13,2,2,0,0,17.0,3.647,0.0,0.0,0,1.0,0.0,18.0,JACKSON S,2021
,76.47%,11.76%,11.76%,0.00%,0.00%,,,,,,,,,,2021
AERO-307-906,11,5,0,0,0,16.0,3.687,0.0,0.0,0,0.0,0.0,16.0,JACKSON S,2021
,68.75%,31.25%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,94,25,8,0,0,127.0,3.677,0.0,0.0,0,4.0,0.0,131.0,,2021
,74.02%,19.69%,6.30%,0.00%,0.00%,,,,,,,,,,2021
AERO-310-500,32,31,11,3,1,78.0,3.153,0.0,0.0,0,2.0,0.0,80.0,MAJJI M,2021
,41.03%,39.74%,14.10%,3.85%,1.28%,,,,,,,,,,2021
AERO-310-501,19,27,4,2,0,52.0,3.211,0.0,0.0,0,28.0,0.0,80.0,CHAKRAVORTY S,2021
,36.54%,51.92%,7.69%,3.85%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,51,58,15,5,1,130.0,3.176,0.0,0.0,0,30.0,0.0,160.0,,2021
,39.23%,44.62%,11.54%,3.85%,0.77%,,,,,,,,,,2021
AERO-321-500,5,23,33,5,5,71.0,2.253,0.0,0.0,0,6.0,0.0,77.0,VADALI S,2021
,7.04%,32.39%,46.48%,7.04%,7.04%,,,,,,,,,,2021
COURSE TOTAL:,5,23,33,5,5,71.0,2.253,0.0,0.0,0,6.0,0.0,77.0,,2021
,7.04%,32.39%,46.48%,7.04%,7.04%,,,,,,,,,,2021
AERO-351-500,1,5,16,0,2,24.0,2.125,0.0,0.0,0,17.0,0.0,41.0,CIZMAS P,2021
,4.17%,20.83%,66.67%,0.00%,8.33%,,,,,,,,,,2021
COURSE TOTAL:,1,5,16,0,2,24.0,2.125,0.0,0.0,0,17.0,0.0,41.0,,2021
,4.17%,20.83%,66.67%,0.00%,8.33%,,,,,,,,,,2021
AERO-401-931,77,7,1,0,2,87.0,3.804,0.0,0.0,0,0.0,0.0,87.0,WORSHAM B,2021
,88.51%,8.05%,1.15%,0.00%,2.30%,,,,,,,,,,2021
AERO-401-932,87,4,0,0,0,91.0,3.956,0.0,0.0,0,1.0,0.0,92.0,WORSHAM B,2021
,95.60%,4.40%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,164,11,1,0,2,178.0,3.882,0.0,0.0,0,1.0,0.0,179.0,,2021
,92.13%,6.18%,0.56%,0.00%,1.12%,,,,,,,,,,2021
AERO-405-500,9,10,2,0,0,21.0,3.333,0.0,0.0,0,0.0,0.0,21.0,HARTL D,2021
,42.86%,47.62%,9.52%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,9,10,2,0,0,21.0,3.333,0.0,0.0,0,0.0,0.0,21.0,,2021
,42.86%,47.62%,9.52%,0.00%,0.00%,,,,,,,,,,2021
AERO-413-501,27,38,20,7,0,92.0,2.923,0.0,0.0,0,0.0,0.0,92.0,WONG Z,2021
,29.35%,41.30%,21.74%,7.61%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,27,38,20,7,0,92.0,2.923,0.0,0.0,0,0.0,0.0,92.0,,2021
,29.35%,41.30%,21.74%,7.61%,0.00%,,,,,,,,,,2021
AERO-414-500,10,4,1,0,0,15.0,3.6,0.0,0.0,0,0.0,0.0,15.0,DIAZ ARTILES A,2021
,66.67%,26.67%,6.67%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,10,4,1,0,0,15.0,3.6,0.0,0.0,0,0.0,0.0,15.0,,2021
,66.67%,26.67%,6.67%,0.00%,0.00%,,,,,,,,,,2021
AERO-419-500,19,23,4,2,0,48.0,3.229,0.0,0.0,0,0.0,0.0,48.0,KARPETIS A,2021
,39.58%,47.92%,8.33%,4.17%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,19,23,4,2,0,48.0,3.229,0.0,0.0,0,0.0,0.0,48.0,,2021
,39.58%,47.92%,8.33%,4.17%,0.00%,,,,,,,,,,2021
AERO-420-500,9,5,5,1,0,20.0,3.1,0.0,0.0,0,0.0,0.0,20.0,STRGANAC T,2021
,45.00%,25.00%,25.00%,5.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,9,5,5,1,0,20.0,3.1,0.0,0.0,0,0.0,0.0,20.0,,2021
,45.00%,25.00%,25.00%,5.00%,0.00%,,,,,,,,,,2021
AERO-422-500,39,27,9,4,0,79.0,3.278,0.0,0.0,0,0.0,0.0,79.0,DESHPANDE V,2021
,49.37%,34.18%,11.39%,5.06%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,39,27,9,4,0,79.0,3.278,0.0,0.0,0,0.0,0.0,79.0,,2021
,49.37%,34.18%,11.39%,5.06%,0.00%,,,,,,,,,,2021
AERO-423-500,22,20,6,0,4,52.0,3.076,0.0,0.0,0,1.0,0.0,53.0,ALFRIEND K,2021
,42.31%,38.46%,11.54%,0.00%,7.69%,,,,,,,,,,2021
AERO-423-501,39,25,9,2,0,75.0,3.346,0.0,0.0,0,0.0,0.0,75.0,CHAMITOFF G,2021
,52.00%,33.33%,12.00%,2.67%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,61,45,15,2,4,127.0,3.236,0.0,0.0,0,1.0,0.0,128.0,,2021
,48.03%,35.43%,11.81%,1.57%,3.15%,,,,,,,,,,2021
AERO-424-500,10,8,3,0,0,21.0,3.333,0.0,0.0,0,1.0,0.0,22.0,SELVA VALERO D,2021
,47.62%,38.10%,14.29%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,10,8,3,0,0,21.0,3.333,0.0,0.0,0,1.0,0.0,22.0,,2021
,47.62%,38.10%,14.29%,0.00%,0.00%,,,,,,,,,,2021
AERO-428-500,8,1,0,0,0,9.0,3.888,0.0,0.0,0,0.0,0.0,9.0,CHAKRAVORTY S,2021
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,1,0,0,0,9.0,3.888,0.0,0.0,0,0.0,0.0,9.0,,2021
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-430-500,26,12,6,1,1,46.0,3.326,0.0,0.0,0,5.0,0.0,51.0,STROUBOULIS T,2021
,56.52%,26.09%,13.04%,2.17%,2.17%,,,,,,,,,,2021
COURSE TOTAL:,26,12,6,1,1,46.0,3.326,0.0,0.0,0,5.0,0.0,51.0,,2021
,56.52%,26.09%,13.04%,2.17%,2.17%,,,,,,,,,,2021
AERO-435-500,10,4,0,0,0,14.0,3.714,0.0,0.0,0,0.0,0.0,14.0,LIMBACH C,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,10,4,0,0,0,14.0,3.714,0.0,0.0,0,0.0,0.0,14.0,,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-452-500,21,26,14,1,4,66.0,2.893,0.0,0.0,0,3.0,0.0,69.0,DONZIS D,2021
,31.82%,39.39%,21.21%,1.52%,6.06%,,,,,,,,,,2021
COURSE TOTAL:,21,26,14,1,4,66.0,2.893,0.0,0.0,0,3.0,0.0,69.0,,2021
,31.82%,39.39%,21.21%,1.52%,6.06%,,,,,,,,,,2021
AERO-455-500,12,22,2,0,0,36.0,3.277,0.0,0.0,0,0.0,0.0,36.0,MOBLE B,2021
,33.33%,61.11%,5.56%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,12,22,2,0,0,36.0,3.277,0.0,0.0,0,0.0,0.0,36.0,,2021
,33.33%,61.11%,5.56%,0.00%,0.00%,,,,,,,,,,2021
AERO-472-500,10,16,16,5,1,48.0,2.604,0.0,0.0,0,4.0,0.0,52.0,WHITE E,2021
,20.83%,33.33%,33.33%,10.42%,2.08%,,,,,,,,,,2021
COURSE TOTAL:,10,16,16,5,1,48.0,2.604,0.0,0.0,0,4.0,0.0,52.0,,2021
,20.83%,33.33%,33.33%,10.42%,2.08%,,,,,,,,,,2021
AERO-485-510,6,0,0,0,0,6.0,4.0,0.0,0.0,0,0.0,0.0,6.0,SHRYOCK K,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-485-511,8,0,0,0,0,8.0,4.0,0.0,0.0,0,0.0,0.0,8.0,STROUD H,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,14,0,0,0,0,14.0,4.0,0.0,0.0,0,0.0,0.0,14.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERO-601-600,10,12,8,2,0,32.0,2.937,0.0,0.0,0,4.0,0.0,36.0,WHITE E,2021
,31.25%,37.50%,25.00%,6.25%,0.00%,,,,,,,,,,2021
AERO-601-700,3,1,2,0,0,6.0,3.166,0.0,0.0,0,3.0,0.0,9.0,WHITE E,2021
,50.00%,16.67%,33.33%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,13,13,10,2,0,38.0,2.973,0.0,0.0,0,7.0,0.0,45.0,,2021
,34.21%,34.21%,26.32%,5.26%,0.00%,,,,,,,,,,2021
AERO-603-600,11,21,6,2,0,40.0,3.025,0.0,0.0,0,17.0,0.0,57.0,BOYD J,2021
,27.50%,52.50%,15.00%,5.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,11,21,6,2,0,40.0,3.025,0.0,0.0,0,17.0,0.0,57.0,,2021
,27.50%,52.50%,15.00%,5.00%,0.00%,,,,,,,,,,2021
AERO-604-600,9,5,2,0,0,16.0,3.437,0.0,0.0,0,0.0,0.0,16.0,HARTL D,2021
,56.25%,31.25%,12.50%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,9,5,2,0,0,16.0,3.437,0.0,0.0,0,0.0,0.0,16.0,,2021
,56.25%,31.25%,12.50%,0.00%,0.00%,,,,,,,,,,2021
AERO-606-600,9,5,0,0,0,14.0,3.642,0.0,0.0,0,0.0,0.0,14.0,NARAGHI M,2021
,64.29%,35.71%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,9,5,0,0,0,14.0,3.642,0.0,0.0,0,0.0,0.0,14.0,,2021
,64.29%,35.71%,0.00%,0.00%,0.00%,,,,,,,,,,2021
