ATMO-201-501,15,14,7,0,0.1,36,3.222,0.2,0.3,0.4,0.5,0.6,36.1,CONLEE D,2021
,41.67%,38.89%,19.44%,0.00%,0.00%,,,,,,,,,,2021
ATMO-201-502,63,124,11,0,0,198.0,3.262,0.0,0.0,0.0,3.0,0.0,201.0,LOGAN T,2021
,31.82%,62.63%,5.56%,0.00%,0.00%,,,,,,,,,,2021
ATMO-201-503,17,23,11,0,2,53.0,3.0,1.0,0.0,0.0,2.0,0.0,56.0,BOWMAN K,2021
,32.08%,43.40%,20.75%,0.00%,3.77%,,,,,,,,,,2021
ATMO-201-505,45,41,19,2,3,110.0,3.118,1.0,0.0,0.0,11.0,0.0,122.0,CONLEE D,2021
,40.91%,37.27%,17.27%,1.82%,2.73%,,,,,,,,,,2021
ATMO-201-599,95,43,11,3,4,156.0,3.423,0.0,0.0,0.0,12.0,0.0,168.0,ETTEN-BOHM M,2021
,60.90%,27.56%,7.05%,1.92%,2.56%,,,,,,,,,,2021
COURSE TOTAL:,235,245,59,5,9,553.0,3.251,2.0,0.0,0.0,28.0,0.0,583.0,,2021
,42.50%,44.30%,10.67%,0.90%,1.63%,,,,,,,,,,2021
ATMO-202-501,17,3,3,0,1,24.0,3.458,0.0,0.0,0.0,0.0,0.0,24.0,CONLEE D,2021
,70.83%,12.50%,12.50%,0.00%,4.17%,,,,,,,,,,2021
ATMO-202-502,19,3,1,0,0,23.0,3.782,0.0,0.0,0.0,0.0,0.0,23.0,CONLEE D,2021
,82.61%,13.04%,4.35%,0.00%,0.00%,,,,,,,,,,2021
ATMO-202-504,14,5,2,0,0,21.0,3.571,0.0,0.0,0.0,2.0,0.0,23.0,CONLEE D,2021
,66.67%,23.81%,9.52%,0.00%,0.00%,,,,,,,,,,2021
ATMO-202-506,19,4,1,0,0,24.0,3.75,0.0,0.0,0.0,0.0,0.0,24.0,CONLEE D,2021
,79.17%,16.67%,4.17%,0.00%,0.00%,,,,,,,,,,2021
ATMO-202-507,15,7,0,1,1,24.0,3.416,0.0,0.0,0.0,1.0,0.0,25.0,CONLEE D,2021
,62.50%,29.17%,0.00%,4.17%,4.17%,,,,,,,,,,2021
COURSE TOTAL:,84,22,7,1,2,116.0,3.594,0.0,0.0,0.0,3.0,0.0,119.0,,2021
,72.41%,18.97%,6.03%,0.86%,1.72%,,,,,,,,,,2021
ATMO-203-501,11,7,1,0,0,19.0,3.526,0.0,0.0,0.0,0.0,0.0,19.0,NIELSEN E,2021
,57.89%,36.84%,5.26%,0.00%,0.00%,,,,,,,,,,2021
ATMO-203-502,10,8,0,1,0,19.0,3.421,0.0,0.0,0.0,0.0,0.0,19.0,NIELSEN E,2021
,52.63%,42.11%,0.00%,5.26%,0.00%,,,,,,,,,,2021
ATMO-203-503,8,4,3,0,1,16.0,3.125,0.0,0.0,0.0,0.0,0.0,16.0,NIELSEN E,2021
,50.00%,25.00%,18.75%,0.00%,6.25%,,,,,,,,,,2021
COURSE TOTAL:,29,19,4,1,1,54.0,3.37,0.0,0.0,0.0,0.0,0.0,54.0,,2021
,53.70%,35.19%,7.41%,1.85%,1.85%,,,,,,,,,,2021
ATMO-251-501,6,10,4,2,0,22.0,2.909,1.0,0.0,0.0,1.0,0.0,24.0,NIELSEN E,2021
,27.27%,45.45%,18.18%,9.09%,0.00%,,,,,,,,,,2021
ATMO-251-502,10,10,3,2,0,25.0,3.12,0.0,0.0,0.0,0.0,0.0,25.0,NIELSEN E,2021
,40.00%,40.00%,12.00%,8.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,16,20,7,4,0,47.0,3.021,1.0,0.0,0.0,1.0,0.0,49.0,,2021
,34.04%,42.55%,14.89%,8.51%,0.00%,,,,,,,,,,2021
ATMO-321-500,12,3,6,1,0,22.0,3.181,0.0,0.0,0.0,3.0,0.0,25.0,XU Y,2021
,54.55%,13.64%,27.27%,4.55%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,12,3,6,1,0,22.0,3.181,0.0,0.0,0.0,3.0,0.0,25.0,,2021
,54.55%,13.64%,27.27%,4.55%,0.00%,,,,,,,,,,2021
ATMO-335-501,22,19,5,0,1,47.0,3.297,0.0,0.0,0.0,0.0,0.0,47.0,BROOKS S,2021
,46.81%,40.43%,10.64%,0.00%,2.13%,,,,,,,,,,2021
COURSE TOTAL:,22,19,5,0,1,47.0,3.297,0.0,0.0,0.0,0.0,0.0,47.0,,2021
,46.81%,40.43%,10.64%,0.00%,2.13%,,,,,,,,,,2021
ATMO-336-501,13,7,3,0,1,24.0,3.291,1.0,0.0,0.0,0.0,0.0,25.0,EPIFANIO C,2021
,54.17%,29.17%,12.50%,0.00%,4.17%,,,,,,,,,,2021
ATMO-336-502,10,8,2,0,0,20.0,3.4,0.0,0.0,0.0,0.0,0.0,20.0,EPIFANIO C,2021
,50.00%,40.00%,10.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,23,15,5,0,1,44.0,3.34,1.0,0.0,0.0,0.0,0.0,45.0,,2021
,52.27%,34.09%,11.36%,0.00%,2.27%,,,,,,,,,,2021
ATMO-363-500,11,21,0,1,0,33.0,3.272,0.0,0.0,0.0,0.0,0.0,33.0,ZHANG Y,2021
,33.33%,63.64%,0.00%,3.03%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,11,21,0,1,0,33.0,3.272,0.0,0.0,0.0,0.0,0.0,33.0,,2021
,33.33%,63.64%,0.00%,3.03%,0.00%,,,,,,,,,,2021
ATMO-443-500,6,10,4,1,0,21.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0,NOWOTARSKI C,2021
,28.57%,47.62%,19.05%,4.76%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,6,10,4,1,0,21.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0,,2021
,28.57%,47.62%,19.05%,4.76%,0.00%,,,,,,,,,,2021
ATMO-446-500,8,14,4,3,0,29.0,2.931,0.0,0.0,0.0,0.0,0.0,29.0,RAPP A,2021
,27.59%,48.28%,13.79%,10.34%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,14,4,3,0,29.0,2.931,0.0,0.0,0.0,0.0,0.0,29.0,,2021
,27.59%,48.28%,13.79%,10.34%,0.00%,,,,,,,,,,2021
ATMO-459-900,7,11,2,0,0,20.0,3.25,0.0,0.0,0.0,0.0,0.0,20.0,SCHUMACHER C,2021
,35.00%,55.00%,10.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,7,11,2,0,0,20.0,3.25,0.0,0.0,0.0,0.0,0.0,20.0,,2021
,35.00%,55.00%,10.00%,0.00%,0.00%,,,,,,,,,,2021
ATMO-485-501,5,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,CONLEE D,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,5,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
ATMO-601-600,7,6,0,0,0,13.0,3.538,0.0,0.0,0.0,0.0,0.0,13.0,SARAVANAN R,2021
,53.85%,46.15%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,7,6,0,0,0,13.0,3.538,0.0,0.0,0.0,0.0,0.0,13.0,,2021
,53.85%,46.15%,0.00%,0.00%,0.00%,,,,,,,,,,2021
ATMO-602-600,10,4,0,0,0,14.0,3.714,0.0,0.0,0.0,0.0,0.0,14.0,LIU X,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,10,4,0,0,0,14.0,3.714,0.0,0.0,0.0,0.0,0.0,14.0,,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
ATMO-604-600,4,1,0,0,0,5.0,3.8,0.0,0.0,0.0,0.0,0.0,5.0,NIELSEN-GAMMON J,2021
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,4,1,0,0,0,5.0,3.8,0.0,0.0,0.0,0.0,0.0,5.0,,2021
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
