ANTH-201-501,16,12,2,2.1,0,32,3.312,0.1,0.2,0.3,1,0.4,33,IOSET B,2021
,50.00%,37.50%,6.25%,6.25%,0.00%,,,,,,,,,,2021
ANTH-201-502,25,8,1,0,0,34.0,3.705,0.0,0.0,0,0.0,0.0,34.0,IZZO V,2021
,73.53%,23.53%,2.94%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,41,20,3,2,0,66.0,3.515,0.0,0.0,0,1.0,0.0,67.0,,2021
,62.12%,30.30%,4.55%,3.03%,0.00%,,,,,,,,,,2021
ANTH-202-501,19,27,11,4,1,62.0,2.951,0.0,0.0,0,2.0,0.0,64.0,GRAF K,2021
,30.65%,43.55%,17.74%,6.45%,1.61%,,,,,,,,,,2021
COURSE TOTAL:,19,27,11,4,1,62.0,2.951,0.0,0.0,0,2.0,0.0,64.0,,2021
,30.65%,43.55%,17.74%,6.45%,1.61%,,,,,,,,,,2021
ANTH-204-500,19,35,23,2,0,79.0,2.898,1.0,0.0,0,13.0,0.0,93.0,GRAF K,2021
,24.05%,44.30%,29.11%,2.53%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,19,35,23,2,0,79.0,2.898,1.0,0.0,0,13.0,0.0,93.0,,2021
,24.05%,44.30%,29.11%,2.53%,0.00%,,,,,,,,,,2021
ANTH-205-500,16,19,16,8,4,63.0,2.555,0.0,0.0,0,2.0,0.0,65.0,ALVARD M,2021
,25.40%,30.16%,25.40%,12.70%,6.35%,,,,,,,,,,2021
ANTH-205-501,67,10,3,0,1,81.0,3.753,0.0,0.0,0,1.0,0.0,82.0,JOHNSON T,2021
,82.72%,12.35%,3.70%,0.00%,1.23%,,,,,,,,,,2021
ANTH-205-503,68,41,11,2,1,123.0,3.406,0.0,0.0,0,2.0,0.0,125.0,LYNCH D,2021
,55.28%,33.33%,8.94%,1.63%,0.81%,,,,,,,,,,2021
ANTH-205-504,62,38,13,3,0,116.0,3.37,0.0,0.0,0,1.0,0.0,117.0,LYNCH D,2021
,53.45%,32.76%,11.21%,2.59%,0.00%,,,,,,,,,,2021
ANTH-205-505,26,6,2,0,2,36.0,3.5,0.0,0.0,0,0.0,0.0,36.0,DECASIEN S,2021
,72.22%,16.67%,5.56%,0.00%,5.56%,,,,,,,,,,2021
ANTH-205-506,35,0,0,0,0,35.0,4.0,0.0,0.0,0,0.0,0.0,35.0,SHELLEY N,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
