ACCT-209-598,113,341,295,34,18,801,2.620,0,0.1,0.2,87,0.3,888,CLARKE M,2021
,14.11%,42.57%,36.83%,4.24%,2.25%,,,,,,,,,,2021
COURSE TOTAL:,113,341,295,34,18,801.0,2.62,0.0,0.0,0,87.0,0.0,888.0,,2021
,14.11%,42.57%,36.83%,4.24%,2.25%,,,,,,,,,,2021
ACCT-210-501,45,56,49,12,1,163.0,2.809,0.0,0.0,0,2.0,0.0,165.0,STRAWSER R,2021
,27.61%,34.36%,30.06%,7.36%,0.61%,,,,,,,,,,2021
COURSE TOTAL:,45,56,49,12,1,163.0,2.809,0.0,0.0,0,2.0,0.0,165.0,,2021
,27.61%,34.36%,30.06%,7.36%,0.61%,,,,,,,,,,2021
ACCT-229-202,12,11,1,0,0,24.0,3.458,0.0,0.0,0,0.0,0.0,24.0,STRAWSER J,2021
,50.00%,45.83%,4.17%,0.00%,0.00%,,,,,,,,,,2021
ACCT-229-501,6,15,8,5,1,35.0,2.571,0.0,0.0,0,7.0,0.0,42.0,BARRETT J,2021
,17.14%,42.86%,22.86%,14.29%,2.86%,,,,,,,,,,2021
ACCT-229-502,3,13,17,2,0,35.0,2.485,0.0,0.0,0,6.0,0.0,41.0,BARRETT J,2021
,8.57%,37.14%,48.57%,5.71%,0.00%,,,,,,,,,,2021
ACCT-229-503,9,14,14,2,1,40.0,2.7,0.0,0.0,0,4.0,0.0,44.0,BARRETT J,2021
,22.50%,35.00%,35.00%,5.00%,2.50%,,,,,,,,,,2021
ACCT-229-504,24,30,23,6,3,86.0,2.767,1.0,0.0,0,16.0,0.0,103.0,KNOOP J,2021
,27.91%,34.88%,26.74%,6.98%,3.49%,,,,,,,,,,2021
ACCT-229-505,26,31,26,5,3,91.0,2.791,0.0,0.0,0,17.0,0.0,108.0,KNOOP J,2021
,28.57%,34.07%,28.57%,5.49%,3.30%,,,,,,,,,,2021
ACCT-229-506,11,18,35,12,2,78.0,2.307,0.0,0.0,0,24.0,0.0,102.0,ARNOSKY C,2021
,14.10%,23.08%,44.87%,15.38%,2.56%,,,,,,,,,,2021
ACCT-229-507,13,21,24,17,2,77.0,2.337,0.0,0.0,0,25.0,0.0,102.0,ARNOSKY C,2021
,16.88%,27.27%,31.17%,22.08%,2.60%,,,,,,,,,,2021
ACCT-229-510,7,13,20,8,2,50.0,2.3,0.0,0.0,0,10.0,0.0,60.0,HEAD M,2021
,14.00%,26.00%,40.00%,16.00%,4.00%,,,,,,,,,,2021
COURSE TOTAL:,111,166,168,57,14,516.0,2.587,1.0,0.0,0,109.0,0.0,626.0,,2021
,21.51%,32.17%,32.56%,11.05%,2.71%,,,,,,,,,,2021
ACCT-230-200,17,8,0,0,0,25.0,3.68,1.0,0.0,0,2.0,0.0,28.0,WEAVER A,2021
,68.00%,32.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
ACCT-230-201,19,7,1,0,0,27.0,3.666,0.0,0.0,0,3.0,0.0,30.0,WEAVER A,2021
,70.37%,25.93%,3.70%,0.00%,0.00%,,,,,,,,,,2021
ACCT-230-500,53,91,48,19,1,212.0,2.83,0.0,0.0,0,16.0,0.0,228.0,ALLEN N,2021
,25.00%,42.92%,22.64%,8.96%,0.47%,,,,,,,,,,2021
ACCT-230-501,58,73,35,12,1,179.0,2.977,0.0,0.0,0,15.0,0.0,194.0,ALLEN N,2021
,32.40%,40.78%,19.55%,6.70%,0.56%,,,,,,,,,,2021
COURSE TOTAL:,147,179,84,31,2,443.0,2.988,1.0,0.0,0,36.0,0.0,480.0,,2021
,33.18%,40.41%,18.96%,7.00%,0.45%,,,,,,,,,,2021
ACCT-327-501,6,9,12,0,1,28.0,2.678,0.0,0.0,0,5.0,0.0,33.0,BLASOR T,2021
,21.43%,32.14%,42.86%,0.00%,3.57%,,,,,,,,,,2021
ACCT-327-502,4,16,9,1,1,31.0,2.677,0.0,0.0,0,4.0,0.0,35.0,BLASOR T,2021
,12.90%,51.61%,29.03%,3.23%,3.23%,,,,,,,,,,2021
ACCT-327-503,8,11,8,1,1,29.0,2.827,0.0,0.0,0,6.0,0.0,35.0,LARKIN R,2021
,27.59%,37.93%,27.59%,3.45%,3.45%,,,,,,,,,,2021
ACCT-327-504,9,12,8,1,0,30.0,2.966,0.0,0.0,0,5.0,0.0,35.0,LARKIN R,2021
,30.00%,40.00%,26.67%,3.33%,0.00%,,,,,,,,,,2021
ACCT-327-505,9,12,7,3,0,31.0,2.87,0.0,0.0,0,6.0,0.0,37.0,LARKIN R,2021
,29.03%,38.71%,22.58%,9.68%,0.00%,,,,,,,,,,2021
ACCT-327-506,3,12,11,2,0,28.0,2.571,0.0,0.0,0,7.0,0.0,35.0,LARKIN R,2021
,10.71%,42.86%,39.29%,7.14%,0.00%,,,,,,,,,,2021
