EDHP-630-700,13,1,0,0.1,0.2,14,3.928,0.3,0.4,0.5,0.6,0.7,14.1,ARNOLD S,2021
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,13,1,0,0,0,14.0,3.928,0.0,0.0,0.0,0.0,0.0,14.0,,2021
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,,2021
HCPI-655-700,5,0,0,0,1,6.0,3.333,1.0,0.0,0.0,1.0,2.0,10.0,MIRANDA M,2021
,83.33%,0.00%,0.00%,0.00%,16.67%,,,,,,,,,,2021
COURSE TOTAL:,5,0,0,0,1,6.0,3.333,1.0,0.0,0.0,1.0,2.0,10.0,,2021
,83.33%,0.00%,0.00%,0.00%,16.67%,,,,,,,,,,2021
HCPI-658-700,4,1,0,0,0,5.0,3.8,1.0,0.0,0.0,0.0,0.0,6.0,BITOUNI A,2021
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,4,1,0,0,0,5.0,3.8,1.0,0.0,0.0,0.0,0.0,6.0,,2021
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
MPHY-603-600,5,2,0,0,0,7.0,3.714,0.0,0.0,0.0,0.0,0.0,7.0,TRACHE A,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,5,2,0,0,0,7.0,3.714,0.0,0.0,0.0,0.0,0.0,7.0,,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
MPHY-613-600,8,5,2,0,0,15.0,3.4,0.0,0.0,0.0,0.0,0.0,15.0,MUTHUCHAMY M,2021
,53.33%,33.33%,13.33%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,5,2,0,0,15.0,3.4,0.0,0.0,0.0,0.0,0.0,15.0,,2021
,53.33%,33.33%,13.33%,0.00%,0.00%,,,,,,,,,,2021
