AERS-101-501,5,4,0,0.1,0.2,9,3.555,0.3,0.4,0.5,0.6,20,29,CARTER R,2021
,55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-101-507,19,10,0,1,1,31.0,3.451,0.0,0.0,0.0,0.0,0.0,31.0,CARTER R,2021
,61.29%,32.26%,0.00%,3.23%,3.23%,,,,,,,,,,2021
AERS-101-508,20,10,0,0,1,31.0,3.548,0.0,0.0,0.0,0.0,0.0,31.0,CARTER R,2021
,64.52%,32.26%,0.00%,0.00%,3.23%,,,,,,,,,,2021
AERS-101-510,12,3,0,0,1,16.0,3.562,0.0,0.0,0.0,0.0,0.0,16.0,CARTER R,2021
,75.00%,18.75%,0.00%,0.00%,6.25%,,,,,,,,,,2021
AERS-101-511,31,2,0,0,0,33.0,3.939,0.0,0.0,0.0,0.0,0.0,33.0,CARTER R,2021
,93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,87,29,0,1,3,120.0,3.633,0.0,0.0,0.0,0.0,20.0,140.0,,2021
,72.50%,24.17%,0.00%,0.83%,2.50%,,,,,,,,,,2021
AERS-201-501,31,2,1,0,0,34.0,3.882,0.0,0.0,0.0,1.0,0.0,35.0,GIEBEL S,2021
,91.18%,5.88%,2.94%,0.00%,0.00%,,,,,,,,,,2021
AERS-201-502,33,1,0,0,0,34.0,3.97,0.0,0.0,0.0,0.0,0.0,34.0,GIEBEL S,2021
,97.06%,2.94%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-201-503,32,1,0,0,0,33.0,3.969,0.0,0.0,0.0,0.0,0.0,33.0,GIEBEL S,2021
,96.97%,3.03%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-201-505,27,7,0,0,1,35.0,3.685,0.0,0.0,0.0,0.0,0.0,35.0,GIEBEL S,2021
,77.14%,20.00%,0.00%,0.00%,2.86%,,,,,,,,,,2021
AERS-201-506,30,4,0,0,0,34.0,3.882,0.0,0.0,0.0,0.0,0.0,34.0,GIEBEL S,2021
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-201-507,32,3,0,0,1,36.0,3.805,0.0,0.0,0.0,0.0,0.0,36.0,GIEBEL S,2021
,88.89%,8.33%,0.00%,0.00%,2.78%,,,,,,,,,,2021
COURSE TOTAL:,185,18,1,0,2,206.0,3.864,0.0,0.0,0.0,1.0,0.0,207.0,,2021
,89.81%,8.74%,0.49%,0.00%,0.97%,,,,,,,,,,2021
AERS-303-501,27,2,0,0,0,29.0,3.931,0.0,0.0,0.0,0.0,0.0,29.0,ORR M,2021
,93.10%,6.90%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-303-502,20,0,0,0,0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,ORR M,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-303-503,18,1,0,0,0,19.0,3.947,0.0,0.0,0.0,0.0,0.0,19.0,ORR M,2021
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-303-504,9,1,0,0,0,10.0,3.9,0.0,0.0,0.0,0.0,0.0,10.0,ORR M,2021
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,74,4,0,0,0,78.0,3.948,0.0,0.0,0.0,0.0,0.0,78.0,,2021
,94.87%,5.13%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-403-501,34,0,0,0,0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,CHANDLER T,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-403-502,31,0,0,0,0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,CHANDLER T,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
AERS-403-504,20,1,0,0,0,21.0,3.952,0.0,0.0,0.0,0.0,0.0,21.0,CHANDLER T,2021
,95.24%,4.76%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,85,1,0,0,0,86.0,3.988,0.0,0.0,0.0,0.0,0.0,86.0,,2021
,98.84%,1.16%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DEPARTMENT TOTAL:,431,52,1,1,5,490.0,3.893,0.0,0.0,0.0,1.0,20.0,511.0,,2021
,87.96%,10.61%,0.20%,0.20%,1.02%,,,,,,,,,,2021
SOMS-111-501,14,3,2,0,2,21.0,3.875,0.0,0.0,0.0,0.0,0.0,21.0,VELA C,2021
,66.67%,14.29%,9.52%,0.00%,9.52%,,,,,,,,,,2021
SOMS-111-502,10,6,6,0,1,23.0,3.428,0.0,0.0,0.0,0.0,0.0,23.0,SIMPSON M,2021
,43.48%,26.09%,26.09%,0.00%,4.35%,,,,,,,,,,2021
SOMS-111-503,11,4,4,0,0,19.0,3.357,1.0,0.0,0.0,0.0,0.0,20.0,SIMPSON M,2021
,57.89%,21.05%,21.05%,0.00%,0.00%,,,,,,,,,,2021
SOMS-111-504,15,2,2,0,1,20.0,3.166,0.0,0.0,0.0,0.0,0.0,20.0,VELA C,2021
,75.00%,10.00%,10.00%,0.00%,5.00%,,,,,,,,,,2021
SOMS-111-505,15,4,2,0,1,22.0,3.714,0.0,0.0,0.0,0.0,0.0,22.0,VELA C,2021
,68.18%,18.18%,9.09%,0.00%,4.55%,,,,,,,,,,2021
SOMS-111-506,14,6,2,0,0,22.0,3.562,0.0,0.0,0.0,0.0,0.0,22.0,SIMPSON M,2021
,63.64%,27.27%,9.09%,0.00%,0.00%,,,,,,,,,,2021
SOMS-111-507,12,6,2,0,3,23.0,3.8,0.0,0.0,0.0,0.0,0.0,23.0,VELA C,2021
,52.17%,26.09%,8.70%,0.00%,13.04%,,,,,,,,,,2021
SOMS-111-508,17,4,2,0,0,23.0,3.75,0.0,0.0,0.0,0.0,0.0,23.0,SIMPSON M,2021
,73.91%,17.39%,8.70%,0.00%,0.00%,,,,,,,,,,2021
SOMS-111-509,18,3,0,0,0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,SIMPSON M,2021
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,,2021
SOMS-111-510,20,1,0,0,0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,SIMPSON M,2021
,95.24%,4.76%,0.00%,0.00%,0.00%,,,,,,,,,,2021
SOMS-111-511,15,2,2,1,1,21.0,3.277,0.0,0.0,0.0,1.0,0.0,22.0,VELA C,2021
,71.43%,9.52%,9.52%,4.76%,4.76%,,,,,,,,,,2021
SOMS-111-512,15,4,1,0,1,21.0,3.769,0.0,0.0,0.0,1.0,0.0,22.0,VELA C,2021
,71.43%,19.05%,4.76%,0.00%,4.76%,,,,,,,,,,2021
SOMS-111-513,16,4,0,0,0,20.0,3.888,1.0,0.0,0.0,0.0,0.0,21.0,SIMPSON M,2021
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
SOMS-111-514,14,3,4,0,1,22.0,3.75,0.0,0.0,0.0,0.0,0.0,22.0,SIMPSON M,2021
,63.64%,13.64%,18.18%,0.00%,4.55%,,,,,,,,,,2021
SOMS-111-515,10,6,3,0,2,21.0,3.428,0.0,0.0,0.0,0.0,0.0,21.0,SIMPSON M,2021
,47.62%,28.57%,14.29%,0.00%,9.52%,,,,,,,,,,2021
SOMS-111-517,12,5,3,0,1,21.0,3.461,0.0,0.0,0.0,0.0,0.0,21.0,VELA C,2021
,57.14%,23.81%,14.29%,0.00%,4.76%,,,,,,,,,,2021
SOMS-111-518,16,2,4,0,1,23.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,VELA C,2021
,69.57%,8.70%,17.39%,0.00%,4.35%,,,,,,,,,,2021
SOMS-111-519,12,6,2,2,1,23.0,3.315,0.0,0.0,0.0,0.0,0.0,23.0,VELA C,2021
,52.17%,26.09%,8.70%,8.70%,4.35%,,,,,,,,,,2021
SOMS-111-521,11,4,2,1,2,20.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,SIMPSON M,2021
,55.00%,20.00%,10.00%,5.00%,10.00%,,,,,,,,,,2021
SOMS-111-522,17,4,2,0,0,23.0,4.0,1.0,0.0,0.0,0.0,0.0,24.0,VELA C,2021
,73.91%,17.39%,8.70%,0.00%,0.00%,,,,,,,,,,2021
SOMS-111-523,10,4,2,2,2,20.0,2.833,0.0,0.0,0.0,0.0,0.0,20.0,SIMPSON M,2021
,50.00%,20.00%,10.00%,10.00%,10.00%,,,,,,,,,,2021
SOMS-111-524,13,4,3,1,0,21.0,3.421,0.0,0.0,0.0,0.0,0.0,21.0,VELA C,2021
,61.90%,19.05%,14.29%,4.76%,0.00%,,,,,,,,,,2021
SOMS-111-525,8,8,2,0,1,19.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0,SIMPSON M,2021
,42.11%,42.11%,10.53%,0.00%,5.26%,,,,,,,,,,2021
SOMS-111-526,14,1,2,1,2,20.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,SIMPSON M,2021
,70.00%,5.00%,10.00%,5.00%,10.00%,,,,,,,,,,2021
SOMS-111-528,10,7,3,0,1,21.0,3.266,0.0,0.0,0.0,0.0,0.0,21.0,VELA C,2021
,47.62%,33.33%,14.29%,0.00%,4.76%,,,,,,,,,,2021
COURSE TOTAL:,339,103,57,8,24,531.0,3.506,4.0,0.0,0.0,2.0,0.0,537.0,,2021
,63.84%,19.40%,10.73%,1.51%,4.52%,,,,,,,,,,2021
SOMS-180-501,13,10,1,0,1,25.0,3.36,0.0,0.0,0.0,1.0,0.0,26.0,NORRIS D,2021
,52.00%,40.00%,4.00%,0.00%,4.00%,,,,,,,,,,2021
SOMS-180-503,28,0,0,0,0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,BRUMMETT K,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,41,10,1,0,1,53.0,3.698,0.0,0.0,0.0,1.0,0.0,54.0,,2021
,77.36%,18.87%,1.89%,0.00%,1.89%,,,,,,,,,,2021
SOMS-280-501,33,1,1,0,0,35.0,3.914,0.0,0.0,0.0,0.0,0.0,35.0,SCHLATHER B,2021
,94.29%,2.86%,2.86%,0.00%,0.00%,,,,,,,,,,2021
SOMS-280-502,28,3,1,1,0,33.0,3.757,0.0,0.0,0.0,0.0,0.0,33.0,WOOD F,2021
,84.85%,9.09%,3.03%,3.03%,0.00%,,,,,,,,,,2021
SOMS-280-503,35,0,0,0,0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,SCHLATHER B,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
SOMS-280-504,31,4,0,0,0,35.0,3.885,0.0,0.0,0.0,0.0,0.0,35.0,WOOD F,2021
,88.57%,11.43%,0.00%,0.00%,0.00%,,,,,,,,,,2021
SOMS-280-505,34,1,0,0,0,35.0,3.971,0.0,0.0,0.0,0.0,0.0,35.0,SCHLATHER B,2021
,97.14%,2.86%,0.00%,0.00%,0.00%,,,,,,,,,,2021
SOMS-280-506,33,0,0,0,0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,33.0,SCHLATHER B,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
SOMS-280-507,28,4,1,0,0,33.0,3.818,0.0,0.0,0.0,0.0,0.0,33.0,WASHINGTON R,2021
,84.85%,12.12%,3.03%,0.00%,0.00%,,,,,,,,,,2021
SOMS-280-508,23,0,0,0,0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,SCHLATHER B,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
SOMS-280-509,27,7,1,0,0,35.0,3.742,0.0,0.0,0.0,0.0,0.0,35.0,WASHINGTON R,2021
,77.14%,20.00%,2.86%,0.00%,0.00%,,,,,,,,,,2021
SOMS-280-510,30,4,0,0,0,34.0,3.882,0.0,0.0,0.0,0.0,0.0,34.0,SCHLATHER B,2021
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,,2021
