PHEO-600-697,14,2,0,0.1,0.2,16,3.875,0.3,0.4,0.5,0.6,0.7,16.1,BENDEN M,2021
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,14,2,0,0,0,16.0,3.875,0.0,0.0,0.0,0.0,0.0,16.0,,2021
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,,2021
PHEO-605-600,30,1,0,0,0,31.0,3.967,0.0,0.0,0.0,0.0,0.0,31.0,MCDONALD T,2021
,96.77%,3.23%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,30,1,0,0,0,31.0,3.967,0.0,0.0,0.0,0.0,0.0,31.0,,2021
,96.77%,3.23%,0.00%,0.00%,0.00%,,,,,,,,,,2021
PHEO-610-600,8,3,0,0,0,11.0,3.727,0.0,0.0,0.0,0.0,0.0,11.0,CIZMAS L,2021
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,3,0,0,0,11.0,3.727,0.0,0.0,0.0,0.0,0.0,11.0,,2021
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,,,,2021
PHEO-613-700,21,1,0,0,0,22.0,3.954,0.0,0.0,0.0,0.0,0.0,22.0,CARRILLO G,2021
,95.45%,4.55%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,21,1,0,0,0,22.0,3.954,0.0,0.0,0.0,0.0,0.0,22.0,,2021
,95.45%,4.55%,0.00%,0.00%,0.00%,,,,,,,,,,2021
PHEO-618-600,4,10,1,2,0,17.0,2.941,0.0,0.0,0.0,1.0,0.0,18.0,PICKENS A,2021
,23.53%,58.82%,5.88%,11.76%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,4,10,1,2,0,17.0,2.941,0.0,0.0,0.0,1.0,0.0,18.0,,2021
,23.53%,58.82%,5.88%,11.76%,0.00%,,,,,,,,,,2021
PHEO-630-600,23,4,0,0,0,27.0,3.851,0.0,0.0,0.0,0.0,0.0,27.0,JOHNSON N,2021
,85.19%,14.81%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,23,4,0,0,0,27.0,3.851,0.0,0.0,0.0,0.0,0.0,27.0,,2021
,85.19%,14.81%,0.00%,0.00%,0.00%,,,,,,,,,,2021
