LAW-601-602,3,2,0,0.1,0.2,5,3.600,0.3,0.4,0.5,0.6,0.7,5.1,WELSH N,2021
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
LAW-601-603,5,5,0,0,0,10.0,3.5,0.0,0.0,0.0,0.0,0.0,10.0,GEORGE J,2021
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,7,0,0,0,15.0,3.533,0.0,0.0,0.0,0.0,0.0,15.0,,2021
,53.33%,46.67%,0.00%,0.00%,0.00%,,,,,,,,,,2021
LAW-606-602,8,0,0,0,0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,LUNNEY J,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,0,0,0,0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
LAW-618-700,22,8,0,0,0,30.0,3.733,0.0,0.0,0.0,0.0,0.0,30.0,MARLETT D,2021
,73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,,,,2021
LAW-618-701,14,13,1,0,0,28.0,3.464,0.0,0.0,0.0,0.0,0.0,28.0,MARLETT D,2021
,50.00%,46.43%,3.57%,0.00%,0.00%,,,,,,,,,,2021
LAW-618-702,18,8,1,0,2,29.0,3.379,0.0,0.0,0.0,0.0,0.0,29.0,MARLETT D,2021
,62.07%,27.59%,3.45%,0.00%,6.90%,,,,,,,,,,2021
LAW-618-703,17,12,0,0,0,29.0,3.586,0.0,0.0,0.0,0.0,0.0,29.0,MARLETT D,2021
,58.62%,41.38%,0.00%,0.00%,0.00%,,,,,,,,,,2021
LAW-618-704,18,9,0,0,1,28.0,3.535,1.0,0.0,0.0,0.0,0.0,29.0,MARLETT D,2021
,64.29%,32.14%,0.00%,0.00%,3.57%,,,,,,,,,,2021
LAW-618-705,12,11,0,1,0,24.0,3.416,0.0,0.0,0.0,1.0,0.0,25.0,MARLETT D,2021
,50.00%,45.83%,0.00%,4.17%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,101,61,2,1,3,168.0,3.523,1.0,0.0,0.0,1.0,0.0,170.0,,2021
,60.12%,36.31%,1.19%,0.60%,1.79%,,,,,,,,,,2021
LAW-619-700,27,7,0,0,0,34.0,3.794,3.0,0.0,0.0,0.0,0.0,37.0,BURT J,2021
,79.41%,20.59%,0.00%,0.00%,0.00%,,,,,,,,,,2021
LAW-619-701,33,2,0,0,0,35.0,3.942,2.0,0.0,0.0,0.0,0.0,37.0,BURT J,2021
,94.29%,5.71%,0.00%,0.00%,0.00%,,,,,,,,,,2021
