CHEN-204-500,9,9.1,5,1,0,24,3.083,0.1,0.2,0.3,0.4,0.5,24.1,SALAMA G,2021
,37.50%,37.50%,20.83%,4.17%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,9,9,5,1,0,24.0,3.083,0.0,0.0,0.0,0.0,0.0,24.0,,2021
,37.50%,37.50%,20.83%,4.17%,0.00%,,,,,,,,,,2021
CHEN-304-500,1,11,8,1,2,23.0,2.347,0.0,0.0,0.0,0.0,0.0,23.0,KAKOSIMOS K,2021
,4.35%,47.83%,34.78%,4.35%,8.70%,,,,,,,,,,2021
COURSE TOTAL:,1,11,8,1,2,23.0,2.347,0.0,0.0,0.0,0.0,0.0,23.0,,2021
,4.35%,47.83%,34.78%,4.35%,8.70%,,,,,,,,,,2021
CHEN-320-500,8,9,7,0,0,24.0,3.041,0.0,0.0,0.0,0.0,0.0,24.0,AL-MOHANNADI D,2021
,33.33%,37.50%,29.17%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,9,7,0,0,24.0,3.041,0.0,0.0,0.0,0.0,0.0,24.0,,2021
,33.33%,37.50%,29.17%,0.00%,0.00%,,,,,,,,,,2021
CHEN-322-500,2,5,12,3,0,22.0,2.272,0.0,0.0,0.0,0.0,0.0,22.0,ABDALLA A,2021
,9.09%,22.73%,54.55%,13.64%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,2,5,12,3,0,22.0,2.272,0.0,0.0,0.0,0.0,0.0,22.0,,2021
,9.09%,22.73%,54.55%,13.64%,0.00%,,,,,,,,,,2021
CHEN-354-500,2,5,12,5,0,24.0,2.166,0.0,0.0,0.0,0.0,0.0,24.0,ABDEL-WAHAB A,2021
,8.33%,20.83%,50.00%,20.83%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,2,5,12,5,0,24.0,2.166,0.0,0.0,0.0,0.0,0.0,24.0,,2021
,8.33%,20.83%,50.00%,20.83%,0.00%,,,,,,,,,,2021
CHEN-425-500,8,3,5,0,1,17.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,LINKE P,2021
,47.06%,17.65%,29.41%,0.00%,5.88%,,,,,,,,,,2021
COURSE TOTAL:,8,3,5,0,1,17.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,,2021
,47.06%,17.65%,29.41%,0.00%,5.88%,,,,,,,,,,2021
CHEN-432-900,3,10,2,0,0,15.0,3.066,0.0,0.0,0.0,0.0,0.0,15.0,SALAMA G,2021
,20.00%,66.67%,13.33%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,3,10,2,0,0,15.0,3.066,0.0,0.0,0.0,0.0,0.0,15.0,,2021
,20.00%,66.67%,13.33%,0.00%,0.00%,,,,,,,,,,2021
CHEN-459-500,0,3,2,0,0,5.0,2.6,0.0,0.0,0.0,0.0,0.0,5.0,ELBASHIR N,2021
,0.00%,60.00%,40.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,0,3,2,0,0,5.0,2.6,0.0,0.0,0.0,0.0,0.0,5.0,,2021
,0.00%,60.00%,40.00%,0.00%,0.00%,,,,,,,,,,2021
CHEN-461-500,8,2,6,2,0,18.0,2.888,0.0,0.0,0.0,0.0,0.0,18.0,NOUNOU M,2021
,44.44%,11.11%,33.33%,11.11%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,8,2,6,2,0,18.0,2.888,0.0,0.0,0.0,0.0,0.0,18.0,,2021
,44.44%,11.11%,33.33%,11.11%,0.00%,,,,,,,,,,2021
CHEN-481-500,17,4,0,0,0,21.0,3.809,0.0,0.0,0.0,0.0,0.0,21.0,AL-RAWASHDEH M,2021
,80.95%,19.05%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,17,4,0,0,0,21.0,3.809,0.0,0.0,0.0,0.0,0.0,21.0,,2021
,80.95%,19.05%,0.00%,0.00%,0.00%,,,,,,,,,,2021
CHEN-482-500,9,3,1,0,0,13.0,3.615,0.0,0.0,0.0,0.0,0.0,13.0,VECHOT L,2021
,69.23%,23.08%,7.69%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,9,3,1,0,0,13.0,3.615,0.0,0.0,0.0,0.0,0.0,13.0,,2021
,69.23%,23.08%,7.69%,0.00%,0.00%,,,,,,,,,,2021
CHEN-601-600,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,VECHOT L,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,,2021
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
CHEN-604-600,4,4,2,0,0,10.0,3.2,0.0,0.0,0.0,0.0,0.0,10.0,NOUNOU M,2021
,40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,4,4,2,0,0,10.0,3.2,0.0,0.0,0.0,0.0,0.0,10.0,,2021
,40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,,,,2021
CHEN-623-600,1,8,1,0,0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,ECONOMOU I,2021
,10.00%,80.00%,10.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,1,8,1,0,0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,,2021
,10.00%,80.00%,10.00%,0.00%,0.00%,,,,,,,,,,2021
CHEN-689-600,5,2,0,0,0,7.0,3.714,0.0,0.0,0.0,0.0,0.0,7.0,ELBASHIR N,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,5,2,0,0,0,7.0,3.714,0.0,0.0,0.0,0.0,0.0,7.0,,2021
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,,2021
MTDE-333-500,5,7,0,0,0,12.0,3.416,0.0,0.0,0.0,2.0,0.0,14.0,OLARTE MERIDA W,2021
,41.67%,58.33%,0.00%,0.00%,0.00%,,,,,,,,,,2021
COURSE TOTAL:,5,7,0,0,0,12.0,3.416,0.0,0.0,0.0,2.0,0.0,14.0,,2021
,41.67%,58.33%,0.00%,0.00%,0.00%,,,,,,,,,,2021
DEPARTMENT TOTAL:,88,85,63,12,3,251.0,2.896,0.0,0.0,0.0,3.0,0.0,254.0,,2021
,35.06%,33.86%,25.10%,4.78%,1.20%,,,,,,,,,,2021
ANTH-201-500,5,9,9,6,3,32.0,2.218,1.0,0.0,0.0,2.0,0.0,35.0,ATHREYA S,2021
,15.63%,28.13%,28.13%,18.75%,9.38%,,,,,,,,,,2021
COURSE TOTAL:,5,9,9,6,3,32.0,2.218,1.0,0.0,0.0,2.0,0.0,35.0,,2021
,15.63%,28.13%,28.13%,18.75%,9.38%,,,,,,,,,,2021
ASCC-101-500,7,3,0,1,1,12.0,3.166,1.0,0.0,0.0,0.0,0.0,13.0,RUDD L,2021
,58.33%,25.00%,0.00%,8.33%,8.33%,,,,,,,,,,2021
COURSE TOTAL:,7,3,0,1,1,12.0,3.166,1.0,0.0,0.0,0.0,0.0,13.0,,2021
,58.33%,25.00%,0.00%,8.33%,8.33%,,,,,,,,,,2021
ASCC-289-501,9,4,1,0,0,14.0,3.571,0.0,0.0,0.0,0.0,0.0,14.0,ELSHEIKH A,2021
,64.29%,28.57%,7.14%,0.00%,0.00%,,,,,,,,,,2021
ASCC-289-502,5,7,1,0,0,13.0,3.307,0.0,0.0,0.0,0.0,0.0,13.0,ABBAS N,2021
,38.46%,53.85%,7.69%,0.00%,0.00%,,,,,,,,,,2021
ASCC-289-503,4,2,4,0,0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,ABBAS N,2021
,40.00%,20.00%,40.00%,0.00%,0.00%,,,,,,,,,,2021
ASCC-289-504,5,2,1,0,0,8.0,3.5,0.0,0.0,0.0,0.0,0.0,8.0,HILLMAN S,2021
,62.50%,25.00%,12.50%,0.00%,0.00%,,,,,,,,,,2021
ASCC-289-505,2,2,1,0,2,7.0,2.285,0.0,0.0,0.0,0.0,0.0,7.0,ELSHEIKH A,2021
,28.57%,28.57%,14.29%,0.00%,28.57%,,,,,,,,,,2021
ASCC-289-506,7,1,1,0,1,10.0,3.3,0.0,0.0,0.0,1.0,0.0,11.0,SCOTT B,2021
,70.00%,10.00%,10.00%,0.00%,10.00%,,,,,,,,,,2021
COURSE TOTAL:,32,18,9,0,3,62.0,3.225,0.0,0.0,0.0,1.0,0.0,63.0,,2021
,51.61%,29.03%,14.52%,0.00%,4.84%,,,,,,,,,,2021
ENGL-104-501,6,11,2,0,0,19.0,3.21,0.0,0.0,0.0,0.0,0.0,19.0,QUEEN M,2021
,31.58%,57.89%,10.53%,0.00%,0.00%,,,,,,,,,,2021
ENGL-104-502,15,1,0,0,3,19.0,3.315,0.0,0.0,0.0,0.0,0.0,19.0,SCHMALSTIG A,2021
,78.95%,5.26%,0.00%,0.00%,15.79%,,,,,,,,,,2021
ENGL-104-503,14,3,0,0,1,18.0,3.611,0.0,0.0,0.0,0.0,0.0,18.0,SCHMALSTIG A,2021
,77.78%,16.67%,0.00%,0.00%,5.56%,,,,,,,,,,2021
ENGL-104-504,4,5,1,1,2,13.0,2.615,0.0,0.0,0.0,5.0,0.0,18.0,QUEEN M,2021
,30.77%,38.46%,7.69%,7.69%,15.38%,,,,,,,,,,2021
ENGL-104-505,7,6,3,0,1,17.0,3.058,0.0,0.0,0.0,1.0,0.0,18.0,RUDD L,2021
,41.18%,35.29%,17.65%,0.00%,5.88%,,,,,,,,,,2021
ENGL-104-506,11,5,2,0,1,19.0,3.315,0.0,0.0,0.0,0.0,0.0,19.0,RUDD L,2021
,57.89%,26.32%,10.53%,0.00%,5.26%,,,,,,,,,,2021
COURSE TOTAL:,57,31,8,1,8,105.0,3.219,0.0,0.0,0.0,6.0,0.0,111.0,,2021
,54.29%,29.52%,7.62%,0.95%,7.62%,,,,,,,,,,2021
ENGL-210-501,7,1,1,0,2,11.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,QUEEN M,2021
,63.64%,9.09%,9.09%,0.00%,18.18%,,,,,,,,,,2021
ENGL-210-502,9,11,0,0,0,20.0,3.45,0.0,0.0,0.0,0.0,0.0,20.0,PIRZADA T,2021
,45.00%,55.00%,0.00%,0.00%,0.00%,,,,,,,,,,2021
