AGCJ-105-501,10,28,11,1,1,51,2.882,0,0,0,0,0,51,WALD D
"",19.61%,54.90%,21.57%,1.96%,1.96%,,,,,,,,,
AGCJ-105-502,4,24,10,0,0,38,2.842,1,0,0,0,0,39,WALD D
"",10.53%,63.16%,26.32%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,52,21,1,1,89,2.865,1,0,0,0,0,90,
"",15.73%,58.43%,23.60%,1.12%,1.12%,,,,,,,,,
AGCJ-281-500,31,12,6,1,1,51,3.392,0,0,0,1,0,52,MASTROGIOVANNI M
"",60.78%,23.53%,11.76%,1.96%,1.96%,,,,,,,,,
COURSE TOTAL:,31,12,6,1,1,51,3.392,0,0,0,1,0,52,
"",60.78%,23.53%,11.76%,1.96%,1.96%,,,,,,,,,
AGCJ-307-599,16,11,0,1,0,28,3.500,0,0,0,0,0,28,PEDIGO M
"",57.14%,39.29%,0.00%,3.57%,0.00%,,,,,,,,,
AGCJ-307-700,17,8,0,1,2,28,3.321,0,0,0,0,0,28,PEDIGO M
"",60.71%,28.57%,0.00%,3.57%,7.14%,,,,,,,,,
COURSE TOTAL:,33,19,0,2,2,56,3.410,0,0,0,0,0,56,
"",58.93%,33.93%,0.00%,3.57%,3.57%,,,,,,,,,
AGCJ-308-501,12,4,0,0,0,16,3.750,0,0,0,0,0,16,KELLETT M
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,4,0,0,0,16,3.750,0,0,0,0,0,16,
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-312-500,21,11,1,1,0,34,3.529,0,0,0,3,0,37,DUNSFORD D
"",61.76%,32.35%,2.94%,2.94%,0.00%,,,,,,,,,
COURSE TOTAL:,21,11,1,1,0,34,3.529,0,0,0,3,0,37,
"",61.76%,32.35%,2.94%,2.94%,0.00%,,,,,,,,,
AGCJ-313-901,13,3,2,0,0,18,3.611,0,0,0,0,0,18,MCGRATH P
