ARCH-205-900,10,5,0,0,0,15,3.666,0,0,0,0,0,15,ENNEMOSER B
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-205-901,3,8,2,1,0,14,2.928,0,0,0,0,0,14,CLAYTON M
"",21.43%,57.14%,14.29%,7.14%,0.00%,,,,,,,,,
ARCH-205-902,6,7,0,0,0,13,3.461,0,0,0,0,0,13,KEY S
"",46.15%,53.85%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-205-903,11,2,1,0,1,15,3.466,0,0,0,0,0,15,WARDEN R
"",73.33%,13.33%,6.67%,0.00%,6.67%,,,,,,,,,
ARCH-205-904,14,0,0,0,0,14,4.000,0,0,0,0,0,14,CAMPAGNOL G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-205-905,12,1,0,0,0,13,3.923,0,0,0,0,0,13,JAIN P
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-205-906,12,2,0,0,0,14,3.857,0,0,0,0,0,14,ENNEMOSER B
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,68,25,3,1,1,98,3.612,0,0,0,0,0,98,
"",69.39%,25.51%,3.06%,1.02%,1.02%,,,,,,,,,
ARCH-212-500,57,91,16,0,0,164,3.250,0,0,0,2,0,166,ZHU X
"",34.76%,55.49%,9.76%,0.00%,0.00%,,,,,,,,,
ARCH-212-700,29,14,3,0,1,47,3.489,0,0,0,2,0,49,LU Z
"",61.70%,29.79%,6.38%,0.00%,2.13%,,,,,,,,,
COURSE TOTAL:,86,105,19,0,1,211,3.303,0,0,0,4,0,215,
"",40.76%,49.76%,9.00%,0.00%,0.47%,,,,,,,,,
ARCH-216-500,42,3,0,0,0,45,3.933,0,0,0,0,0,45,TUZUN CANADINC S
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,42,3,0,0,0,45,3.933,0,0,0,0,0,45,
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-221-500,2,2,0,1,0,5,3.000,0,0,0,2,0,7,KLEIN N
"",40.00%,40.00%,0.00%,20.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,2,0,1,0,5,3.000,0,0,0,2,0,7,
"",40.00%,40.00%,0.00%,20.00%,0.00%,,,,,,,,,
ARCH-246-500,28,0,0,0,0,28,4.000,0,0,0,0,0,28,BILLINGSLEY A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,0,0,0,0,28,4.000,0,0,0,0,0,28,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-249-200,6,1,0,0,0,7,3.857,1,0,0,1,0,9,GLOWACKI K
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-249-501,15,16,7,1,0,39,3.153,0,0,0,1,0,40,GLOWACKI K
"",38.46%,41.03%,17.95%,2.56%,0.00%,,,,,,,,,
ARCH-249-502,52,77,29,9,4,171,2.959,0,0,0,6,0,177,GLOWACKI K
"",30.41%,45.03%,16.96%,5.26%,2.34%,,,,,,,,,
ARCH-249-700,197,32,7,2,3,241,3.734,0,0,0,8,0,249,CAFFEY S
"",81.74%,13.28%,2.90%,0.83%,1.24%,,,,,,,,,
COURSE TOTAL:,270,126,43,12,7,458,3.397,1,0,0,16,0,475,
"",58.95%,27.51%,9.39%,2.62%,1.53%,,,,,,,,,
ARCH-250-200,4,1,0,0,0,5,3.800,0,0,0,1,0,6,KLEIN N
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-250-501,19,13,6,2,0,40,3.225,1,0,0,1,0,42,KLEIN N
"",47.50%,32.50%,15.00%,5.00%,0.00%,,,,,,,,,
ARCH-250-502,83,66,21,1,0,171,3.350,1,0,0,8,0,180,KLEIN N
"",48.54%,38.60%,12.28%,0.58%,0.00%,,,,,,,,,
ARCH-250-700,56,25,12,1,1,95,3.410,0,0,0,3,0,98,CAMPAGNOL G
"",58.95%,26.32%,12.63%,1.05%,1.05%,,,,,,,,,
COURSE TOTAL:,162,105,39,4,1,311,3.360,2,0,0,13,0,326,
"",52.09%,33.76%,12.54%,1.29%,0.32%,,,,,,,,,
ARCH-260-500,11,4,0,0,0,15,3.733,0,0,0,0,0,15,LOPEZ DINARDI M
"",73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,4,0,0,0,15,3.733,0,0,0,0,0,15,
"",73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-305-900,12,2,0,0,0,14,3.857,0,0,0,0,0,14,KIM S
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-305-931,10,6,0,0,0,16,3.625,0,0,0,0,0,16,GELLES R
"",62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
