BUSH-602-600,14,6,1,0,0,21,0.000,0,0,0,0,0,21,RAISOR C
"",66.67%,28.57%,4.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,6,1,0,0,21,Error,0,0,0,0,0,21,
"",66.67%,28.57%,4.76%,0.00%,0.00%,,,,,,,,,
BUSH-631-600,19,0,0,0,0,19,4.000,0,0,0,0,0,19,DVIR R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-601,16,1,0,0,0,17,3.941,0,0,0,0,0,17,CORTES K
"",94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-602,12,3,0,0,0,15,3.800,0,0,0,0,0,15,MOSTASHARI S
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-603,16,1,0,0,0,17,3.941,0,0,0,0,0,17,CORTES K
"",94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-604,4,0,4,0,0,8,3.000,0,0,0,0,0,8,MOSTASHARI S
"",50.00%,0.00%,50.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-605,21,0,0,0,0,21,4.000,0,0,0,0,0,21,MORRISS A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-606,9,2,0,0,0,11,3.818,0,0,0,1,0,12,MOSTASHARI S
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-607,5,4,3,0,0,12,3.166,0,0,0,1,0,13,MOSTASHARI S
"",41.67%,33.33%,25.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-700,20,0,0,0,1,21,3.809,0,0,0,0,0,21,CORTES K
"",95.24%,0.00%,0.00%,0.00%,4.76%,,,,,,,,,
COURSE TOTAL:,122,11,7,0,1,141,3.794,0,0,0,2,0,143,
"",86.52%,7.80%,4.96%,0.00%,0.71%,,,,,,,,,
DEPARTMENT TOTAL:,136,17,8,0,1,162,3.794,0,0,0,2,0,164
"",83.95%,10.49%,4.94%,0.00%,0.62%,,,,,,,,
INTA-603-601,15,5,0,0,0,20,3.750,0,0,0,0,0,20,HENNESSEY-NILAND J
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,5,0,0,0,20,3.750,0,0,0,0,0,20,
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-604-600,8,2,2,0,0,12,3.500,0,0,0,0,0,12,TABAAR M
"",66.67%,16.67%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,2,2,0,0,12,3.500,0,0,0,0,0,12,
"",66.67%,16.67%,16.67%,0.00%,0.00%,,,,,,,,,
INTA-605-601,17,6,0,0,0,23,3.739,0,0,0,0,0,23,BARTEL M
"",73.91%,26.09%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-605-602,20,3,0,0,0,23,3.869,0,0,0,0,0,23,TEAGUE A
"",86.96%,13.04%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-605-650,9,0,0,0,0,9,4.000,0,0,0,0,0,9,WEBER Y
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-605-700,5,3,0,0,2,10,2.900,0,0,0,1,0,11,TALBOT B
"",50.00%,30.00%,0.00%,0.00%,20.00%,,,,,,,,,
COURSE TOTAL:,51,12,0,0,2,65,3.692,0,0,0,1,0,66,
"",78.46%,18.46%,0.00%,0.00%,3.08%,,,,,,,,,
