ASCC-101-501,12,0,0,0,0,12,4.000,0,0,0,0,0,12,MCCLURE M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ASCC-101-502,10,8,1,0,0,19,3.473,0,0,0,1,0,20,JONES M
"",52.63%,42.11%,5.26%,0.00%,0.00%,,,,,,,,,
ASCC-101-503,15,5,1,0,0,21,3.666,0,0,0,0,0,21,MCCLURE M
"",71.43%,23.81%,4.76%,0.00%,0.00%,,,,,,,,,
ASCC-101-504,5,3,0,0,0,8,3.625,0,0,0,0,0,8,JONES M
"",62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,42,16,2,0,0,60,3.666,0,0,0,1,0,61,
"",70.00%,26.67%,3.33%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,42,16,2,0,0,60,3.666,0,0,0,1,0,61,
"",70.00%,26.67%,3.33%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,42,16,2,0,0,60,3.666,0,0,0,1,0,61,
"",70.00%,26.67%,3.33%,0.00%,0.00%,,,,,,,,,
