DDHS-3110-500,23,6,0,0,0,29,3.793,0,0,0,0,0,29,FOX E
"",79.31%,20.69%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,6,0,0,0,29,3.793,0,0,0,0,0,29,
"",79.31%,20.69%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-3120-500,15,15,0,0,0,30,3.500,0,0,0,0,0,30,FOX E
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,15,0,0,0,30,3.500,0,0,0,0,0,30,
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-3160-500,15,14,0,0,0,29,3.517,0,0,0,0,0,29,COWEN B
"",51.72%,48.28%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,14,0,0,0,29,3.517,0,0,0,0,0,29,
"",51.72%,48.28%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-3250-500,11,16,3,0,0,30,3.266,0,0,0,0,0,30,LU Y
"",36.67%,53.33%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,16,3,0,0,30,3.266,0,0,0,0,0,30,
"",36.67%,53.33%,10.00%,0.00%,0.00%,,,,,,,,,
DDHS-3425-500,13,16,0,0,0,29,3.448,0,0,0,0,0,29,COTTER J
"",44.83%,55.17%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,16,0,0,0,29,3.448,0,0,0,0,0,29,
"",44.83%,55.17%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-4015-500,17,11,1,0,0,29,3.551,0,0,0,0,0,29,ABRAHAM C
"",58.62%,37.93%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,11,1,0,0,29,3.551,0,0,0,0,0,29,
"",58.62%,37.93%,3.45%,0.00%,0.00%,,,,,,,,,
DDHS-4025-500,19,8,2,0,0,29,3.586,0,0,0,0,0,29,WRIGHT J
"",65.52%,27.59%,6.90%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,8,2,0,0,29,3.586,0,0,0,0,0,29,
"",65.52%,27.59%,6.90%,0.00%,0.00%,,,,,,,,,
DDHS-4140-500,25,3,1,0,0,29,3.827,0,0,0,0,0,29,REED K
"",86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,3,1,0,0,29,3.827,0,0,0,0,0,29,
"",86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,,,
DDHS-4410-500,28,0,0,0,1,29,3.862,0,0,0,0,0,29,WYATT L
"",96.55%,0.00%,0.00%,0.00%,3.45%,,,,,,,,,
COURSE TOTAL:,28,0,0,0,1,29,3.862,0,0,0,0,0,29,
"",96.55%,0.00%,0.00%,0.00%,3.45%,,,,,,,,,
DDHS-4610-500,13,16,0,0,0,29,3.448,0,0,0,0,0,29,ABRAHAM C
"",44.83%,55.17%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,16,0,0,0,29,3.448,0,0,0,0,0,29,
"",44.83%,55.17%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-4620-500,13,15,1,0,0,29,3.413,0,0,0,0,0,29,BROWN M
"",44.83%,51.72%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,15,1,0,0,29,3.413,0,0,0,0,0,29,
"",44.83%,51.72%,3.45%,0.00%,0.00%,,,,,,,,,
DDHS-4715-500,3,16,9,0,1,29,2.689,0,0,0,0,0,29,BENSON M
"",10.34%,55.17%,31.03%,0.00%,3.45%,,,,,,,,,
COURSE TOTAL:,3,16,9,0,1,29,2.689,0,0,0,0,0,29,
"",10.34%,55.17%,31.03%,0.00%,3.45%,,,,,,,,,
DEPARTMENT TOTAL:,195,136,17,0,2,350,3.486,0,0,0,0,0,350
"",55.71%,38.86%,4.86%,0.00%,0.57%,,,,,,,,
OMFS-610-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,HENDERSON B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OMFS-650-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,READ FULLER A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,19,0,0,0,0,19,4.000,0,0,0,0,0,19,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-602-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,Error,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-606-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,PARK Y
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,Error,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-608-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,PARK Y
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,Error,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-610-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JACOB H
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-613-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-614-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,Error,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-616-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,Error,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-618-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,Error,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-622-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-625-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-628-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-630-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-635-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-638-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
