EDHP-630-700,6,1,0,0,0,7,3.857,0,0,0,0,0,7,KURZ T
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7,3.857,0,0,0,0,0,7,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
EDHP-631-700,4,1,0,0,0,5,3.800,0,0,0,0,0,5,ARNOLD S
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.800,0,0,0,0,0,5,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
HCPI-655-700,11,0,0,0,0,11,4.000,0,0,0,0,0,11,MIRANDA M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
HCPI-658-700,4,3,0,0,0,7,3.571,0,0,0,0,0,7,BITOUNI A
"",57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,3,0,0,0,7,3.571,0,0,0,0,0,7,
"",57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
MPHY-624-601,12,0,0,0,0,12,4.000,0,0,0,0,0,12,VANBUREN V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MPHY-624-602,6,0,0,0,0,6,4.000,0,0,0,0,0,6,VANBUREN V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,0,0,0,0,18,4.000,0,0,0,0,0,18,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MPHY-689-601,6,8,0,0,0,14,3.428,1,0,0,1,0,16,MUTHUCHAMY M
"",42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,8,0,0,0,14,3.428,1,0,0,1,0,16,
"",42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-601-601,11,5,0,0,0,16,3.687,0,0,0,2,0,18,CHAKRABORTY S
"",68.75%,31.25%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-601-603,5,1,0,0,0,6,3.833,0,0,0,0,0,6,SIWKO S
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,6,0,0,0,22,3.727,0,0,0,2,0,24,
"",72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-605-600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,WANG H
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4.000,0,0,0,0,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-609-305,6,0,0,0,0,6,4.000,0,0,0,0,0,6,WILSON V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-609-600,34,0,0,0,0,34,4.000,0,0,0,0,0,34,WILSON V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,40,0,0,0,0,40,4.000,0,0,0,0,0,40,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-635-601,18,1,1,0,0,20,3.850,0,0,0,1,0,21,WEST A
"",90.00%,5.00%,5.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,1,1,0,0,20,3.850,0,0,0,1,0,21,
"",90.00%,5.00%,5.00%,0.00%,0.00%,,,,,,,,,
MSCI-650-650,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HUSTON D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-685-614,8,0,0,0,0,8,4.000,0,0,0,0,0,8,SHAPIRO L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-689-602,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MITCHELL B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-689-603,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MITCHELL B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,168,20,1,0,0,189,3.833,1,0,0,4,0,194,
"",88.89%,10.58%,0.53%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,168,20,1,0,0,189,3.833,1,0,0,4,0,194,
"",88.89%,10.58%,0.53%,0.00%,0.00%,,,,,,,,,
