CHEM-107-401,24,25,22,4,8,83,2.638,0,0,0,7,0,90,NAIR R
"",28.92%,30.12%,26.51%,4.82%,9.64%,,,,,,,,,
CHEM-107-402,15,32,23,9,4,83,2.542,0,0,0,6,0,89,ARONSON C
"",18.07%,38.55%,27.71%,10.84%,4.82%,,,,,,,,,
CHEM-107-405,16,33,28,5,3,85,2.635,0,0,0,6,0,91,NAIR R
"",18.82%,38.82%,32.94%,5.88%,3.53%,,,,,,,,,
COURSE TOTAL:,55,90,73,18,15,251,2.605,0,0,0,19,0,270,
"",21.91%,35.86%,29.08%,7.17%,5.98%,,,,,,,,,
CHEM-117-401,5,10,4,0,0,19,3.052,0,0,0,0,0,19,TOWNSEND G
"",26.32%,52.63%,21.05%,0.00%,0.00%,,,,,,,,,
CHEM-117-402,4,8,4,0,2,18,2.666,0,0,0,0,0,18,TOWNSEND G
"",22.22%,44.44%,22.22%,0.00%,11.11%,,,,,,,,,
CHEM-117-403,4,12,3,0,2,21,2.761,0,0,0,0,0,21,TOWNSEND G
"",19.05%,57.14%,14.29%,0.00%,9.52%,,,,,,,,,
CHEM-117-404,5,8,2,4,2,21,2.476,0,0,0,0,0,21,TOWNSEND G
"",23.81%,38.10%,9.52%,19.05%,9.52%,,,,,,,,,
CHEM-117-405,0,9,7,3,2,21,2.095,0,0,0,1,0,22,TOWNSEND G
"",0.00%,42.86%,33.33%,14.29%,9.52%,,,,,,,,,
CHEM-117-406,8,11,1,0,1,21,3.190,0,0,0,0,0,21,TOWNSEND G
"",38.10%,52.38%,4.76%,0.00%,4.76%,,,,,,,,,
CHEM-117-407,0,8,4,0,0,12,2.666,0,0,0,0,0,12,TOWNSEND G
"",0.00%,66.67%,33.33%,0.00%,0.00%,,,,,,,,,
CHEM-117-408,1,3,2,2,0,8,2.375,0,0,0,0,0,8,TOWNSEND G
"",12.50%,37.50%,25.00%,25.00%,0.00%,,,,,,,,,
CHEM-117-409,2,14,2,0,3,21,2.571,0,0,0,0,0,21,TOWNSEND G
"",9.52%,66.67%,9.52%,0.00%,14.29%,,,,,,,,,
CHEM-117-410,5,8,5,1,1,20,2.750,0,0,0,0,0,20,TOWNSEND G
"",25.00%,40.00%,25.00%,5.00%,5.00%,,,,,,,,,
CHEM-117-411,2,12,3,1,1,19,2.684,0,0,0,1,0,20,TOWNSEND G
"",10.53%,63.16%,15.79%,5.26%,5.26%,,,,,,,,,
CHEM-117-412,1,7,4,1,1,14,2.428,0,0,0,0,0,14,TOWNSEND G
"",7.14%,50.00%,28.57%,7.14%,7.14%,,,,,,,,,
