CHEN-204-200,5,1,1,0,0,7,3.571,0,0,0,0,0,7,SALAMA G
"",71.43%,14.29%,14.29%,0.00%,0.00%,,,,,,,,,
CHEN-204-500,4,4,5,0,2,15,2.533,0,0,0,5,0,20,SALAMA G
"",26.67%,26.67%,33.33%,0.00%,13.33%,,,,,,,,,
COURSE TOTAL:,9,5,6,0,2,22,2.863,0,0,0,5,0,27,
"",40.91%,22.73%,27.27%,0.00%,9.09%,,,,,,,,,
CHEN-304-500,9,10,7,0,0,26,3.076,0,0,0,0,0,26,KAKOSIMOS K
"",34.62%,38.46%,26.92%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,10,7,0,0,26,3.076,0,0,0,0,0,26,
"",34.62%,38.46%,26.92%,0.00%,0.00%,,,,,,,,,
CHEN-320-500,13,9,5,0,0,27,3.296,0,0,0,0,0,27,AL-MOHANNADI D
"",48.15%,33.33%,18.52%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,9,5,0,0,27,3.296,0,0,0,0,0,27,
"",48.15%,33.33%,18.52%,0.00%,0.00%,,,,,,,,,
CHEN-322-500,10,9,9,1,1,30,2.866,0,0,0,0,0,30,ABDALLA A
"",33.33%,30.00%,30.00%,3.33%,3.33%,,,,,,,,,
COURSE TOTAL:,10,9,9,1,1,30,2.866,0,0,0,0,0,30,
"",33.33%,30.00%,30.00%,3.33%,3.33%,,,,,,,,,
CHEN-354-500,7,10,10,0,0,27,2.888,0,0,0,0,0,27,ABDEL-WAHAB A
"",25.93%,37.04%,37.04%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,10,10,0,0,27,2.888,0,0,0,0,0,27,
"",25.93%,37.04%,37.04%,0.00%,0.00%,,,,,,,,,
CHEN-425-500,10,13,5,0,1,29,3.068,0,0,0,0,0,29,LINKE P
"",34.48%,44.83%,17.24%,0.00%,3.45%,,,,,,,,,
COURSE TOTAL:,10,13,5,0,1,29,3.068,0,0,0,0,0,29,
"",34.48%,44.83%,17.24%,0.00%,3.45%,,,,,,,,,
CHEN-432-900,11,5,0,0,0,16,3.687,0,0,0,0,0,16,SALAMA G
"",68.75%,31.25%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,5,0,0,0,16,3.687,0,0,0,0,0,16,
"",68.75%,31.25%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-459-500,0,5,0,0,0,5,3.000,0,0,0,0,0,5,ELBASHIR N
"",0.00%,100.00%,0.00%,0.00%,0.00%,,,,,,,,,
