BIMS-602-599,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CRISCITIELLO M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-602-600,18,0,0,0,0,18,4.000,0,0,0,1,0,19,CRISCITIELLO M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,0,0,0,0,23,4.000,0,0,0,1,0,24,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,23,0,0,0,0,23,4.000,0,0,0,1,0,24,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-111-500,88,0,0,0,0,88,4.000,0,0,0,0,0,88,YOUNG C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-111-501,74,2,0,0,0,76,3.973,0,0,0,0,0,76,YOUNG C
"",97.37%,2.63%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-111-M99,15,2,0,0,0,17,3.882,0,0,0,0,0,17,SILKWOOD C
"",88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,177,4,0,0,0,181,3.977,0,0,0,0,0,181,
"",97.79%,2.21%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-211-501,65,1,0,0,1,67,3.925,0,0,0,0,0,67,YOUNG C
"",97.01%,1.49%,0.00%,0.00%,1.49%,,,,,,,,,
VIBS-211-502,25,1,0,0,0,26,3.961,0,0,0,0,0,26,YOUNG C
"",96.15%,3.85%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,90,2,0,0,1,93,3.935,0,0,0,0,0,93,
"",96.77%,2.15%,0.00%,0.00%,1.08%,,,,,,,,,
VIBS-243-500,30,8,1,0,1,40,3.650,0,0,0,0,0,40,KNEESE D
"",75.00%,20.00%,2.50%,0.00%,2.50%,,,,,,,,,
VIBS-243-501,27,9,0,1,0,37,3.675,0,0,0,0,0,37,KNEESE D
"",72.97%,24.32%,0.00%,2.70%,0.00%,,,,,,,,,
VIBS-243-M01,7,2,1,0,0,10,3.600,0,0,0,1,0,11,KNEESE D
"",70.00%,20.00%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,64,19,2,1,1,87,3.655,0,0,0,1,0,88,
"",73.56%,21.84%,2.30%,1.15%,1.15%,,,,,,,,,
VIBS-277-500,35,19,6,5,2,67,3.194,0,0,0,2,0,69,KO G
"",52.24%,28.36%,8.96%,7.46%,2.99%,,,,,,,,,
COURSE TOTAL:,35,19,6,5,2,67,3.194,0,0,0,2,0,69,
"",52.24%,28.36%,8.96%,7.46%,2.99%,,,,,,,,,
VIBS-305-501,15,32,22,7,3,79,2.620,0,0,0,6,0,85,WILSON P
"",18.99%,40.51%,27.85%,8.86%,3.80%,,,,,,,,,
VIBS-305-502,19,25,15,13,4,76,2.552,0,0,0,5,0,81,WILSON P
"",25.00%,32.89%,19.74%,17.11%,5.26%,,,,,,,,,
VIBS-305-503,4,22,16,3,3,48,2.437,0,0,0,3,0,51,WILSON P
"",8.33%,45.83%,33.33%,6.25%,6.25%,,,,,,,,,
COURSE TOTAL:,38,79,53,23,10,203,2.551,0,0,0,14,0,217,
"",18.72%,38.92%,26.11%,11.33%,4.93%,,,,,,,,,
VIBS-343-500,6,11,4,0,0,21,3.095,0,0,0,14,0,35,JOHNSON G
"",28.57%,52.38%,19.05%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,11,4,0,0,21,3.095,0,0,0,14,0,35,
"",28.57%,52.38%,19.05%,0.00%,0.00%,,,,,,,,,
VIBS-401-500,8,7,4,0,0,19,3.210,0,0,0,2,0,21,SRIVASTAVA V
"",42.11%,36.84%,21.05%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,7,4,0,0,19,3.210,0,0,0,2,0,21,
"",42.11%,36.84%,21.05%,0.00%,0.00%,,,,,,,,,
VIBS-404-200,22,0,0,0,0,22,4.000,0,0,0,0,0,22,PHILLIPS T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,0,0,0,0,22,4.000,0,0,0,0,0,22,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-424-204,8,5,0,0,0,13,3.615,0,0,0,0,0,13,AROSH J
"",61.54%,38.46%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,5,0,0,0,13,3.615,0,0,0,0,0,13,
"",61.54%,38.46%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-445-500,15,0,0,0,0,15,4.000,0,0,0,0,0,15,PINE M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-450-500,8,4,5,2,1,20,2.800,0,0,0,12,0,32,KO G
"",40.00%,20.00%,25.00%,10.00%,5.00%,,,,,,,,,
COURSE TOTAL:,8,4,5,2,1,20,2.800,0,0,0,12,0,32,
"",40.00%,20.00%,25.00%,10.00%,5.00%,,,,,,,,,
VIBS-485-522,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KNEESE D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-602-601,17,16,1,0,0,34,3.470,0,0,0,8,0,42,JOHNSON G
"",50.00%,47.06%,2.94%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,16,1,0,0,34,3.470,0,0,0,8,0,42,
"",50.00%,47.06%,2.94%,0.00%,0.00%,,,,,,,,,
VIBS-603-600,2,6,0,0,0,8,3.250,0,0,0,0,0,8,FRANK-CANNON T
"",25.00%,75.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,6,0,0,0,8,3.250,0,0,0,0,0,8,
"",25.00%,75.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-604-604,22,1,0,0,0,23,3.956,1,0,0,0,0,24,AROSH J
"",95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,1,0,0,0,23,3.956,1,0,0,0,0,24,
"",95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-619-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,PHILLIPS T
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-627-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BURGHARDT R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-641-600,8,2,0,0,0,10,3.800,0,0,0,0,0,10,CHIU W
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,2,0,0,0,10,3.800,0,0,0,0,0,10,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-650-601,26,1,0,0,0,27,3.962,0,0,0,0,0,27,RIJNKELS M
"",96.30%,3.70%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,1,0,0,0,27,3.962,0,0,0,0,0,27,
