AGCJ-105-500,4,10,2,0,0,16,3.125,0,0,0,0,0,16,WALD D
"",25.00%,62.50%,12.50%,0.00%,0.00%,,,,,,,,,
AGCJ-105-501,7,9,8,0,0,24,2.958,0,0,0,0,0,24,WALD D
"",29.17%,37.50%,33.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,19,10,0,0,40,3.025,0,0,0,0,0,40,
"",27.50%,47.50%,25.00%,0.00%,0.00%,,,,,,,,,
AGCJ-281-500,18,2,0,0,0,20,3.900,0,0,0,1,0,21,DUNSFORD D
"",90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,2,0,0,0,20,3.900,0,0,0,1,0,21,
"",90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-306-599,21,8,1,0,0,30,3.666,0,0,0,0,0,30,SHIPP D
"",70.00%,26.67%,3.33%,0.00%,0.00%,,,,,,,,,
AGCJ-306-700,3,2,0,0,0,5,3.600,0,0,0,0,0,5,SHIPP D
"",60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,10,1,0,0,35,3.657,0,0,0,0,0,35,
"",68.57%,28.57%,2.86%,0.00%,0.00%,,,,,,,,,
AGCJ-307-599,23,6,0,0,1,30,3.666,0,0,0,0,0,30,TOPP K
"",76.67%,20.00%,0.00%,0.00%,3.33%,,,,,,,,,
COURSE TOTAL:,23,6,0,0,1,30,3.666,0,0,0,0,0,30,
"",76.67%,20.00%,0.00%,0.00%,3.33%,,,,,,,,,
AGCJ-312-501,25,15,6,1,1,48,3.291,0,0,0,2,0,50,MCGRATH P
"",52.08%,31.25%,12.50%,2.08%,2.08%,,,,,,,,,
COURSE TOTAL:,25,15,6,1,1,48,3.291,0,0,0,2,0,50,
"",52.08%,31.25%,12.50%,2.08%,2.08%,,,,,,,,,
AGCJ-313-901,11,6,2,1,0,20,3.350,0,0,0,1,0,21,DUNSFORD D
"",55.00%,30.00%,10.00%,5.00%,0.00%,,,,,,,,,
AGCJ-313-902,7,6,4,0,0,17,3.176,0,0,0,0,0,17,DUNSFORD D
"",41.18%,35.29%,23.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,12,6,1,0,37,3.270,0,0,0,1,0,38,
"",48.65%,32.43%,16.22%,2.70%,0.00%,,,,,,,,,
AGCJ-314-901,6,5,0,0,1,12,3.250,0,0,0,0,0,12,DUNSFORD D
"",50.00%,41.67%,0.00%,0.00%,8.33%,,,,,,,,,
AGCJ-314-902,12,10,4,0,0,26,3.307,0,0,0,0,0,26,DUNSFORD D
"",46.15%,38.46%,15.38%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,15,4,0,1,38,3.289,0,0,0,0,0,38,
"",47.37%,39.47%,10.53%,0.00%,2.63%,,,,,,,,,
AGCJ-366-501,10,7,2,0,0,19,3.421,0,0,0,1,0,20,CHIVVIS J
"",52.63%,36.84%,10.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,7,2,0,0,19,3.421,0,0,0,1,0,20,
"",52.63%,36.84%,10.53%,0.00%,0.00%,,,,,,,,,
AGCJ-405-501,20,0,0,0,0,20,4.000,0,0,0,0,0,20,ROUSE L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,0,0,0,0,20,4.000,0,0,0,0,0,20,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-408-700,11,14,0,0,0,25,3.440,0,0,0,0,0,25,WEGENER R
"",44.00%,56.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,14,0,0,0,25,3.440,0,0,0,0,0,25,
"",44.00%,56.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-411-500,25,4,0,0,0,29,3.862,0,0,0,1,0,30,VICTORIA M
"",86.21%,13.79%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,4,0,0,0,29,3.862,0,0,0,1,0,30,
"",86.21%,13.79%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-481-501,16,10,3,0,0,29,3.448,0,0,0,0,0,29,LEGGETTE H
"",55.17%,34.48%,10.34%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,10,3,0,0,29,3.448,0,0,0,0,0,29,
"",55.17%,34.48%,10.34%,0.00%,0.00%,,,,,,,,,
AGCJ-489-500,1,3,0,0,1,5,2.600,0,0,0,1,0,6,LEGGETTE H
"",20.00%,60.00%,0.00%,0.00%,20.00%,,,,,,,,,
COURSE TOTAL:,1,3,0,0,1,5,2.600,0,0,0,1,0,6,
"",20.00%,60.00%,0.00%,0.00%,20.00%,,,,,,,,,
AGCJ-494-516,12,0,0,0,0,12,4.000,0,0,0,1,0,13,DUNSFORD D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-494-566,5,1,0,0,0,6,3.739,0,0,0,0,0,6,DUNSFORD D
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,1,0,0,0,18,3.915,0,0,0,1,0,19,
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
AGSC-302-900,8,2,0,0,0,10,3.800,0,0,0,0,0,10,EDNEY K
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,2,0,0,0,10,3.800,0,0,0,0,0,10,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGSC-373-500,14,4,1,0,0,19,3.684,0,0,0,0,0,19,HANCOCK J
"",73.68%,21.05%,5.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,4,1,0,0,19,3.684,0,0,0,0,0,19,
"",73.68%,21.05%,5.26%,0.00%,0.00%,,,,,,,,,
AGSC-383-501,15,3,1,0,0,19,3.736,0,0,0,0,0,19,HANCOCK J
"",78.95%,15.79%,5.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,3,1,0,0,19,3.736,0,0,0,0,0,19,
"",78.95%,15.79%,5.26%,0.00%,0.00%,,,,,,,,,
AGSC-425-502,11,2,0,0,0,13,3.846,0,0,0,0,0,13,PILGER A
"",84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,2,0,0,0,13,3.846,0,0,0,0,0,13,
"",84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
AGSC-436-500,11,1,1,0,0,13,3.769,0,0,0,0,0,13,MURPHY T
"",84.62%,7.69%,7.69%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,1,0,0,13,3.769,0,0,0,0,0,13,
"",84.62%,7.69%,7.69%,0.00%,0.00%,,,,,,,,,
AGSC-481-501,13,0,0,0,0,13,4.000,0,0,0,0,0,13,PILGER A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4.000,0,0,0,0,0,13,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGSC-484-525,11,2,0,0,0,13,3.846,0,0,0,0,0,13,MURPHY T
"",84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,2,0,0,0,13,3.846,0,0,0,0,0,13,
"",84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-412-599,8,4,2,0,0,14,3.428,0,0,0,0,0,14,MURPHREY T
"",57.14%,28.57%,14.29%,0.00%,0.00%,,,,,,,,,
ALEC-412-700,4,6,2,0,0,12,3.166,0,0,0,0,0,12,MURPHREY T
"",33.33%,50.00%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,10,4,0,0,26,3.307,0,0,0,0,0,26,
"",46.15%,38.46%,15.38%,0.00%,0.00%,,,,,,,,,
ALEC-425-700,17,6,1,1,1,26,3.423,0,0,0,0,0,26,BYCE C
"",65.38%,23.08%,3.85%,3.85%,3.85%,,,,,,,,,
COURSE TOTAL:,17,6,1,1,1,26,3.423,0,0,0,0,0,26,
"",65.38%,23.08%,3.85%,3.85%,3.85%,,,,,,,,,
ALEC-460-501,2,4,0,0,0,6,3.333,0,0,0,0,0,6,ELLIOT J
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,4,0,0,0,6,3.333,0,0,0,0,0,6,
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-610-600,26,0,0,0,0,26,4.000,0,0,0,0,0,26,BRIERS G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,0,0,0,0,26,4.000,0,0,0,0,0,26,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-612-699,11,1,0,0,0,12,3.916,0,0,0,0,0,12,MURPHREY T
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,0,0,0,12,3.916,0,0,0,0,0,12,
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-615-600,16,0,0,0,0,16,4.000,0,0,0,0,0,16,BRIERS G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-625-699,12,3,0,0,0,15,3.800,0,0,0,1,0,16,REDWINE T
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-625-700,5,1,0,0,0,6,3.833,0,0,0,0,0,6,REDWINE T
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,4,0,0,0,21,3.809,0,0,0,1,0,22,
"",80.95%,19.05%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-631-600,20,0,0,0,0,20,4.000,0,0,0,0,0,20,CUMMINGS S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,0,0,0,0,20,4.000,0,0,0,0,0,20,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-640-699,15,1,0,0,0,16,3.937,0,0,0,1,0,17,IRBY T
"",93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
