ARCH-206-500,8,4,0,0,0,12,3.666,0,0,0,0,0,12,LUTZ S
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-206-501,8,4,0,0,0,12,3.666,2,0,0,0,0,14,CLAYTON M
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-206-502,6,7,2,0,0,15,3.266,0,0,0,0,0,15,TRIPP A
"",40.00%,46.67%,13.33%,0.00%,0.00%,,,,,,,,,
ARCH-206-503,15,0,0,0,0,15,4.000,0,0,0,1,0,16,ESQUIVEL J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-206-504,16,0,0,0,0,16,4.000,0,0,0,0,0,16,JAIN P
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-206-505,14,1,0,0,0,15,3.933,0,0,0,0,0,15,FARAHBAKHSH M
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-206-506,10,2,2,0,0,14,3.571,0,0,0,0,0,14,WARDEN R
"",71.43%,14.29%,14.29%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,77,18,4,0,0,99,3.737,2,0,0,1,0,102,
"",77.78%,18.18%,4.04%,0.00%,0.00%,,,,,,,,,
ARCH-212-500,12,14,4,4,0,34,3.000,0,0,0,0,0,34,ZHU X
"",35.29%,41.18%,11.76%,11.76%,0.00%,,,,,,,,,
ARCH-212-700,27,18,2,0,1,48,3.458,0,0,0,1,0,49,LU Z
"",56.25%,37.50%,4.17%,0.00%,2.08%,,,,,,,,,
COURSE TOTAL:,39,32,6,4,1,82,3.268,0,0,0,1,0,83,
"",47.56%,39.02%,7.32%,4.88%,1.22%,,,,,,,,,
ARCH-213-500,77,36,16,2,3,134,3.358,0,0,0,7,0,141,BELTRAN L
"",57.46%,26.87%,11.94%,1.49%,2.24%,,,,,,,,,
ARCH-213-501,17,10,1,0,0,28,3.571,0,0,0,1,0,29,BELTRAN L
"",60.71%,35.71%,3.57%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,94,46,17,2,3,162,3.395,0,0,0,8,0,170,
"",58.02%,28.40%,10.49%,1.23%,1.85%,,,,,,,,,
ARCH-216-500,25,1,0,0,1,27,3.814,0,0,0,3,0,30,TUZUN CANADINC S
"",92.59%,3.70%,0.00%,0.00%,3.70%,,,,,,,,,
ARCH-216-501,13,5,0,0,0,18,3.722,0,0,0,2,0,20,GAYK M
"",72.22%,27.78%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,38,6,0,0,1,45,3.777,0,0,0,5,0,50,
"",84.44%,13.33%,0.00%,0.00%,2.22%,,,,,,,,,
