BUSH-631-601,13,2,5,0,0,20,3.400,0,0,0,0,0,20,MARBACH M
"",65.00%,10.00%,25.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-602,10,2,1,0,0,13,3.692,0,0,0,0,0,13,MARBACH M
"",76.92%,15.38%,7.69%,0.00%,0.00%,,,,,,,,,
BUSH-631-603,18,7,0,0,0,25,3.720,0,0,0,0,0,25,DVIR R
"",72.00%,28.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-700,23,0,0,0,0,23,4.000,0,0,0,0,0,23,CORTES K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,64,11,6,0,0,81,3.716,0,0,0,0,0,81,
"",79.01%,13.58%,7.41%,0.00%,0.00%,,,,,,,,,
BUSH-632-600,8,2,0,0,0,10,3.800,0,0,0,0,0,10,TAYLOR L
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,2,0,0,0,10,3.800,0,0,0,0,0,10,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-635-601,4,3,2,0,0,9,3.222,1,0,0,0,0,10,MOSTASHARI S
"",44.44%,33.33%,22.22%,0.00%,0.00%,,,,,,,,,
BUSH-635-602,9,4,0,0,0,13,3.692,0,0,0,1,0,14,MOSTASHARI S
"",69.23%,30.77%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-635-603,10,2,0,0,0,12,3.833,0,0,0,0,0,12,MOSTASHARI S
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,9,2,0,0,34,3.617,1,0,0,1,0,36,
"",67.65%,26.47%,5.88%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,95,22,8,0,0,125,3.696,1,0,0,1,0,127
"",76.00%,17.60%,6.40%,0.00%,0.00%,,,,,,,,
INTA-603-700,13,1,0,0,0,14,3.928,1,0,0,0,0,15,RUSSELL R
"",92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,1,0,0,0,14,3.928,1,0,0,0,0,15,
"",92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-604-700,8,0,0,0,2,10,3.200,0,0,0,0,0,10,RUSSELL R
"",80.00%,0.00%,0.00%,0.00%,20.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,2,10,3.200,0,0,0,0,0,10,
"",80.00%,0.00%,0.00%,0.00%,20.00%,,,,,,,,,
INTA-605-601,8,0,0,0,0,8,4.000,0,0,0,0,0,8,TEAGUE A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-605-602,12,2,0,0,0,14,3.857,0,0,0,0,0,14,LAYNE C
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-605-700,3,1,0,1,2,7,2.285,0,0,0,0,0,7,TALBOT B
"",42.86%,14.29%,0.00%,14.29%,28.57%,,,,,,,,,
COURSE TOTAL:,23,3,0,1,2,29,3.517,0,0,0,0,0,29,
"",79.31%,10.34%,0.00%,3.45%,6.90%,,,,,,,,,
INTA-606-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,PARK J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-606-601,21,0,0,0,0,21,4.000,0,0,0,0,0,21,MARIN THORNTON G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-606-650,5,1,0,0,1,7,3.285,0,0,0,0,0,7,LEMON E
"",71.43%,14.29%,0.00%,0.00%,14.29%,,,,,,,,,
COURSE TOTAL:,33,1,0,0,1,35,3.857,0,0,0,0,0,35,
"",94.29%,2.86%,0.00%,0.00%,2.86%,,,,,,,,,
INTA-608-600,17,1,0,0,0,18,3.944,0,0,0,0,0,18,CASTELLANOS SOSA F
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-608-650,7,1,0,0,0,8,3.875,1,0,0,0,0,9,ZONGYUAN L
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,2,0,0,0,26,3.923,1,0,0,0,0,27,
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-613-601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,NAPPER L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-613-602,9,0,0,0,0,9,4.000,0,0,0,0,0,9,NAPPER L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,0,0,0,0,18,4.000,0,0,0,0,0,18,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-616-600,12,1,0,0,0,13,3.923,1,0,0,1,0,15,MU R
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,1,0,0,0,13,3.923,1,0,0,1,0,15,
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-625-600,10,5,1,0,1,17,3.352,0,0,0,0,0,17,ROBERTSON R
"",58.82%,29.41%,5.88%,0.00%,5.88%,,,,,,,,,
COURSE TOTAL:,10,5,1,0,1,17,3.352,0,0,0,0,0,17,
"",58.82%,29.41%,5.88%,0.00%,5.88%,,,,,,,,,
INTA-630-600,3,4,0,0,0,7,3.428,0,0,0,0,0,7,SERRA D
"",42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,4,0,0,0,7,3.428,0,0,0,0,0,7,
"",42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-636-600,15,5,0,0,0,20,3.750,0,0,0,0,0,20,NATSIOS A
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,5,0,0,0,20,3.750,0,0,0,0,0,20,
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-640-600,17,3,0,0,0,20,3.850,0,0,0,0,0,20,SNIDER E
"",85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,3,0,0,0,20,3.850,0,0,0,0,0,20,
"",85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-643-600,9,3,0,0,0,12,3.750,0,0,0,0,0,12,HAMIE C
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,3,0,0,0,12,3.750,0,0,0,0,0,12,
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-647-600,18,3,0,0,0,21,3.857,0,0,0,0,0,21,HUANG R
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,3,0,0,0,21,3.857,0,0,0,0,0,21,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-650-600,12,6,1,0,0,19,3.578,0,0,0,0,0,19,SIEVERT R
"",63.16%,31.58%,5.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,6,1,0,0,19,3.578,0,0,0,0,0,19,
"",63.16%,31.58%,5.26%,0.00%,0.00%,,,,,,,,,
