OBIO-612-600,2,2,1,0,0,5,3.200,0,0,0,0,0,5,OPPERMAN L
"",40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,2,1,0,0,5,3.200,0,0,0,0,0,5,
"",40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,,,
OBIO-621-600,18,11,3,0,0,32,3.468,0,0,0,0,0,32,SCHNEIDERMAN E
"",56.25%,34.38%,9.38%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,11,3,0,0,32,3.468,0,0,0,0,0,32,
"",56.25%,34.38%,9.38%,0.00%,0.00%,,,,,,,,,
OBIO-640-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,LU Y
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.800,0,0,0,0,0,5,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-641-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,WANG X
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-673-600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,HONEYMAN A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4.000,0,0,0,0,0,13,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-687-600,4,0,0,0,1,5,3.304,0,0,0,0,0,5,RUEST L
"",80.00%,0.00%,0.00%,0.00%,20.00%,,,,,,,,,
COURSE TOTAL:,4,0,0,0,1,5,3.304,0,0,0,0,0,5,
"",80.00%,0.00%,0.00%,0.00%,20.00%,,,,,,,,,
DEPARTMENT TOTAL:,45,16,4,0,1,66,3.560,0,0,0,0,0,66
"",68.18%,24.24%,6.06%,0.00%,1.52%,,,,,,,,
AEGD-602-600,8,0,0,0,0,8,0.000,0,0,0,0,0,8,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,Error,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-604-600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-611-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-617-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-620-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-625-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PROS-644-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,CHO S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PROS-647-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,CHO S
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,66,2,0,0,0,68,3.957,0,0,0,0,0,68,
"",97.06%,2.94%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-3020-500,9,19,2,0,0,30,3.233,0,0,0,0,0,30,COTTER J
"",30.00%,63.33%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,19,2,0,0,30,3.233,0,0,0,0,0,30,
"",30.00%,63.33%,6.67%,0.00%,0.00%,,,,,,,,,
DDHS-3220-500,18,11,1,0,0,30,3.566,0,0,0,0,0,30,LIANG H
"",60.00%,36.67%,3.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,11,1,0,0,30,3.566,0,0,0,0,0,30,
"",60.00%,36.67%,3.33%,0.00%,0.00%,,,,,,,,,
