CEHD-603-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,GOODSON P
"",77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,2,0,0,0,9,3.777,0,0,0,0,0,9,
"",77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,7,2,0,0,0,9,3.777,0,0,0,0,0,9,
"",77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-601-600,6,3,0,0,0,9,3.666,0,0,0,1,0,10,PONJUAN L
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,3,0,0,0,9,3.666,0,0,0,1,0,10,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-603-600,12,2,0,0,0,14,3.857,0,0,0,0,0,14,SALAZAR C
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,2,0,0,0,14,3.857,0,0,0,0,0,14,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-608-700,36,3,0,0,0,39,3.923,1,0,0,0,0,40,SAAVEDRA A
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,36,3,0,0,0,39,3.923,1,0,0,0,0,40,
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-609-700,9,2,0,0,0,11,3.818,0,0,0,0,0,11,HILL-JACKSON V
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-609-701,39,0,0,0,0,39,4.000,0,0,0,1,0,40,ABDELRAHMAN N
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,48,2,0,0,0,50,3.960,0,0,0,1,0,51,
"",96.00%,4.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-610-600,11,1,0,0,0,12,3.916,0,0,0,0,0,12,BROWN J
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,0,0,0,12,3.916,0,0,0,0,0,12,
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-611-602,18,2,0,0,0,20,3.900,0,0,0,0,0,20,MUSOBA G
"",90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,2,0,0,0,20,3.900,0,0,0,0,0,20,
"",90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
