AERO-201-500,6,19,10,2,1,38,2.710,2,0,0,1,0,41,STRGANAC T
"",15.79%,50.00%,26.32%,5.26%,2.63%,,,,,,,,,
COURSE TOTAL:,6,19,10,2,1,38,2.710,2,0,0,1,0,41,
"",15.79%,50.00%,26.32%,5.26%,2.63%,,,,,,,,,
AERO-211-500,7,15,6,3,1,32,2.750,0,0,0,1,0,33,GUZMAN F
"",21.88%,46.88%,18.75%,9.38%,3.13%,,,,,,,,,
COURSE TOTAL:,7,15,6,3,1,32,2.750,0,0,0,1,0,33,
"",21.88%,46.88%,18.75%,9.38%,3.13%,,,,,,,,,
AERO-212-200,7,7,1,0,0,15,3.400,0,0,0,0,0,15,DOGARIU A
"",46.67%,46.67%,6.67%,0.00%,0.00%,,,,,,,,,
AERO-212-500,16,37,14,5,1,73,2.849,0,0,0,8,0,81,DOGARIU A
"",21.92%,50.68%,19.18%,6.85%,1.37%,,,,,,,,,
AERO-212-501,16,13,17,7,0,53,2.716,0,0,0,5,0,58,KARPETIS A
"",30.19%,24.53%,32.08%,13.21%,0.00%,,,,,,,,,
AERO-212-502,2,6,1,1,0,10,2.900,0,0,0,2,0,12,KARPETIS A
"",20.00%,60.00%,10.00%,10.00%,0.00%,,,,,,,,,
COURSE TOTAL:,41,63,33,13,1,151,2.860,0,0,0,15,0,166,
"",27.15%,41.72%,21.85%,8.61%,0.66%,,,,,,,,,
AERO-214-500,0,1,1,1,2,5,1.200,0,0,0,5,0,10,LE GRAVEREND J
"",0.00%,20.00%,20.00%,20.00%,40.00%,,,,,,,,,
AERO-214-501,2,6,4,3,0,15,2.466,0,0,0,3,0,18,LE GRAVEREND J
"",13.33%,40.00%,26.67%,20.00%,0.00%,,,,,,,,,
AERO-214-502,2,4,3,2,0,11,2.545,0,0,0,6,0,17,LE GRAVEREND J
"",18.18%,36.36%,27.27%,18.18%,0.00%,,,,,,,,,
AERO-214-503,1,7,3,2,0,13,2.538,0,0,0,5,0,18,LE GRAVEREND J
"",7.69%,53.85%,23.08%,15.38%,0.00%,,,,,,,,,
AERO-214-504,2,5,5,0,1,13,2.538,0,0,0,4,0,17,LE GRAVEREND J
"",15.38%,38.46%,38.46%,0.00%,7.69%,,,,,,,,,
AERO-214-505,1,7,3,1,1,13,2.461,0,0,0,0,0,13,LE GRAVEREND J
"",7.69%,53.85%,23.08%,7.69%,7.69%,,,,,,,,,
AERO-214-506,1,8,5,0,0,14,2.714,0,0,0,2,0,16,LE GRAVEREND J
"",7.14%,57.14%,35.71%,0.00%,0.00%,,,,,,,,,
AERO-214-507,2,7,6,1,0,16,2.625,0,0,0,0,0,16,LE GRAVEREND J
"",12.50%,43.75%,37.50%,6.25%,0.00%,,,,,,,,,
AERO-214-508,1,8,3,1,0,13,2.692,0,0,0,2,0,15,NARAGHI M
"",7.69%,61.54%,23.08%,7.69%,0.00%,,,,,,,,,
AERO-214-509,5,6,2,2,1,16,2.750,0,0,0,0,0,16,NARAGHI M
"",31.25%,37.50%,12.50%,12.50%,6.25%,,,,,,,,,
AERO-214-510,10,9,0,1,0,20,3.400,0,0,0,0,0,20,NARAGHI M
"",50.00%,45.00%,0.00%,5.00%,0.00%,,,,,,,,,
AERO-214-511,1,8,3,0,0,12,2.833,0,0,0,1,0,13,LE GRAVEREND J
"",8.33%,66.67%,25.00%,0.00%,0.00%,,,,,,,,,
AERO-214-512,1,2,2,1,0,6,2.500,0,0,0,2,0,8,LE GRAVEREND J
"",16.67%,33.33%,33.33%,16.67%,0.00%,,,,,,,,,
COURSE TOTAL:,29,78,40,15,5,167,2.664,0,0,0,30,0,197,
"",17.37%,46.71%,23.95%,8.98%,2.99%,,,,,,,,,
AERO-222-200,12,11,5,1,0,29,3.172,0,0,0,0,0,29,WHITCOMB J
"",41.38%,37.93%,17.24%,3.45%,0.00%,,,,,,,,,
AERO-222-500,6,5,3,0,0,14,3.214,1,0,0,3,0,18,WHITCOMB J
"",42.86%,35.71%,21.43%,0.00%,0.00%,,,,,,,,,
AERO-222-501,5,12,7,4,1,29,2.551,0,0,0,0,0,29,WHITCOMB J
"",17.24%,41.38%,24.14%,13.79%,3.45%,,,,,,,,,
AERO-222-502,10,7,6,4,0,27,2.851,0,0,0,2,0,29,WHITCOMB J
"",37.04%,25.93%,22.22%,14.81%,0.00%,,,,,,,,,
AERO-222-503,4,6,10,6,2,28,2.142,0,0,0,2,0,30,WHITCOMB J
"",14.29%,21.43%,35.71%,21.43%,7.14%,,,,,,,,,
AERO-222-504,10,3,5,2,0,20,3.050,0,0,0,2,0,22,FERNANDES R
"",50.00%,15.00%,25.00%,10.00%,0.00%,,,,,,,,,
AERO-222-505,14,7,2,1,1,25,3.280,0,0,0,0,0,25,FERNANDES R
"",56.00%,28.00%,8.00%,4.00%,4.00%,,,,,,,,,
COURSE TOTAL:,61,51,38,18,4,172,2.854,1,0,0,9,0,182,
"",35.47%,29.65%,22.09%,10.47%,2.33%,,,,,,,,,
AERO-301-500,9,27,17,3,3,59,2.610,0,0,0,6,0,65,WHITE E
"",15.25%,45.76%,28.81%,5.08%,5.08%,,,,,,,,,
AERO-301-501,22,14,4,2,1,43,3.255,0,0,0,1,0,44,TROPINA A
"",51.16%,32.56%,9.30%,4.65%,2.33%,,,,,,,,,
COURSE TOTAL:,31,41,21,5,4,102,2.882,0,0,0,7,0,109,
"",30.39%,40.20%,20.59%,4.90%,3.92%,,,,,,,,,
AERO-303-200,3,3,0,0,0,6,3.500,0,0,0,0,0,6,LIMBACH C
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-303-500,14,21,9,2,1,47,2.957,0,0,0,1,0,48,LIMBACH C
"",29.79%,44.68%,19.15%,4.26%,2.13%,,,,,,,,,
AERO-303-501,7,43,24,6,3,83,2.542,0,0,0,3,0,86,GROOT K
"",8.43%,51.81%,28.92%,7.23%,3.61%,,,,,,,,,
COURSE TOTAL:,24,67,33,8,4,136,2.727,0,0,0,4,0,140,
"",17.65%,49.26%,24.26%,5.88%,2.94%,,,,,,,,,
AERO-304-500,12,25,22,2,4,65,2.600,0,0,0,7,0,72,TALREJA R
"",18.46%,38.46%,33.85%,3.08%,6.15%,,,,,,,,,
COURSE TOTAL:,12,25,22,2,4,65,2.600,0,0,0,7,0,72,
"",18.46%,38.46%,33.85%,3.08%,6.15%,,,,,,,,,
AERO-306-500,48,3,0,0,0,51,3.941,0,0,0,0,0,51,STROUBOULIS T
"",94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-306-501,19,25,13,5,3,65,2.800,0,0,0,11,0,76,HARTL D
"",29.23%,38.46%,20.00%,7.69%,4.62%,,,,,,,,,
COURSE TOTAL:,67,28,13,5,3,116,3.301,0,0,0,11,0,127,
"",57.76%,24.14%,11.21%,4.31%,2.59%,,,,,,,,,
AERO-307-900,7,4,2,0,0,13,3.384,0,0,0,1,0,14,JACKSON S
"",53.85%,30.77%,15.38%,0.00%,0.00%,,,,,,,,,
AERO-307-902,10,2,1,0,0,13,3.692,0,0,0,1,0,14,JACKSON S
"",76.92%,15.38%,7.69%,0.00%,0.00%,,,,,,,,,
AERO-307-903,4,5,0,0,0,9,3.444,0,0,0,0,0,9,JACKSON S
"",44.44%,55.56%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-307-905,9,3,0,0,0,12,3.750,0,0,0,0,0,12,JACKSON S
