ATMO-201-501,19,21,2,1,1,44,3.272,0,0,0,3,0,47,ZHANG Y
"",43.18%,47.73%,4.55%,2.27%,2.27%,,,,,,,,,
ATMO-201-502,80,52,25,9,3,169,3.165,0,0,0,14,0,183,NIELSEN E
"",47.34%,30.77%,14.79%,5.33%,1.78%,,,,,,,,,
ATMO-201-504,12,31,4,0,0,47,3.170,0,0,0,1,0,48,BROOKS S
"",25.53%,65.96%,8.51%,0.00%,0.00%,,,,,,,,,
ATMO-201-505,17,11,5,2,1,36,3.138,0,0,0,3,0,39,NORTH R
"",47.22%,30.56%,13.89%,5.56%,2.78%,,,,,,,,,
ATMO-201-599,141,148,73,5,2,369,3.140,0,0,0,21,0,390,EPIFANIO C
"",38.21%,40.11%,19.78%,1.36%,0.54%,,,,,,,,,
COURSE TOTAL:,269,263,109,17,7,665,3.157,0,0,0,42,0,707,
"",40.45%,39.55%,16.39%,2.56%,1.05%,,,,,,,,,
ATMO-202-501,15,6,3,0,0,24,3.500,0,0,0,0,0,24,CONLEE D
"",62.50%,25.00%,12.50%,0.00%,0.00%,,,,,,,,,
ATMO-202-502,11,10,0,0,1,22,3.363,0,0,0,1,0,23,CONLEE D
"",50.00%,45.45%,0.00%,0.00%,4.55%,,,,,,,,,
ATMO-202-503,18,4,1,0,1,24,3.583,0,0,0,0,0,24,CONLEE D
"",75.00%,16.67%,4.17%,0.00%,4.17%,,,,,,,,,
ATMO-202-504,9,11,3,0,0,23,3.260,0,0,0,1,0,24,CONLEE D
"",39.13%,47.83%,13.04%,0.00%,0.00%,,,,,,,,,
ATMO-202-505,16,6,0,0,1,23,3.565,0,0,0,0,0,23,CONLEE D
"",69.57%,26.09%,0.00%,0.00%,4.35%,,,,,,,,,
COURSE TOTAL:,69,37,7,0,3,116,3.456,0,0,0,2,0,118,
"",59.48%,31.90%,6.03%,0.00%,2.59%,,,,,,,,,
ATMO-321-500,11,2,5,2,1,21,2.952,0,0,0,1,0,22,SZUNYOGH I
"",52.38%,9.52%,23.81%,9.52%,4.76%,,,,,,,,,
COURSE TOTAL:,11,2,5,2,1,21,2.952,0,0,0,1,0,22,
"",52.38%,9.52%,23.81%,9.52%,4.76%,,,,,,,,,
ATMO-324-501,10,12,1,0,0,23,3.391,0,0,0,0,0,23,XU Y
"",43.48%,52.17%,4.35%,0.00%,0.00%,,,,,,,,,
ATMO-324-502,12,0,1,0,1,14,3.571,0,0,0,0,0,14,XU Y
"",85.71%,0.00%,7.14%,0.00%,7.14%,,,,,,,,,
COURSE TOTAL:,22,12,2,0,1,37,3.459,0,0,0,0,0,37,
