ANTH-201-500,31,7,3,1,0,42,3.619,0,0,0,0,0,42,GALLO G
"",73.81%,16.67%,7.14%,2.38%,0.00%,,,,,,,,,
ANTH-201-501,36,5,0,1,0,42,3.809,0,0,0,0,0,42,GALLO G
"",85.71%,11.90%,0.00%,2.38%,0.00%,,,,,,,,,
ANTH-201-502,39,5,2,0,0,46,3.804,0,0,0,0,0,46,GALLO G
"",84.78%,10.87%,4.35%,0.00%,0.00%,,,,,,,,,
ANTH-201-599,41,13,13,4,3,74,3.148,0,0,0,1,0,75,GURSKY S
"",55.41%,17.57%,17.57%,5.41%,4.05%,,,,,,,,,
COURSE TOTAL:,147,30,18,6,3,204,3.529,0,0,0,1,0,205,
"",72.06%,14.71%,8.82%,2.94%,1.47%,,,,,,,,,
ANTH-202-500,14,21,12,3,0,50,2.920,0,0,0,6,0,56,WATERS M
"",28.00%,42.00%,24.00%,6.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,21,12,3,0,50,2.920,0,0,0,6,0,56,
"",28.00%,42.00%,24.00%,6.00%,0.00%,,,,,,,,,
ANTH-204-500,34,12,1,0,0,47,3.702,0,0,0,1,0,48,GALLO G
"",72.34%,25.53%,2.13%,0.00%,0.00%,,,,,,,,,
ANTH-204-501,4,10,5,3,3,25,2.360,0,0,0,6,1,32,GRAF K
"",16.00%,40.00%,20.00%,12.00%,12.00%,,,,,,,,,
ANTH-204-502,2,8,0,3,0,13,2.692,0,0,0,8,0,21,GRAF K
"",15.38%,61.54%,0.00%,23.08%,0.00%,,,,,,,,,
COURSE TOTAL:,40,30,6,6,3,85,3.152,0,0,0,15,1,101,
"",47.06%,35.29%,7.06%,7.06%,3.53%,,,,,,,,,
ANTH-205-500,15,15,12,4,4,50,2.660,0,0,0,8,0,58,CUELLO DEL POZO P
"",30.00%,30.00%,24.00%,8.00%,8.00%,,,,,,,,,
ANTH-205-501,21,17,13,6,2,59,2.830,0,0,0,5,0,64,ANDERSON M
"",35.59%,28.81%,22.03%,10.17%,3.39%,,,,,,,,,
ANTH-205-502,63,36,18,3,2,122,3.270,0,0,0,1,0,123,LYNCH D
"",51.64%,29.51%,14.75%,2.46%,1.64%,,,,,,,,,
ANTH-205-503,48,50,10,7,4,119,3.100,0,0,0,3,0,122,LYNCH D
"",40.34%,42.02%,8.40%,5.88%,3.36%,,,,,,,,,
ANTH-205-504,26,8,0,0,1,35,3.657,0,0,0,0,0,35,O'BRIEN S
"",74.29%,22.86%,0.00%,0.00%,2.86%,,,,,,,,,
ANTH-205-505,19,22,9,1,1,52,3.096,0,0,0,5,0,57,BURKE A
"",36.54%,42.31%,17.31%,1.92%,1.92%,,,,,,,,,
ANTH-205-506,5,2,6,0,3,16,2.375,0,0,0,2,0,18,ALVARD M
"",31.25%,12.50%,37.50%,0.00%,18.75%,,,,,,,,,
ANTH-205-507,34,4,1,0,2,41,3.658,0,0,0,1,0,42,THOMAS O
"",82.93%,9.76%,2.44%,0.00%,4.88%,,,,,,,,,
ANTH-205-508,9,18,8,1,0,36,2.972,0,0,0,0,0,36,WHITE J
"",25.00%,50.00%,22.22%,2.78%,0.00%,,,,,,,,,
ANTH-205-509,66,4,2,0,0,72,3.888,0,0,0,0,0,72,LAPORTE C
"",91.67%,5.56%,2.78%,0.00%,0.00%,,,,,,,,,
ANTH-205-599,23,19,25,10,7,84,2.488,0,0,0,11,0,95,ALVARD M
"",27.38%,22.62%,29.76%,11.90%,8.33%,,,,,,,,,
COURSE TOTAL:,329,195,104,32,26,686,3.120,0,0,0,36,0,722,
"",47.96%,28.43%,15.16%,4.66%,3.79%,,,,,,,,,
ANTH-210-501,58,53,6,1,3,121,3.338,0,0,0,1,0,122,LEMUS S
"",47.93%,43.80%,4.96%,0.83%,2.48%,,,,,,,,,
ANTH-210-502,43,10,5,1,1,60,3.550,0,0,0,0,0,60,KHAUMYEN B
"",71.67%,16.67%,8.33%,1.67%,1.67%,,,,,,,,,
COURSE TOTAL:,101,63,11,2,4,181,3.408,0,0,0,1,0,182,
"",55.80%,34.81%,6.08%,1.10%,2.21%,,,,,,,,,
ANTH-225-501,5,10,13,5,2,35,2.314,0,0,0,3,0,38,ANDERSON M
"",14.29%,28.57%,37.14%,14.29%,5.71%,,,,,,,,,
ANTH-225-599,15,15,7,0,1,38,3.131,0,0,0,0,0,38,GURSKY S
"",39.47%,39.47%,18.42%,0.00%,2.63%,,,,,,,,,
COURSE TOTAL:,20,25,20,5,3,73,2.739,0,0,0,3,0,76,
"",27.40%,34.25%,27.40%,6.85%,4.11%,,,,,,,,,
ANTH-226-501,12,2,1,0,2,17,3.294,0,0,0,0,0,17,ACHORN A
"",70.59%,11.76%,5.88%,0.00%,11.76%,,,,,,,,,
ANTH-226-502,12,3,1,0,0,16,3.687,0,0,0,0,0,16,JONES L
"",75.00%,18.75%,6.25%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,5,2,0,2,33,3.484,0,0,0,0,0,33,
"",72.73%,15.15%,6.06%,0.00%,6.06%,,,,,,,,,
ANTH-305-900,14,3,2,0,1,20,3.450,0,0,0,0,0,20,BROOKS C
"",70.00%,15.00%,10.00%,0.00%,5.00%,,,,,,,,,
COURSE TOTAL:,14,3,2,0,1,20,3.450,0,0,0,0,0,20,
"",70.00%,15.00%,10.00%,0.00%,5.00%,,,,,,,,,
ANTH-308-500,8,5,5,0,1,19,3.000,0,0,0,1,0,20,INURRETA DIAZ A
"",42.11%,26.32%,26.32%,0.00%,5.26%,,,,,,,,,
COURSE TOTAL:,8,5,5,0,1,19,3.000,0,0,0,1,0,20,
"",42.11%,26.32%,26.32%,0.00%,5.26%,,,,,,,,,
ANTH-312-500,7,4,0,0,0,11,3.636,0,0,0,1,0,12,PRANG T
"",63.64%,36.36%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,4,0,0,0,11,3.636,0,0,0,1,0,12,
"",63.64%,36.36%,0.00%,0.00%,0.00%,,,,,,,,,
ANTH-313-500,8,9,3,3,1,24,2.833,0,0,0,2,0,26,KENNEDY C
"",33.33%,37.50%,12.50%,12.50%,4.17%,,,,,,,,,
COURSE TOTAL:,8,9,3,3,1,24,2.833,0,0,0,2,0,26,
"",33.33%,37.50%,12.50%,12.50%,4.17%,,,,,,,,,
ANTH-316-501,18,16,14,7,1,56,2.767,1,0,0,4,0,61,PULAK C
"",32.14%,28.57%,25.00%,12.50%,1.79%,,,,,,,,,
COURSE TOTAL:,18,16,14,7,1,56,2.767,1,0,0,4,0,61,
"",32.14%,28.57%,25.00%,12.50%,1.79%,,,,,,,,,
ANTH-317-500,6,8,7,5,1,27,2.481,0,0,0,0,0,27,WACHSMANN S
"",22.22%,29.63%,25.93%,18.52%,3.70%,,,,,,,,,
COURSE TOTAL:,6,8,7,5,1,27,2.481,0,0,0,0,0,27,
