AERS-102-501,31,1,0,0,0,32,3.968,0,0,0,0,0,32,CARTER R
"",96.88%,3.13%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-502,27,3,0,0,0,30,3.900,2,0,0,0,0,32,CARTER R
"",90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-503,22,2,0,0,0,24,3.916,0,0,0,0,0,24,CARTER R
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-504,27,2,0,0,0,29,3.931,0,0,0,0,0,29,CARTER R
"",93.10%,6.90%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-505,23,2,0,0,0,25,3.920,1,0,0,0,0,26,CARTER R
"",92.00%,8.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-507,23,1,0,0,0,24,3.958,1,0,0,0,0,25,CARTER R
"",95.83%,4.17%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-508,14,1,1,0,0,16,3.812,0,0,0,0,0,16,CARTER R
"",87.50%,6.25%,6.25%,0.00%,0.00%,,,,,,,,,
AERS-102-509,12,0,0,0,0,12,4.000,0,0,0,0,0,12,CARTER R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-511,22,0,0,0,0,22,4.000,0,0,0,0,0,22,CARTER R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,201,12,1,0,0,214,3.934,4,0,0,0,0,218,
"",93.93%,5.61%,0.47%,0.00%,0.00%,,,,,,,,,
AERS-202-501,23,0,0,0,0,23,4.000,0,0,0,0,0,23,CHANDLER T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-502,19,2,0,0,0,21,3.904,0,0,0,0,0,21,CHANDLER T
"",90.48%,9.52%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-503,18,1,0,0,0,19,3.947,0,0,0,0,0,19,CHANDLER T
"",94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-505,8,0,0,0,0,8,4.000,0,0,0,0,0,8,CHANDLER T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-506,9,0,0,0,0,9,4.000,0,0,0,0,0,9,CHANDLER T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-507,7,2,0,0,0,9,3.777,0,0,0,0,0,9,CHANDLER T
"",77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,84,5,0,0,0,89,3.943,0,0,0,0,0,89,
"",94.38%,5.62%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-501,34,0,0,0,0,34,4.000,0,0,0,0,0,34,ORR M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-502,26,1,0,0,0,27,3.962,0,0,0,0,0,27,ORR M
"",96.30%,3.70%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-504,17,1,0,0,0,18,3.944,0,0,0,0,0,18,ORR M
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,77,2,0,0,0,79,3.974,0,0,0,0,0,79,
"",97.47%,2.53%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-404-501,28,2,0,0,0,30,3.933,0,0,0,0,0,30,CHANDLER T
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-404-502,23,2,0,0,0,25,3.920,0,0,0,0,0,25,CHANDLER T
"",92.00%,8.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-404-504,26,2,0,0,0,28,3.928,0,0,0,0,0,28,CHANDLER T
"",92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,77,6,0,0,0,83,3.927,0,0,0,0,0,83,
"",92.77%,7.23%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,439,25,1,0,0,465,3.945,4,0,0,0,0,469
"",94.41%,5.38%,0.22%,0.00%,0.00%,,,,,,,,
SOMS-111-501,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SIMPSON M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-505,28,5,1,0,0,34,4.000,0,0,0,0,0,34,WASHINGTON R
"",82.35%,14.71%,2.94%,0.00%,0.00%,,,,,,,,,
SOMS-181-506,34,0,0,0,0,34,4.000,0,0,0,0,0,34,ANDERSON C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-507,32,2,0,1,0,35,3.952,0,0,0,0,0,35,BRUMMETT K
"",91.43%,5.71%,0.00%,2.86%,0.00%,,,,,,,,,
SOMS-181-508,29,4,0,0,1,34,3.928,0,0,0,0,0,34,WOOD F
"",85.29%,11.76%,0.00%,0.00%,2.94%,,,,,,,,,
SOMS-181-509,30,0,0,0,0,30,4.000,0,0,0,0,0,30,WOOD F
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-510,35,0,0,0,0,35,4.000,0,0,0,0,0,35,CHEATHAM S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-511,17,2,5,0,0,24,3.666,0,0,0,0,0,24,WOOD F
"",70.83%,8.33%,20.83%,0.00%,0.00%,,,,,,,,,
SOMS-181-512,31,1,0,0,0,32,4.000,0,0,0,0,0,32,SCHLATHER B
"",96.88%,3.13%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-513,13,2,2,1,2,20,3.666,0,0,0,0,0,20,REGAN J
"",65.00%,10.00%,10.00%,5.00%,10.00%,,,,,,,,,
SOMS-181-514,27,4,2,0,0,33,3.800,0,0,0,0,0,33,LEIBLE J
"",81.82%,12.12%,6.06%,0.00%,0.00%,,,,,,,,,
SOMS-181-515,35,0,0,0,0,35,4.000,0,0,0,0,0,35,PARKER C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-516,17,0,0,0,0,17,4.000,0,0,0,0,0,17,ORNELAZ D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-517,31,4,0,0,0,35,4.000,0,0,0,0,0,35,WOOD F
"",88.57%,11.43%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-518,29,2,1,0,0,32,3.928,0,0,0,0,0,32,NORRIS D
"",90.63%,6.25%,3.13%,0.00%,0.00%,,,,,,,,,
SOMS-181-519,20,2,0,0,0,22,4.000,0,0,0,0,0,22,LEIBLE J
"",90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-181-520,32,0,0,0,0,32,4.000,0,0,0,0,0,32,ORNELAZ D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,440,28,11,2,3,484,3.955,0,0,0,0,0,484,
"",90.91%,5.79%,2.27%,0.41%,0.62%,,,,,,,,,
SOMS-281-500,17,3,4,0,0,24,3.684,0,0,0,0,0,24,BROWN T
"",70.83%,12.50%,16.67%,0.00%,0.00%,,,,,,,,,
SOMS-281-501,22,1,0,0,0,23,3.928,2,0,0,0,0,25,BROWN T
"",95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-281-502,24,0,0,0,0,24,4.000,0,0,0,0,0,24,BROWN T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-281-503,20,4,0,0,0,24,3.941,0,0,0,0,0,24,ALLISON K
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-281-504,20,3,0,0,1,24,3.736,0,0,0,0,0,24,BROWN T
"",83.33%,12.50%,0.00%,0.00%,4.17%,,,,,,,,,
