PHEO-612-698,22,1,0,0,0,23,3.956,0,0,0,0,0,23,CARRILLO G
"",95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,1,0,0,0,23,3.956,0,0,0,0,0,23,
"",95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-630-601,11,0,1,0,0,12,3.833,0,0,0,0,0,12,JOHNSON N
"",91.67%,0.00%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,1,0,0,12,3.833,0,0,0,0,0,12,
"",91.67%,0.00%,8.33%,0.00%,0.00%,,,,,,,,,
PHEO-639-601,19,0,0,0,0,19,4.000,0,0,0,0,0,19,CIZMAS L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,0,0,0,0,19,4.000,0,0,0,0,0,19,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-640-600,4,11,0,0,0,15,3.266,0,0,0,0,0,15,PICKENS A
"",26.67%,73.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,11,0,0,0,15,3.266,0,0,0,0,0,15,
"",26.67%,73.33%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-645-600,6,6,0,0,0,12,3.500,0,0,0,0,0,12,BENDEN M
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,6,0,0,0,12,3.500,0,0,0,0,0,12,
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-650-699,24,4,0,0,0,28,3.857,0,0,0,0,0,28,MENDOZA SANCHEZ I
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,4,0,0,0,28,3.857,0,0,0,0,0,28,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-655-600,17,6,0,0,0,23,3.739,0,0,0,0,0,23,PERES C
"",73.91%,26.09%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,6,0,0,0,23,3.739,0,0,0,0,0,23,
"",73.91%,26.09%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-675-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SHARMA V
