LAW-603-603,3,3,0,0,0,6,3.500,0,0,0,0,0,6,HENNING W
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,3,0,0,0,6,3.500,0,0,0,0,0,6,
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-611-601,2,3,0,0,0,5,3.400,0,0,0,0,0,5,SEYMORE M
"",40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,3,0,0,0,5,3.400,0,0,0,0,0,5,
"",40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-612-601,4,7,1,0,0,12,3.250,0,0,0,0,0,12,MARKOVIC M
"",33.33%,58.33%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,7,1,0,0,12,3.250,0,0,0,0,0,12,
"",33.33%,58.33%,8.33%,0.00%,0.00%,,,,,,,,,
LAW-615-701,17,8,4,0,1,30,3.333,0,0,0,0,0,30,MOORE C
"",56.67%,26.67%,13.33%,0.00%,3.33%,,,,,,,,,
COURSE TOTAL:,17,8,4,0,1,30,3.333,0,0,0,0,0,30,
"",56.67%,26.67%,13.33%,0.00%,3.33%,,,,,,,,,
LAW-625-701,10,0,0,0,1,11,3.636,1,0,0,0,0,12,BYRNES W
"",90.91%,0.00%,0.00%,0.00%,9.09%,,,,,,,,,
COURSE TOTAL:,10,0,0,0,1,11,3.636,1,0,0,0,0,12,
"",90.91%,0.00%,0.00%,0.00%,9.09%,,,,,,,,,
LAW-626-701,12,0,0,0,0,12,4.000,0,0,0,0,0,12,BYRNES W
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4.000,0,0,0,0,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-641-601,15,0,1,0,1,17,3.647,0,0,0,2,0,19,ROWLETT K
"",88.24%,0.00%,5.88%,0.00%,5.88%,,,,,,,,,
COURSE TOTAL:,15,0,1,0,1,17,3.647,0,0,0,2,0,19,
"",88.24%,0.00%,5.88%,0.00%,5.88%,,,,,,,,,
LAW-643-701,18,10,0,0,0,28,3.642,0,0,0,1,0,29,DANCY J
"",64.29%,35.71%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-643-702,27,0,0,0,0,27,4.000,0,0,0,1,0,28,DANCY J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-643-703,20,3,0,0,0,23,3.869,0,0,0,1,0,24,MARLETT D
"",86.96%,13.04%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,65,13,0,0,0,78,3.833,0,0,0,3,0,81,
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-645-701,30,3,0,0,1,34,3.794,0,0,0,0,0,34,TOPINKA J
"",88.24%,8.82%,0.00%,0.00%,2.94%,,,,,,,,,
LAW-645-702,27,0,1,0,1,29,3.793,0,0,0,0,0,29,TOPINKA J
"",93.10%,0.00%,3.45%,0.00%,3.45%,,,,,,,,,
LAW-645-703,22,0,0,0,1,23,3.826,0,0,0,0,0,23,TOPINKA J
"",95.65%,0.00%,0.00%,0.00%,4.35%,,,,,,,,,
COURSE TOTAL:,79,3,1,0,3,86,3.802,0,0,0,0,0,86,
"",91.86%,3.49%,1.16%,0.00%,3.49%,,,,,,,,,
LAW-650-701,16,8,2,0,3,29,3.172,2,0,0,0,0,31,HELGE T
"",55.17%,27.59%,6.90%,0.00%,10.34%,,,,,,,,,
COURSE TOTAL:,16,8,2,0,3,29,3.172,2,0,0,0,0,31,
"",55.17%,27.59%,6.90%,0.00%,10.34%,,,,,,,,,
LAW-652-701,32,2,0,0,0,34,3.941,0,0,0,1,0,35,WURTZ K
"",94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,32,2,0,0,0,34,3.941,0,0,0,1,0,35,
"",94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-660-701,52,13,0,0,0,65,3.800,0,0,0,0,0,65,MAHER B
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,52,13,0,0,0,65,3.800,0,0,0,0,0,65,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-700,18,6,0,0,2,26,3.461,4,0,0,0,0,30,
"",69.23%,23.08%,0.00%,0.00%,7.69%,,,,,,,,,
LAW-689-701,10,0,0,0,0,10,4.000,0,0,0,2,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-702,27,1,1,0,0,29,3.896,3,0,0,0,0,32,
"",93.10%,3.45%,3.45%,0.00%,0.00%,,,,,,,,,
LAW-689-703,21,5,0,1,0,27,3.703,2,0,0,1,0,30,
"",77.78%,18.52%,0.00%,3.70%,0.00%,,,,,,,,,
LAW-689-706,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-707,35,3,0,0,0,38,3.921,0,0,0,0,0,38,
"",92.11%,7.89%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-708,22,4,3,0,0,29,3.655,0,0,0,1,0,30,
