BIOL-111-404,2,7,1,0,0,10,3.100,0,0,0,0,0,10,SCHWEIGHOFER M
"",20.00%,70.00%,10.00%,0.00%,0.00%,,,,,,,,,
BIOL-111-405,1,7,3,2,1,14,2.357,0,0,0,1,0,15,SCHWEIGHOFER M
"",7.14%,50.00%,21.43%,14.29%,7.14%,,,,,,,,,
BIOL-111-406,8,3,0,1,1,13,3.230,0,0,0,2,0,15,SCHWEIGHOFER M
"",61.54%,23.08%,0.00%,7.69%,7.69%,,,,,,,,,
BIOL-111-407,0,1,6,0,1,8,1.875,0,0,0,0,0,8,SCHWEIGHOFER M
"",0.00%,12.50%,75.00%,0.00%,12.50%,,,,,,,,,
BIOL-111-408,6,5,3,2,0,16,2.937,0,0,0,1,0,17,SCHWEIGHOFER M
"",37.50%,31.25%,18.75%,12.50%,0.00%,,,,,,,,,
BIOL-111-409,2,2,3,0,0,7,2.857,0,0,0,0,0,7,SCHWEIGHOFER M
"",28.57%,28.57%,42.86%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,25,16,5,3,68,2.764,0,0,0,4,0,72,
"",27.94%,36.76%,23.53%,7.35%,4.41%,,,,,,,,,
CHEM-106-400,7,5,4,2,1,19,2.789,0,0,0,0,0,19,TOWNSEND G
"",36.84%,26.32%,21.05%,10.53%,5.26%,,,,,,,,,
COURSE TOTAL:,7,5,4,2,1,19,2.789,0,0,0,0,0,19,
"",36.84%,26.32%,21.05%,10.53%,5.26%,,,,,,,,,
CHEM-107-401,4,23,24,10,3,64,2.234,0,0,0,4,0,68,NAIR R
"",6.25%,35.94%,37.50%,15.63%,4.69%,,,,,,,,,
CHEM-107-402,4,20,25,6,3,58,2.275,0,0,0,6,0,64,NAIR R
"",6.90%,34.48%,43.10%,10.34%,5.17%,,,,,,,,,
CHEM-107-403,2,5,13,12,3,35,1.742,0,0,0,3,0,38,ARONSON C
"",5.71%,14.29%,37.14%,34.29%,8.57%,,,,,,,,,
CHEM-107-404,6,13,20,10,3,52,2.173,0,0,0,2,0,54,ARONSON C
"",11.54%,25.00%,38.46%,19.23%,5.77%,,,,,,,,,
COURSE TOTAL:,16,61,82,38,12,209,2.148,0,0,0,15,0,224,
"",7.66%,29.19%,39.23%,18.18%,5.74%,,,,,,,,,
CHEM-116-400,2,0,1,1,2,6,1.833,0,0,0,0,0,6,TOWNSEND G
"",33.33%,0.00%,16.67%,16.67%,33.33%,,,,,,,,,
COURSE TOTAL:,2,0,1,1,2,6,1.833,0,0,0,0,0,6,
"",33.33%,0.00%,16.67%,16.67%,33.33%,,,,,,,,,
CHEM-117-401,5,6,4,1,1,17,2.764,0,0,0,2,0,19,TOWNSEND G
"",29.41%,35.29%,23.53%,5.88%,5.88%,,,,,,,,,
CHEM-117-402,4,9,2,0,2,17,2.764,0,0,0,0,0,17,TOWNSEND G
"",23.53%,52.94%,11.76%,0.00%,11.76%,,,,,,,,,
CHEM-117-403,6,4,3,1,2,16,2.687,0,0,0,3,0,19,TOWNSEND G
"",37.50%,25.00%,18.75%,6.25%,12.50%,,,,,,,,,
CHEM-117-404,3,7,6,2,2,20,2.350,0,0,0,0,0,20,TOWNSEND G
"",15.00%,35.00%,30.00%,10.00%,10.00%,,,,,,,,,
CHEM-117-405,11,6,1,0,1,19,3.368,0,0,0,1,0,20,TOWNSEND G
"",57.89%,31.58%,5.26%,0.00%,5.26%,,,,,,,,,
CHEM-117-406,11,7,1,0,0,19,3.526,0,0,0,0,0,19,TOWNSEND G
"",57.89%,36.84%,5.26%,0.00%,0.00%,,,,,,,,,
