CHEN-205-500,8,5,6,2,1,22,2.772,0,0,0,2,0,24,ABDEL-WAHAB A
"",36.36%,22.73%,27.27%,9.09%,4.55%,,,,,,,,,
COURSE TOTAL:,8,5,6,2,1,22,2.772,0,0,0,2,0,24,
"",36.36%,22.73%,27.27%,9.09%,4.55%,,,,,,,,,
CHEN-323-500,2,9,12,1,1,25,2.400,0,0,0,0,0,25,NOUNOU M
"",8.00%,36.00%,48.00%,4.00%,4.00%,,,,,,,,,
COURSE TOTAL:,2,9,12,1,1,25,2.400,0,0,0,0,0,25,
"",8.00%,36.00%,48.00%,4.00%,4.00%,,,,,,,,,
CHEN-324-500,9,12,6,1,1,29,2.931,0,0,0,0,0,29,ABDALLA A
"",31.03%,41.38%,20.69%,3.45%,3.45%,,,,,,,,,
COURSE TOTAL:,9,12,6,1,1,29,2.931,0,0,0,0,0,29,
"",31.03%,41.38%,20.69%,3.45%,3.45%,,,,,,,,,
CHEN-364-500,6,11,10,1,0,28,2.785,0,0,0,0,0,28,AL-RAWASHDEH M
"",21.43%,39.29%,35.71%,3.57%,0.00%,,,,,,,,,
COURSE TOTAL:,6,11,10,1,0,28,2.785,0,0,0,0,0,28,
"",21.43%,39.29%,35.71%,3.57%,0.00%,,,,,,,,,
CHEN-426-500,10,8,0,0,0,18,3.555,0,0,0,0,0,18,LINKE P
"",55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,8,0,0,0,18,3.555,0,0,0,0,0,18,
"",55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-433-900,8,6,3,0,0,17,3.294,0,0,0,0,0,17,SALAMA G
"",47.06%,35.29%,17.65%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,6,3,0,0,17,3.294,0,0,0,0,0,17,
"",47.06%,35.29%,17.65%,0.00%,0.00%,,,,,,,,,
CHEN-455-500,14,9,2,0,0,25,3.480,0,0,0,0,0,25,VECHOT L
"",56.00%,36.00%,8.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,9,2,0,0,25,3.480,0,0,0,0,0,25,
"",56.00%,36.00%,8.00%,0.00%,0.00%,,,,,,,,,
CHEN-457-500,8,5,4,0,0,17,3.235,0,0,0,0,0,17,ABDEL-WAHAB A
"",47.06%,29.41%,23.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,5,4,0,0,17,3.235,0,0,0,0,0,17,
