BIMS-101-501,108,5,3,0,0,116,3.905,0,0,0,0,0,116,IVANOV I
"",93.10%,4.31%,2.59%,0.00%,0.00%,,,,,,,,,
BIMS-101-502,94,3,1,0,0,98,3.948,0,0,0,0,0,98,IVANOV I
"",95.92%,3.06%,1.02%,0.00%,0.00%,,,,,,,,,
BIMS-101-504,86,0,0,0,0,86,4.000,0,0,0,0,0,86,TIAN Y
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,288,8,4,0,0,300,3.946,0,0,0,0,0,300,
"",96.00%,2.67%,1.33%,0.00%,0.00%,,,,,,,,,
BIMS-110-501,66,1,0,0,0,67,3.985,0,0,0,0,0,67,YOUNG C
"",98.51%,1.49%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-110-502,52,1,0,0,0,53,3.981,0,0,0,0,0,53,YOUNG C
"",98.11%,1.89%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-110-M01,4,2,0,0,0,6,3.666,0,0,0,0,0,6,SILKWOOD C
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,122,4,0,0,0,126,3.968,0,0,0,0,0,126,
"",96.83%,3.17%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-201-500,26,8,1,0,0,35,3.714,2,0,0,1,0,38,CROUCH E
"",74.29%,22.86%,2.86%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,8,1,0,0,35,3.714,2,0,0,1,0,38,
"",74.29%,22.86%,2.86%,0.00%,0.00%,,,,,,,,,
BIMS-320-200,7,3,0,0,0,10,3.700,0,0,0,0,0,10,SEABURY C
"",70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-320-502,25,43,23,7,1,99,2.848,0,0,0,2,0,101,DERR J
"",25.25%,43.43%,23.23%,7.07%,1.01%,,,,,,,,,
BIMS-320-503,51,24,7,4,3,89,3.303,0,0,0,8,0,97,DOBSON L
"",57.30%,26.97%,7.87%,4.49%,3.37%,,,,,,,,,
BIMS-320-504,16,22,18,4,1,61,2.786,0,0,0,4,1,66,SKOW L
"",26.23%,36.07%,29.51%,6.56%,1.64%,,,,,,,,,
BIMS-320-505,56,16,9,4,0,85,3.458,0,0,0,2,0,87,DOBSON L
"",65.88%,18.82%,10.59%,4.71%,0.00%,,,,,,,,,
BIMS-320-M99,4,2,1,1,0,8,3.125,0,0,0,2,0,10,SILKWOOD C
"",50.00%,25.00%,12.50%,12.50%,0.00%,,,,,,,,,
COURSE TOTAL:,159,110,58,20,5,352,3.130,0,0,0,18,1,371,
"",45.17%,31.25%,16.48%,5.68%,1.42%,,,,,,,,,
BIMS-380-500,7,0,0,0,0,7,4.000,0,0,0,0,0,7,KRENEK N
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-380-501,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KRENEK N
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4.000,0,0,0,0,0,13,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-421-500,4,1,0,0,0,5,3.800,0,0,0,0,0,5,DINDOT S
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.800,0,0,0,0,0,5,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-485-501,10,0,0,0,0,10,4.000,0,0,0,0,0,10,CROUCH E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-485-543,8,0,0,0,0,8,4.000,1,0,0,0,0,9,CROUCH E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,0,0,0,0,18,4.000,1,0,0,0,0,19,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-489-M01,0,5,1,1,0,7,2.571,0,0,0,0,0,7,CAVAZOS C
"",0.00%,71.43%,14.29%,14.29%,0.00%,,,,,,,,,
COURSE TOTAL:,0,5,1,1,0,7,2.571,0,0,0,0,0,7,
"",0.00%,71.43%,14.29%,14.29%,0.00%,,,,,,,,,
BIMS-491-532,19,0,0,0,0,19,4.000,0,3,0,0,0,22,CROUCH E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,0,0,0,0,19,4.000,0,3,0,0,0,22,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-686-600,40,0,0,0,0,40,4.000,0,0,0,0,0,40,JOHNSON G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,40,0,0,0,0,40,4.000,0,0,0,0,0,40,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,689,136,64,21,5,915,3.429,3,3,0,19,1,941,
"",75.30%,14.86%,6.99%,2.30%,0.55%,,,,,,,,,
VIBS-111-500,79,1,0,0,0,80,3.987,0,0,0,0,0,80,YOUNG C
"",98.75%,1.25%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-111-501,77,1,0,0,0,78,3.987,0,0,0,0,0,78,YOUNG C
"",98.72%,1.28%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-111-M98,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SILKWOOD C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,162,2,0,0,0,164,3.987,0,0,0,0,0,164,
"",98.78%,1.22%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-210-501,14,0,0,0,0,14,4.000,0,0,0,0,0,14,YOUNG C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-210-M99,11,1,0,0,0,12,3.916,0,0,0,0,0,12,SILKWOOD C
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,1,0,0,0,26,3.961,0,0,0,0,0,26,
"",96.15%,3.85%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-243-500,27,7,1,0,0,35,3.742,0,0,0,0,0,35,KNEESE D
"",77.14%,20.00%,2.86%,0.00%,0.00%,,,,,,,,,
VIBS-243-501,23,8,1,0,0,32,3.687,0,0,0,0,0,32,KNEESE D
"",71.88%,25.00%,3.13%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,50,15,2,0,0,67,3.716,0,0,0,0,0,67,
"",74.63%,22.39%,2.99%,0.00%,0.00%,,,,,,,,,
VIBS-277-500,18,4,2,3,2,29,3.137,0,0,0,3,0,32,KO G
"",62.07%,13.79%,6.90%,10.34%,6.90%,,,,,,,,,
COURSE TOTAL:,18,4,2,3,2,29,3.137,0,0,0,3,0,32,
"",62.07%,13.79%,6.90%,10.34%,6.90%,,,,,,,,,
VIBS-305-500,28,35,19,11,2,95,2.800,0,0,0,1,0,96,PINE M
"",29.47%,36.84%,20.00%,11.58%,2.11%,,,,,,,,,
VIBS-305-501,30,27,24,6,2,89,2.865,0,0,0,7,0,96,PINE M
"",33.71%,30.34%,26.97%,6.74%,2.25%,,,,,,,,,
COURSE TOTAL:,58,62,43,17,4,184,2.831,0,0,0,8,0,192,
"",31.52%,33.70%,23.37%,9.24%,2.17%,,,,,,,,,
VIBS-401-500,7,20,5,1,0,33,3.000,0,0,0,0,0,33,SRIVASTAVA V
"",21.21%,60.61%,15.15%,3.03%,0.00%,,,,,,,,,
COURSE TOTAL:,7,20,5,1,0,33,3.000,0,0,0,0,0,33,
"",21.21%,60.61%,15.15%,3.03%,0.00%,,,,,,,,,
VIBS-404-200,14,0,0,0,0,14,4.000,0,0,0,0,0,14,PHILLIPS T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,0,0,0,0,14,4.000,0,0,0,0,0,14,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-411-500,6,3,0,0,0,9,3.666,0,0,0,1,0,10,PORTER W
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,3,0,0,0,9,3.666,0,0,0,1,0,10,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-422-500,179,0,0,0,0,179,4.000,0,0,0,2,0,181,AROSH S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,179,0,0,0,0,179,4.000,0,0,0,2,0,181,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-443-900,15,9,4,1,0,29,3.310,0,0,0,1,0,30,KNEESE D
"",51.72%,31.03%,13.79%,3.45%,0.00%,,,,,,,,,
COURSE TOTAL:,15,9,4,1,0,29,3.310,0,0,0,1,0,30,
"",51.72%,31.03%,13.79%,3.45%,0.00%,,,,,,,,,
VIBS-445-500,8,0,0,0,0,8,4.000,0,0,0,0,0,8,PINE M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-485-500,8,0,0,0,0,8,4.000,0,0,0,0,0,8,KNEESE D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-602-601,16,4,0,0,0,20,3.800,1,0,0,0,0,21,KNEESE D
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,4,0,0,0,20,3.800,1,0,0,0,0,21,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-611-600,13,0,0,0,0,13,4.000,0,0,0,1,0,14,PORTER W
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4.000,0,0,0,1,0,14,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-619-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,PHILLIPS T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-622-600,39,0,0,0,0,39,4.000,0,0,0,0,0,39,AROSH S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,39,0,0,0,0,39,4.000,0,0,0,0,0,39,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-627-600,5,1,0,0,0,6,3.833,1,0,0,1,0,8,BURGHARDT R
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,1,0,0,0,6,3.833,1,0,0,1,0,8,
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-640-601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,LI J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-645-600,7,3,0,0,0,10,3.700,0,0,0,0,0,10,RUSYN I
"",70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,3,0,0,0,10,3.700,0,0,0,0,0,10,
"",70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-650-633,12,0,0,0,0,12,4.000,0,0,0,0,0,12,RIJNKELS M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4.000,0,0,0,0,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-665-600,6,0,0,0,0,6,4.000,1,0,0,0,0,7,GASTEL B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,1,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-670-600,4,5,0,0,0,9,3.444,0,0,0,0,1,10,RUSYN I
"",44.44%,55.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,5,0,0,0,9,3.444,0,0,0,0,1,10,
"",44.44%,55.56%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-689-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,NGHIEM P
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-689-602,8,0,0,0,0,8,4.000,0,0,0,0,0,8,CAI J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,685,129,56,22,6,898,3.552,3,0,0,17,1,919,
"",76.28%,14.37%,6.24%,2.45%,0.67%,,,,,,,,,
VLCS-485-503,26,0,0,0,0,26,4.000,0,0,0,0,0,26,COHEN N
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,0,0,0,0,26,4.000,0,0,0,0,0,26,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,26,0,0,0,0,26,4.000,0,0,0,0,0,26,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-125-501,8,0,1,0,0,9,3.777,0,0,0,0,0,9,HERMAN J
"",88.89%,0.00%,11.11%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,1,0,0,9,3.777,0,0,0,0,0,9,
"",88.89%,0.00%,11.11%,0.00%,0.00%,,,,,,,,,
VTPP-123-501,118,0,0,0,0,118,4.000,0,0,0,1,0,119,LYONS L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-123-502,125,0,0,0,0,125,4.000,0,0,0,0,0,125,LYONS L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,243,0,0,0,0,243,4.000,0,0,0,1,0,244,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-235-501,19,0,0,0,0,19,4.000,0,0,0,0,0,19,QUICK C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,0,0,0,0,19,4.000,0,0,0,0,0,19,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-289-500,6,4,0,0,0,10,3.600,0,0,0,0,0,10,IVANOV I
"",60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-289-501,10,0,1,0,0,11,3.818,0,0,0,0,0,11,CISNEROS M
"",90.91%,0.00%,9.09%,0.00%,0.00%,,,,,,,,,
VTPP-289-503,20,0,0,0,0,20,4.000,0,0,0,0,0,20,CISNEROS M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
