ARCH-249-700,34,10,3,1,0,48,3.604,0,0,0,0,0,48,CAFFEY S
"",70.83%,20.83%,6.25%,2.08%,0.00%,,,,,,,,,
COURSE TOTAL:,34,10,3,1,0,48,3.604,0,0,0,0,0,48,
"",70.83%,20.83%,6.25%,2.08%,0.00%,,,,,,,,,
ARCH-250-700,19,9,2,0,0,30,3.566,0,0,0,0,0,30,CAMPAGNOL G
"",63.33%,30.00%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,9,2,0,0,30,3.566,0,0,0,0,0,30,
"",63.33%,30.00%,6.67%,0.00%,0.00%,,,,,,,,,
ARCH-331-100,2,4,0,0,1,7,2.857,0,0,0,0,0,7,DUDLEY D
"",28.57%,57.14%,0.00%,0.00%,14.29%,,,,,,,,,
COURSE TOTAL:,2,4,0,0,1,7,2.857,0,0,0,0,0,7,
"",28.57%,57.14%,0.00%,0.00%,14.29%,,,,,,,,,
ARCH-335-101,2,3,1,0,0,6,3.166,1,0,0,0,0,7,HABERL J
"",33.33%,50.00%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,3,1,0,0,6,3.166,1,0,0,0,0,7,
"",33.33%,50.00%,16.67%,0.00%,0.00%,,,,,,,,,
ARCH-406-101,7,9,0,0,0,16,3.437,0,0,0,0,0,16,TRIPP A
"",43.75%,56.25%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,9,0,0,0,16,3.437,0,0,0,0,0,16,
"",43.75%,56.25%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-603-300,1,4,1,0,0,6,3.000,1,0,0,0,0,7,HAWKINS A
"",16.67%,66.67%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,1,4,1,0,0,6,3.000,1,0,0,0,0,7,
"",16.67%,66.67%,16.67%,0.00%,0.00%,,,,,,,,,
ENDS-101-200,14,2,1,0,0,17,3.764,0,0,0,0,0,17,CAFFEY S
"",82.35%,11.76%,5.88%,0.00%,0.00%,,,,,,,,,
ENDS-101-700,53,16,0,0,1,70,3.714,0,0,0,1,0,71,BILLINGSLEY A
"",75.71%,22.86%,0.00%,0.00%,1.43%,,,,,,,,,
ENDS-101-G00,36,3,0,0,0,39,3.923,0,0,0,0,0,39,CAFFEY S
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,103,21,1,0,1,126,3.785,0,0,0,1,0,127,
"",81.75%,16.67%,0.79%,0.00%,0.79%,,,,,,,,,
ENDS-105-100,1,9,0,0,0,10,3.100,0,0,0,0,0,10,BORGES GONZALEZ A
"",10.00%,90.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,1,9,0,0,0,10,3.100,0,0,0,0,0,10,
"",10.00%,90.00%,0.00%,0.00%,0.00%,,,,,,,,,
ENDS-108-200,3,8,1,0,0,12,3.166,0,0,0,0,0,12,BORGES GONZALEZ A
"",25.00%,66.67%,8.33%,0.00%,0.00%,,,,,,,,,
ENDS-108-201,6,3,0,0,0,9,3.666,0,0,0,0,0,9,DE LIMA VAZ XAVIER
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,11,1,0,0,21,3.380,0,0,0,0,0,21,
"",42.86%,52.38%,4.76%,0.00%,0.00%,,,,,,,,,
ENDS-115-100,1,9,0,0,0,10,3.100,0,0,0,0,0,10,DE LIMA VAZ XAVIER
"",10.00%,90.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,1,9,0,0,0,10,3.100,0,0,0,0,0,10,
"",10.00%,90.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,179,89,9,1,2,280,3.548,2,0,0,1,0,283
"",63.93%,31.79%,3.21%,0.36%,0.71%,,,,,,,,
CARC-311-150,14,0,0,0,0,14,4.000,0,0,0,0,0,14,KLEIN B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-311-151,9,2,0,0,0,11,3.818,0,0,0,0,0,11,GIUSTI C
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-311-152,12,0,0,0,0,12,4.000,0,0,0,0,0,12,DAVIS D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-311-153,13,0,0,0,0,13,4.000,0,0,0,0,0,13,AITANI K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-311-154,14,1,0,0,0,15,3.933,0,0,0,0,0,15,ROLDAN M
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-311-155,14,0,0,0,0,14,4.000,0,0,0,0,0,14,GODDARD T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-311-250,10,3,0,0,0,13,3.769,1,0,0,0,0,14,HUANG C
"",76.92%,23.08%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-311-251,15,0,0,0,0,15,4.000,0,0,0,0,0,15,AITANI K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,101,6,0,0,0,107,3.943,1,0,0,0,0,108,
"",94.39%,5.61%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-150,14,0,0,0,0,14,4.000,0,0,0,0,0,14,KLEIN B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-151,9,2,0,0,0,11,3.818,0,0,0,0,0,11,GIUSTI C
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-152,12,0,0,0,0,12,4.000,0,0,0,0,0,12,DAVIS D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-153,13,0,0,0,0,13,4.000,0,0,0,0,0,13,AITANI K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-155,14,1,0,0,0,15,3.933,0,0,0,0,0,15,ROLDAN M
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-156,14,0,0,0,0,14,4.000,0,0,0,0,0,14,GODDARD T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-250,15,0,0,0,0,15,4.000,0,0,0,0,0,15,AITANI K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-251,8,5,0,0,0,13,3.615,1,0,0,0,0,14,HUANG C
"",61.54%,38.46%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,99,8,0,0,0,107,3.925,1,0,0,0,0,108,
"",92.52%,7.48%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-484-350,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HOLLIDAY S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-489-101,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ELLIS D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,215,14,0,0,0,229,3.939,2,0,0,0,0,231
"",93.89%,6.11%,0.00%,0.00%,0.00%,,,,,,,,
COSC-222-900,6,0,0,0,0,6,4.000,0,0,0,0,0,6,ELLIS D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-275-100,7,8,2,0,0,17,3.294,0,0,0,0,0,17,PALMER R
"",41.18%,47.06%,11.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,8,2,0,0,17,3.294,0,0,0,0,0,17,
"",41.18%,47.06%,11.76%,0.00%,0.00%,,,,,,,,,
COSC-301-101,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HARTELL J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-375-200,7,16,11,0,0,34,2.882,0,0,0,1,0,35,BOLDT G
"",20.59%,47.06%,32.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,16,11,0,0,34,2.882,0,0,0,1,0,35,
"",20.59%,47.06%,32.35%,0.00%,0.00%,,,,,,,,,
COSC-421-100,10,14,2,0,0,26,3.307,0,0,0,0,0,26,DUDLEY D
"",38.46%,53.85%,7.69%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,14,2,0,0,26,3.307,0,0,0,0,0,26,
"",38.46%,53.85%,7.69%,0.00%,0.00%,,,,,,,,,
COSC-442-900,13,5,1,0,0,19,3.631,0,0,0,0,0,19,BOLDT G
"",68.42%,26.32%,5.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,5,1,0,0,19,3.631,0,0,0,0,0,19,
"",68.42%,26.32%,5.26%,0.00%,0.00%,,,,,,,,,
COSC-443-901,17,0,0,0,0,17,4.000,0,0,0,0,0,17,WHITMAN J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,0,0,0,0,17,4.000,0,0,0,0,0,17,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-461-101,20,3,0,0,0,23,3.869,0,0,0,1,0,24,ARYAL A
"",86.96%,13.04%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,3,0,0,0,23,3.869,0,0,0,1,0,24,
"",86.96%,13.04%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-463-950,4,3,0,0,0,7,3.571,0,0,0,0,0,7,DAIGNEAULT M
"",57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,3,0,0,0,7,3.571,0,0,0,0,0,7,
"",57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-464-100,23,10,3,0,0,36,3.555,0,0,0,0,0,36,MCGOWAN A
"",63.89%,27.78%,8.33%,0.00%,0.00%,,,,,,,,,
COSC-464-101,25,8,1,0,0,34,3.705,1,0,0,0,0,35,MCGOWAN A
"",73.53%,23.53%,2.94%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,48,18,4,0,0,70,3.628,1,0,0,0,0,71,
"",68.57%,25.71%,5.71%,0.00%,0.00%,,,,,,,,,
COSC-465-200,16,19,7,0,0,42,3.214,0,0,0,0,0,42,MCCLOSKEY A
"",38.10%,45.24%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,19,7,0,0,42,3.214,0,0,0,0,0,42,
"",38.10%,45.24%,16.67%,0.00%,0.00%,,,,,,,,,
COSC-474-300,5,0,0,0,0,5,4.000,0,0,0,0,0,5,LAVY S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-475-100,7,20,14,0,0,41,2.829,0,0,0,1,0,42,MCGINN L
"",17.07%,48.78%,34.15%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,20,14,0,0,41,2.829,0,0,0,1,0,42,
"",17.07%,48.78%,34.15%,0.00%,0.00%,,,,,,,,,
COSC-477-100,11,15,15,0,0,41,2.902,0,0,0,0,0,41,FICKEL L
"",26.83%,36.59%,36.59%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,15,15,0,0,41,2.902,0,0,0,0,0,41,
"",26.83%,36.59%,36.59%,0.00%,0.00%,,,,,,,,,
COSC-485-301,4,1,0,0,0,5,3.800,0,0,0,0,0,5,ELLIS D
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.800,0,0,0,0,0,5,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-685-303,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ARYAL A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,186,122,56,0,0,364,3.352,1,0,0,3,0,368
"",51.10%,33.52%,15.38%,0.00%,0.00%,,,,,,,,
LAND-240-700,42,16,3,0,0,61,3.639,0,0,0,0,0,61,NEWMAN G
"",68.85%,26.23%,4.92%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,42,16,3,0,0,61,3.639,0,0,0,0,0,61,
"",68.85%,26.23%,4.92%,0.00%,0.00%,,,,,,,,,
LAND-630-700,11,1,1,0,0,13,3.769,0,0,0,0,0,13,NEWMAN G
"",84.62%,7.69%,7.69%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,1,0,0,13,3.769,0,0,0,0,0,13,
"",84.62%,7.69%,7.69%,0.00%,0.00%,,,,,,,,,
PLAN-612-700,11,1,0,0,0,12,3.916,2,0,0,1,0,15,WEI L
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,0,0,0,12,3.916,2,0,0,1,0,15,
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
URPN-201-701,4,12,1,1,0,18,3.055,0,0,0,1,0,19,PAP M
"",22.22%,66.67%,5.56%,5.56%,0.00%,,,,,,,,,
COURSE TOTAL:,4,12,1,1,0,18,3.055,0,0,0,1,0,19,
