BUSH-631-700,7,1,0,0,0,8,3.875,0,0,0,0,0,8,CORTES K
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,1,0,0,0,8,3.875,0,0,0,0,0,8,
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,7,1,0,0,0,8,3.875,0,0,0,0,0,8,
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-605-700,4,2,0,0,1,7,3.142,0,0,0,0,0,7,BARTEL M
"",57.14%,28.57%,0.00%,0.00%,14.29%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,1,7,3.142,0,0,0,0,0,7,
"",57.14%,28.57%,0.00%,0.00%,14.29%,,,,,,,,,
INTA-617-100,17,0,0,0,0,17,4.000,0,0,0,0,0,17,CASTILLO J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,0,0,0,0,17,4.000,0,0,0,0,0,17,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-644-700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HAMIE C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-651-350,7,0,0,0,0,7,4.000,0,0,0,0,0,7,MCLAUGHLIN W
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-653-700,6,1,1,0,0,8,3.625,0,0,0,0,0,8,DALY S
"",75.00%,12.50%,12.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,1,0,0,8,3.625,0,0,0,0,0,8,
"",75.00%,12.50%,12.50%,0.00%,0.00%,,,,,,,,,
INTA-680-700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,SMITH J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-689-351,7,0,0,0,0,7,4.000,0,0,0,0,0,7,QUINVILLE R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,55,3,1,0,1,60,3.850,0,0,0,0,0,60,
"",91.67%,5.00%,1.67%,0.00%,1.67%,,,,,,,,,
