OBIO-642-600,3,2,0,0,0,5,3.600,0,0,0,0,0,5,WANG X
"",60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,2,0,0,0,5,3.600,0,0,0,0,0,5,
"",60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-660-600,21,0,0,0,0,21,4.000,0,0,0,0,0,21,WYATT L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,0,0,0,0,21,4.000,0,0,0,0,0,21,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-670-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,REUBEN J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-671-600,6,1,0,0,0,7,3.857,1,0,0,0,0,8,RUEST L
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7,3.857,1,0,0,0,0,8,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-672-600,19,0,0,0,0,19,4.000,0,0,0,0,0,19,KESTERKE M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,0,0,0,0,19,4.000,0,0,0,0,0,19,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-687-600,5,0,0,0,0,5,4.000,1,0,0,0,0,6,RUEST L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,1,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,65,3,0,0,0,68,3.961,2,0,0,0,0,70
"",95.59%,4.41%,0.00%,0.00%,0.00%,,,,,,,,
AEGD-600-600,7,0,0,0,0,7,0.000,0,0,0,0,0,7,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,Error,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-608-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-615-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-618-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ZANDINEJAD A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,28,0,0,0,0,28,4.000,0,0,0,0,0,28
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDHS-4110-500,9,14,5,0,1,29,3.034,0,0,0,0,0,29,SHEHATA E
"",31.03%,48.28%,17.24%,0.00%,3.45%,,,,,,,,,
COURSE TOTAL:,9,14,5,0,1,29,3.034,0,0,0,0,0,29,
"",31.03%,48.28%,17.24%,0.00%,3.45%,,,,,,,,,
DDHS-4510-500,25,4,0,0,0,29,3.862,0,0,0,0,0,29,DECK J
"",86.21%,13.79%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,4,0,0,0,29,3.862,0,0,0,0,0,29,
"",86.21%,13.79%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-4820-500,28,0,0,0,0,28,4.000,1,0,0,0,0,29,REED K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,0,0,0,0,28,4.000,1,0,0,0,0,29,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,62,18,5,0,1,86,3.719,1,0,0,0,0,87,
"",72.09%,20.93%,5.81%,0.00%,1.16%,,,,,,,,,
OMFS-650-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,READ FULLER A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-601-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,Error,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-621-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-624-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ORTH-627-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
