EDAD-605-700,7,0,0,0,0,7,4.000,0,0,0,0,0,7,IRBY B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-608-700,18,1,0,0,0,19,3.947,0,0,0,0,0,19,POENITZSCH N
"",94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,1,0,0,0,19,3.947,0,0,0,0,0,19,
"",94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-623-300,16,5,0,0,0,21,3.761,0,0,0,0,0,21,ROUMELL E
"",76.19%,23.81%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,5,0,0,0,21,3.761,0,0,0,0,0,21,
"",76.19%,23.81%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-624-700,22,1,0,0,0,23,3.956,0,0,0,0,0,23,FAHRENWALD C
"",95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,1,0,0,0,23,3.956,0,0,0,0,0,23,
"",95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-630-100,15,0,0,0,0,15,4.000,0,0,0,0,0,15,SAAVEDRA A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-635-700,17,0,0,0,0,17,4.000,0,0,0,0,0,17,WEBB-JOHNSON G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,0,0,0,0,17,4.000,0,0,0,0,0,17,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-653-300,12,1,1,0,1,15,3.533,3,0,0,0,0,18,MUSOBA G
"",80.00%,6.67%,6.67%,0.00%,6.67%,,,,,,,,,
COURSE TOTAL:,12,1,1,0,1,15,3.533,3,0,0,0,0,18,
"",80.00%,6.67%,6.67%,0.00%,6.67%,,,,,,,,,
EDAD-669-100,8,4,0,0,0,12,3.666,0,0,0,0,0,12,BAILEY K
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,4,0,0,0,12,3.666,0,0,0,0,0,12,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-687-200,14,1,0,0,0,15,3.933,0,0,0,0,0,15,WEBB-JOHNSON G
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-687-700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WEBB-JOHNSON G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,1,0,0,0,20,3.950,0,0,0,0,0,20,
"",95.00%,5.00%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-203-701,22,3,0,0,0,25,3.880,3,0,0,1,0,29,STEPHENS M
"",88.00%,12.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,3,0,0,0,25,3.880,3,0,0,1,0,29,
"",88.00%,12.00%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-315-700,6,4,3,0,0,13,3.230,0,0,0,0,0,13,MARK C
"",46.15%,30.77%,23.08%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,4,3,0,0,13,3.230,0,0,0,0,0,13,
"",46.15%,30.77%,23.08%,0.00%,0.00%,,,,,,,,,
EHRD-371-700,13,10,0,1,0,24,3.458,0,0,0,1,0,25,BAILEY K
"",54.17%,41.67%,0.00%,4.17%,0.00%,,,,,,,,,
COURSE TOTAL:,13,10,0,1,0,24,3.458,0,0,0,1,0,25,
"",54.17%,41.67%,0.00%,4.17%,0.00%,,,,,,,,,
EHRD-372-700,13,3,0,0,1,17,3.588,0,0,0,0,0,17,MUYIA M
"",76.47%,17.65%,0.00%,0.00%,5.88%,,,,,,,,,
COURSE TOTAL:,13,3,0,0,1,17,3.588,0,0,0,0,0,17,
"",76.47%,17.65%,0.00%,0.00%,5.88%,,,,,,,,,
EHRD-374-700,11,0,0,0,0,11,4.000,0,0,0,0,0,11,MUYIA M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-391-700,3,7,12,5,2,29,2.137,0,0,0,5,0,34,SANDLIN J
"",10.34%,24.14%,41.38%,17.24%,6.90%,,,,,,,,,
COURSE TOTAL:,3,7,12,5,2,29,2.137,0,0,0,5,0,34,
"",10.34%,24.14%,41.38%,17.24%,6.90%,,,,,,,,,
EHRD-405-700,26,5,2,0,0,33,3.727,0,0,0,0,0,33,FERGUSON-CAMMARATA
"",78.79%,15.15%,6.06%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,5,2,0,0,33,3.727,0,0,0,0,0,33,
"",78.79%,15.15%,6.06%,0.00%,0.00%,,,,,,,,,
EHRD-408-700,12,1,2,0,1,16,3.437,0,0,0,0,0,16,SANDLIN J
"",75.00%,6.25%,12.50%,0.00%,6.25%,,,,,,,,,
COURSE TOTAL:,12,1,2,0,1,16,3.437,0,0,0,0,0,16,
"",75.00%,6.25%,12.50%,0.00%,6.25%,,,,,,,,,
EHRD-477-700,24,4,4,0,0,32,3.625,0,0,0,0,0,32,SMITH B
"",75.00%,12.50%,12.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,4,4,0,0,32,3.625,0,0,0,0,0,32,
"",75.00%,12.50%,12.50%,0.00%,0.00%,,,,,,,,,
EHRD-481-100,14,1,0,0,0,15,3.933,0,0,0,0,0,15,FOWLER R
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,1,0,0,0,15,3.933,0,0,0,0,0,15,
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-490-700,7,12,10,0,1,30,2.800,0,0,0,0,0,30,SANDLIN J
"",23.33%,40.00%,33.33%,0.00%,3.33%,,,,,,,,,
EHRD-490-701,24,4,0,1,1,30,3.633,0,0,0,0,0,30,HWANG J
"",80.00%,13.33%,0.00%,3.33%,3.33%,,,,,,,,,
COURSE TOTAL:,31,16,10,1,2,60,3.216,0,0,0,0,0,60,
"",51.67%,26.67%,16.67%,1.67%,3.33%,,,,,,,,,
EHRD-616-701,11,0,0,0,0,11,4.000,0,0,0,1,0,12,KIM J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,1,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-618-300,19,0,1,0,0,20,3.900,0,0,0,0,0,20,SHEHANE M
"",95.00%,0.00%,5.00%,0.00%,0.00%,,,,,,,,,
EHRD-618-700,16,0,0,0,0,16,4.000,0,0,0,0,0,16,HWANG J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,35,0,1,0,0,36,3.944,0,0,0,0,0,36,
"",97.22%,0.00%,2.78%,0.00%,0.00%,,,,,,,,,
EHRD-627-399,7,0,1,0,0,8,3.750,0,0,0,0,0,8,MUSOBA G
"",87.50%,0.00%,12.50%,0.00%,0.00%,,,,,,,,,
EHRD-627-700,14,3,0,0,0,17,3.823,1,0,0,0,0,18,MUSOBA G
"",82.35%,17.65%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,3,1,0,0,25,3.800,1,0,0,0,0,26,
"",84.00%,12.00%,4.00%,0.00%,0.00%,,,,,,,,,
EHRD-630-700,15,3,0,0,0,18,3.833,0,0,0,0,0,18,ROUMELL E
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,3,0,0,0,18,3.833,0,0,0,0,0,18,
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
TCMG-308-700,51,14,2,0,1,68,3.676,0,0,0,0,0,68,MAI B
"",75.00%,20.59%,2.94%,0.00%,1.47%,,,,,,,,,
COURSE TOTAL:,51,14,2,0,1,68,3.676,0,0,0,0,0,68,
"",75.00%,20.59%,2.94%,0.00%,1.47%,,,,,,,,,
TCMG-402-700,5,7,10,1,2,25,2.480,0,0,0,0,0,25,MARK C
"",20.00%,28.00%,40.00%,4.00%,8.00%,,,,,,,,,
TCMG-402-701,3,9,7,1,1,21,2.571,0,0,0,1,0,22,MARK C
"",14.29%,42.86%,33.33%,4.76%,4.76%,,,,,,,,,
COURSE TOTAL:,8,16,17,2,3,46,2.521,0,0,0,1,0,47,
"",17.39%,34.78%,36.96%,4.35%,6.52%,,,,,,,,,
DEPARTMENT TOTAL:,450,103,55,9,11,628,3.547,7,0,0,9,0,644
"",71.66%,16.40%,8.76%,1.43%,1.75%,,,,,,,,
BESL-616-700,6,1,0,0,0,7,3.857,0,0,0,0,0,7,GUERRERO C
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7,3.857,0,0,0,0,0,7,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
BESL-622-100,17,3,0,0,0,20,3.850,0,0,0,0,0,20,ESLAMI Z
"",85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,3,0,0,0,20,3.850,0,0,0,0,0,20,
"",85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
CPSY-600-700,18,0,0,0,1,19,3.789,0,0,0,0,0,19,MCCORMICK A
"",94.74%,0.00%,0.00%,0.00%,5.26%,,,,,,,,,
COURSE TOTAL:,18,0,0,0,1,19,3.789,0,0,0,0,0,19,
"",94.74%,0.00%,0.00%,0.00%,5.26%,,,,,,,,,
CPSY-601-701,18,3,0,0,0,21,3.857,0,0,0,0,0,21,OJEDA L
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,3,0,0,0,21,3.857,0,0,0,0,0,21,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
CPSY-603-700,21,3,0,0,1,25,3.720,0,0,0,1,0,26,BLAKE J
"",84.00%,12.00%,0.00%,0.00%,4.00%,,,,,,,,,
COURSE TOTAL:,21,3,0,0,1,25,3.720,0,0,0,1,0,26,
"",84.00%,12.00%,0.00%,0.00%,4.00%,,,,,,,,,
CPSY-630-700,17,2,0,0,0,19,3.894,0,0,0,0,0,19,MCCORMICK A
"",89.47%,10.53%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,2,0,0,0,19,3.894,0,0,0,0,0,19,
"",89.47%,10.53%,0.00%,0.00%,0.00%,,,,,,,,,
CPSY-683-300,5,0,0,0,0,5,4.000,0,0,0,0,0,5,RIDLEY C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CPSY-683-343,10,0,0,0,0,10,4.000,1,0,0,0,0,11,MCCORD C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,1,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EPSY-431-701,38,6,2,0,1,47,3.702,0,0,0,0,0,47,RAMOS GARCIMARTIN H
"",80.85%,12.77%,4.26%,0.00%,2.13%,,,,,,,,,
EPSY-431-702,3,1,1,0,1,6,2.833,0,0,0,0,0,6,RAMOS GARCIMARTIN H
"",50.00%,16.67%,16.67%,0.00%,16.67%,,,,,,,,,
COURSE TOTAL:,41,7,3,0,2,53,3.603,0,0,0,0,0,53,
"",77.36%,13.21%,5.66%,0.00%,3.77%,,,,,,,,,
EPSY-432-700,11,1,1,0,0,13,3.769,0,0,0,0,0,13,RAMOS GARCIMARTIN H
"",84.62%,7.69%,7.69%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,1,0,0,13,3.769,0,0,0,0,0,13,
"",84.62%,7.69%,7.69%,0.00%,0.00%,,,,,,,,,
EPSY-435-700,36,16,0,2,2,56,3.464,0,0,0,0,0,56,RAMOS S
"",64.29%,28.57%,0.00%,3.57%,3.57%,,,,,,,,,
EPSY-435-701,27,13,4,2,5,51,3.078,0,0,0,0,0,51,RAMOS S
"",52.94%,25.49%,7.84%,3.92%,9.80%,,,,,,,,,
COURSE TOTAL:,63,29,4,4,7,107,3.280,0,0,0,0,0,107,
"",58.88%,27.10%,3.74%,3.74%,6.54%,,,,,,,,,
EPSY-604-700,21,0,0,0,0,21,4.000,0,0,0,0,0,21,OJEDA L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,0,0,0,0,21,4.000,0,0,0,0,0,21,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EPSY-621-700,16,0,1,0,0,17,3.882,0,0,0,1,0,18,HAJOVSKY D
"",94.12%,0.00%,5.88%,0.00%,0.00%,,,,,,,,,
EPSY-621-701,10,5,0,0,0,15,3.666,0,0,0,0,0,15,HAJOVSKY D
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,5,1,0,0,32,3.781,0,0,0,1,0,33,
"",81.25%,15.63%,3.13%,0.00%,0.00%,,,,,,,,,
EPSY-625-100,5,3,0,0,0,8,3.625,0,0,0,0,0,8,YOON M
"",62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,3,0,0,0,8,3.625,0,0,0,0,0,8,
"",62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
EPSY-644-701,12,0,0,1,0,13,3.769,0,0,0,0,0,13,LEE K
"",92.31%,0.00%,0.00%,7.69%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,1,0,13,3.769,0,0,0,0,0,13,
"",92.31%,0.00%,0.00%,7.69%,0.00%,,,,,,,,,
EPSY-647-100,5,0,0,0,0,5,4.000,0,0,0,0,0,5,RIDLEY C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EPSY-673-700,31,2,0,0,0,33,3.939,1,0,0,0,0,34,JUNTUNE J
"",93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,31,2,0,0,0,33,3.939,1,0,0,0,0,34,
"",93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
EPSY-689-700,23,0,0,0,0,23,4.000,0,0,0,0,0,23,WALICHOWSKI M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EPSY-689-701,15,0,0,0,0,15,4.000,0,0,0,0,0,15,WALICHOWSKI M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,38,0,0,0,0,38,4.000,0,0,0,0,0,38,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INST-210-701,26,6,3,1,2,38,3.394,0,0,0,0,0,38,FOGARTY M
"",68.42%,15.79%,7.89%,2.63%,5.26%,,,,,,,,,
COURSE TOTAL:,26,6,3,1,2,38,3.394,0,0,0,0,0,38,
"",68.42%,15.79%,7.89%,2.63%,5.26%,,,,,,,,,
INST-301-700,23,2,1,0,3,29,3.448,0,0,0,2,0,31,RAMOS GARCIMARTIN H
"",79.31%,6.90%,3.45%,0.00%,10.34%,,,,,,,,,
COURSE TOTAL:,23,2,1,0,3,29,3.448,0,0,0,2,0,31,
"",79.31%,6.90%,3.45%,0.00%,10.34%,,,,,,,,,
INST-362-700,22,3,1,0,2,28,3.535,0,0,0,1,0,29,KARMANIOLOU S
"",78.57%,10.71%,3.57%,0.00%,7.14%,,,,,,,,,
INST-362-701,22,1,1,0,1,25,3.720,0,0,0,1,0,26,KARMANIOLOU S
"",88.00%,4.00%,4.00%,0.00%,4.00%,,,,,,,,,
INST-362-702,5,1,4,0,2,12,2.583,0,0,0,0,0,12,ESLAMI Z
"",41.67%,8.33%,33.33%,0.00%,16.67%,,,,,,,,,
COURSE TOTAL:,49,5,6,0,5,65,3.430,0,0,0,2,0,67,
"",75.38%,7.69%,9.23%,0.00%,7.69%,,,,,,,,,
INST-363-700,31,3,0,0,1,35,3.800,0,0,0,0,0,35,NESHYBA M
"",88.57%,8.57%,0.00%,0.00%,2.86%,,,,,,,,,
INST-363-701,23,5,1,0,1,30,3.633,0,0,0,0,0,30,WALICHOWSKI M
"",76.67%,16.67%,3.33%,0.00%,3.33%,,,,,,,,,
INST-363-702,18,13,1,2,3,37,3.108,0,0,0,0,0,37,LYNCH J
"",48.65%,35.14%,2.70%,5.41%,8.11%,,,,,,,,,
COURSE TOTAL:,72,21,2,2,5,102,3.500,0,0,0,0,0,102,
"",70.59%,20.59%,1.96%,1.96%,4.90%,,,,,,,,,
LDTC-631-700,23,3,0,0,0,26,3.884,0,0,0,0,0,26,SWEANY N
"",88.46%,11.54%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,3,0,0,0,26,3.884,0,0,0,0,0,26,
"",88.46%,11.54%,0.00%,0.00%,0.00%,,,,,,,,,
LDTC-646-700,4,0,0,0,1,5,3.200,1,0,0,1,0,7,MCCORKLE S
"",80.00%,0.00%,0.00%,0.00%,20.00%,,,,,,,,,
COURSE TOTAL:,4,0,0,0,1,5,3.200,1,0,0,1,0,7,
"",80.00%,0.00%,0.00%,0.00%,20.00%,,,,,,,,,
SPED-601-700,33,2,0,0,0,35,3.942,1,0,0,0,0,36,DAVIS H
"",94.29%,5.71%,0.00%,0.00%,0.00%,,,,,,,,,
SPED-601-701,20,2,0,0,1,23,3.739,0,0,0,0,0,23,MCCORMICK A
"",86.96%,8.70%,0.00%,0.00%,4.35%,,,,,,,,,
COURSE TOTAL:,53,4,0,0,1,58,3.862,1,0,0,0,0,59,
"",91.38%,6.90%,0.00%,0.00%,1.72%,,,,,,,,,
SPED-604-700,26,6,2,0,0,34,3.705,0,0,0,0,0,34,WHITESIDE E
