AERO-214-200,4,18,6,0,1,29,2.827,0,0,0,0,0,29,TALREJA R
"",13.79%,62.07%,20.69%,0.00%,3.45%,,,,,,,,,
COURSE TOTAL:,4,18,6,0,1,29,2.827,0,0,0,0,0,29,
"",13.79%,62.07%,20.69%,0.00%,3.45%,,,,,,,,,
AERO-222-300,9,7,0,0,0,16,3.562,1,0,0,1,0,18,MORTARI D
"",56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,7,0,0,0,16,3.562,1,0,0,1,0,18,
"",56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-304-200,12,5,3,1,0,21,3.333,0,0,0,0,0,21,BOYD J
"",57.14%,23.81%,14.29%,4.76%,0.00%,,,,,,,,,
COURSE TOTAL:,12,5,3,1,0,21,3.333,0,0,0,0,0,21,
"",57.14%,23.81%,14.29%,4.76%,0.00%,,,,,,,,,
AERO-351-300,4,10,4,0,0,18,3.000,0,0,0,0,0,18,KARPETIS A
"",22.22%,55.56%,22.22%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,10,4,0,0,18,3.000,0,0,0,0,0,18,
"",22.22%,55.56%,22.22%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,29,40,13,1,1,84,3.130,1,0,0,1,0,86
"",34.52%,47.62%,15.48%,1.19%,1.19%,,,,,,,,
BMEN-153-901,18,5,0,0,0,23,3.782,0,0,0,0,0,23,CARRELL T
"",78.26%,21.74%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,5,0,0,0,23,3.782,0,0,0,0,0,23,
"",78.26%,21.74%,0.00%,0.00%,0.00%,,,,,,,,,
BMEN-207-700,9,6,1,0,1,17,3.294,0,0,0,0,0,17,HANKS J
"",52.94%,35.29%,5.88%,0.00%,5.88%,,,,,,,,,
COURSE TOTAL:,9,6,1,0,1,17,3.294,0,0,0,0,0,17,
"",52.94%,35.29%,5.88%,0.00%,5.88%,,,,,,,,,
BMEN-211-301,14,11,2,0,0,27,3.444,0,0,0,0,0,27,JESSEN S
"",51.85%,40.74%,7.41%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,11,2,0,0,27,3.444,0,0,0,0,0,27,
"",51.85%,40.74%,7.41%,0.00%,0.00%,,,,,,,,,
BMEN-321-700,43,5,1,0,0,49,3.857,0,0,0,0,0,49,GINN-HEDMAN A
"",87.76%,10.20%,2.04%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,43,5,1,0,0,49,3.857,0,0,0,0,0,49,
"",87.76%,10.20%,2.04%,0.00%,0.00%,,,,,,,,,
BMEN-341-300,4,0,1,0,0,5,3.600,0,0,0,0,0,5,HORN J
"",80.00%,0.00%,20.00%,0.00%,0.00%,,,,,,,,,
