ATMO-370-150,23,0,0,0,0,23,4.000,0,0,0,0,0,23,CONLEE D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,0,0,0,0,23,4.000,0,0,0,0,0,23,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,23,0,0,0,0,23,4.000,0,0,0,0,0,23,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
GEOS-380-210,12,0,0,0,0,12,4.000,0,0,0,0,0,12,ROARK E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4.000,0,0,0,0,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
GEOS-491-301,5,0,0,0,0,5,0.000,0,0,0,0,0,5,ROARK E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,Error,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
GEOS-611-776,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BELABBASSI L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,23,0,0,0,0,23,4.000,0,0,0,0,0,23,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
GEOG-201-199,33,14,3,0,0,50,3.600,0,0,0,1,0,51,BREYER E
"",66.00%,28.00%,6.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,33,14,3,0,0,50,3.600,0,0,0,1,0,51,
"",66.00%,28.00%,6.00%,0.00%,0.00%,,,,,,,,,
GEOG-202-199,138,15,4,3,1,161,3.776,0,0,0,1,0,162,BRYSCH C
"",85.71%,9.32%,2.48%,1.86%,0.62%,,,,,,,,,
GEOG-202-G00,25,20,2,0,0,47,3.489,0,0,0,0,0,47,SMITH J
"",53.19%,42.55%,4.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,163,35,6,3,1,208,3.711,0,0,0,1,0,209,
"",78.37%,16.83%,2.88%,1.44%,0.48%,,,,,,,,,
GEOG-203-299,95,46,13,3,1,158,3.462,1,0,0,4,0,163,LOISEL J
