ANTH-205-200,2,3,2,1,2,10,2.200,0,0,0,1,1,12,THAKAR H
"",20.00%,30.00%,20.00%,10.00%,20.00%,,,,,,,,,
ANTH-205-G00,4,22,8,0,0,34,2.882,0,0,0,0,0,34,THAKAR H
"",11.76%,64.71%,23.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,25,10,1,2,44,2.727,0,0,0,1,1,46,
"",13.64%,56.82%,22.73%,2.27%,4.55%,,,,,,,,,
ANTH-210-199,73,26,1,1,0,101,3.693,0,0,0,3,0,104,LEMUS S
"",72.28%,25.74%,0.99%,0.99%,0.00%,,,,,,,,,
ANTH-210-200,8,2,0,0,1,11,3.454,0,0,0,0,0,11,KHAUMYEN B
"",72.73%,18.18%,0.00%,0.00%,9.09%,,,,,,,,,
ANTH-210-G00,32,13,0,1,0,46,3.652,0,0,0,0,0,46,KHAUMYEN B
"",69.57%,28.26%,0.00%,2.17%,0.00%,,,,,,,,,
COURSE TOTAL:,113,41,1,2,1,158,3.664,0,0,0,3,0,161,
"",71.52%,25.95%,0.63%,1.27%,0.63%,,,,,,,,,
DEPARTMENT TOTAL:,119,66,11,3,3,202,3.460,0,0,0,4,1,207
"",58.91%,32.67%,5.45%,1.49%,1.49%,,,,,,,,
RELS-360-200,5,2,0,0,0,7,3.714,0,0,0,0,0,7,TORABI K
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
WGST-374-200,5,1,1,0,0,7,3.571,0,0,0,0,0,7,THIELMAN F
"",71.43%,14.29%,14.29%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,1,1,0,0,7,3.571,0,0,0,0,0,7,
"",71.43%,14.29%,14.29%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,10,3,1,0,0,14,3.642,0,0,0,0,0,14,
"",71.43%,21.43%,7.14%,0.00%,0.00%,,,,,,,,,
COMM-203-100,6,8,1,0,1,16,3.125,0,0,0,0,0,16,PULOS R
"",37.50%,50.00%,6.25%,0.00%,6.25%,,,,,,,,,
COMM-203-104,14,9,1,0,0,24,3.541,0,0,0,0,0,24,ORTIZ-MARTINEZ A
"",58.33%,37.50%,4.17%,0.00%,0.00%,,,,,,,,,
COMM-203-105,19,2,0,0,0,21,3.904,0,0,0,1,0,22,RAMIREZ A
"",90.48%,9.52%,0.00%,0.00%,0.00%,,,,,,,,,
COMM-203-108,18,6,0,0,0,24,3.750,0,0,0,1,0,25,GUAJARDO J
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
