PHEB-622-399,2,3,0,0,0,5,3.400,0,0,0,0,1,6,REGAN A
"",40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEB-622-700,8,3,0,0,0,11,3.727,0,0,0,1,1,13,REGAN A
"",72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,6,0,0,0,16,3.625,0,0,0,1,2,19,
"",62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
PHEB-689-399,31,2,0,0,0,33,3.939,0,0,0,0,0,33,ROH T
"",93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
PHEB-689-700,15,3,0,0,0,18,3.833,0,0,0,0,0,18,ROH T
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,46,5,0,0,0,51,3.901,0,0,0,0,0,51,
"",90.20%,9.80%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,56,11,0,0,0,67,3.835,0,0,0,1,2,70,
"",83.58%,16.42%,0.00%,0.00%,0.00%,,,,,,,,,
PHPM-617-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ROBISON Z
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHPM-623-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,MILLER T
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
PHPM-640-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,SEXTON T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,0,0,0,0,14,4.000,0,0,0,0,0,14,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHPM-680-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,DICKEY N
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,0,0,0,0,14,4.000,0,0,0,0,0,14,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHPM-685-150,5,0,0,0,0,5,4.000,0,0,0,0,0,5,DANKO R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,45,2,0,0,0,47,3.956,0,0,0,0,0,47
"",95.74%,4.26%,0.00%,0.00%,0.00%,,,,,,,,
HPCH-665-301,7,0,0,0,0,7,4.000,0,0,0,1,0,8,CLARK H
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,1,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,7,0,0,0,0,7,4.000,0,0,0,1,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHLT-302-700,14,2,1,0,1,18,3.555,0,0,0,0,0,18,LIN S
"",77.78%,11.11%,5.56%,0.00%,5.56%,,,,,,,,,
COURSE TOTAL:,14,2,1,0,1,18,3.555,0,0,0,0,0,18,
"",77.78%,11.11%,5.56%,0.00%,5.56%,,,,,,,,,
PHLT-303-101,16,1,0,0,0,17,3.941,0,0,0,0,0,17,STASI S
"",94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,1,0,0,0,17,3.941,0,0,0,0,0,17,
"",94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
PHLT-305-200,4,6,2,0,1,13,2.923,0,0,0,0,0,13,KALBASI S
"",30.77%,46.15%,15.38%,0.00%,7.69%,,,,,,,,,
COURSE TOTAL:,4,6,2,0,1,13,2.923,0,0,0,0,0,13,
"",30.77%,46.15%,15.38%,0.00%,7.69%,,,,,,,,,
PHLT-307-700,26,3,0,0,0,29,3.896,0,0,0,0,0,29,GANDARA E
"",89.66%,10.34%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,3,0,0,0,29,3.896,0,0,0,0,0,29,
"",89.66%,10.34%,0.00%,0.00%,0.00%,,,,,,,,,
PHLT-330-200,15,1,1,0,1,18,3.611,0,0,0,0,0,18,CARRILLO G
"",83.33%,5.56%,5.56%,0.00%,5.56%,,,,,,,,,
COURSE TOTAL:,15,1,1,0,1,18,3.611,0,0,0,0,0,18,
"",83.33%,5.56%,5.56%,0.00%,5.56%,,,,,,,,,
PHLT-331-399,14,11,4,0,0,29,3.344,0,0,0,0,0,29,BOKELMANN A
"",48.28%,37.93%,13.79%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,11,4,0,0,29,3.344,0,0,0,0,0,29,
"",48.28%,37.93%,13.79%,0.00%,0.00%,,,,,,,,,
PHLT-434-399,4,2,4,2,1,13,2.461,0,0,0,6,0,19,PICKENS A
"",30.77%,15.38%,30.77%,15.38%,7.69%,,,,,,,,,
COURSE TOTAL:,4,2,4,2,1,13,2.461,0,0,0,6,0,19,
"",30.77%,15.38%,30.77%,15.38%,7.69%,,,,,,,,,
PHLT-470-150,21,0,0,0,0,21,4.000,0,0,0,0,0,21,CLENDENIN M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,0,0,0,0,21,4.000,0,0,0,0,0,21,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHLT-485-150,21,0,0,0,0,21,4.000,0,0,0,0,0,21,DANKO R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,0,0,0,0,21,4.000,0,0,0,0,0,21,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOPH-670-150,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CLENDENIN M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,140,26,12,2,4,184,3.608,0,0,0,6,0,190
"",76.09%,14.13%,6.52%,1.09%,2.17%,,,,,,,,
COLLEGE TOTAL:,248,39,12,2,4,305,3.731,0,0,0,8,2,315
"",81.31%,12.79%,3.93%,0.66%,1.31%,,,,,,,,
