LAW-618-701,19,7,1,0,1,28,3.535,0,0,0,0,0,28,MARLETT D
"",67.86%,25.00%,3.57%,0.00%,3.57%,,,,,,,,,
LAW-618-702,3,3,0,0,0,6,3.500,0,0,0,0,0,6,MARLETT D
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,10,1,0,1,34,3.529,0,0,0,0,0,34,
"",64.71%,29.41%,2.94%,0.00%,2.94%,,,,,,,,,
LAW-621-701,27,0,0,0,0,27,4.000,1,0,0,0,0,28,BURT J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,0,0,0,0,27,4.000,1,0,0,0,0,28,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-657-701,29,7,1,0,1,38,3.657,0,0,0,0,0,38,EMMERT W
"",76.32%,18.42%,2.63%,0.00%,2.63%,,,,,,,,,
COURSE TOTAL:,29,7,1,0,1,38,3.657,0,0,0,0,0,38,
"",76.32%,18.42%,2.63%,0.00%,2.63%,,,,,,,,,
LAW-661-701,3,6,2,0,0,11,3.090,0,0,0,0,0,11,MARVIN E
"",27.27%,54.55%,18.18%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,6,2,0,0,11,3.090,0,0,0,0,0,11,
"",27.27%,54.55%,18.18%,0.00%,0.00%,,,,,,,,,
LAW-663-701,32,0,0,0,0,32,4.000,2,0,0,0,0,34,POE K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-663-702,29,1,0,0,0,30,3.966,1,0,0,0,0,31,POE K
"",96.67%,3.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,61,1,0,0,0,62,3.983,3,0,0,0,0,65,
"",98.39%,1.61%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-667-701,15,4,0,0,0,19,3.789,0,0,0,0,0,19,PITTMAN M
"",78.95%,21.05%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,4,0,0,0,19,3.789,0,0,0,0,0,19,
"",78.95%,21.05%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-701,5,6,0,0,0,11,3.454,0,0,0,0,0,11,WURTZ K
"",45.45%,54.55%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-702,5,0,0,0,0,5,4.000,0,0,0,0,0,5,GELFUSO A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-703,27,2,0,0,0,29,3.931,1,0,0,0,0,30,DEWITTE P
"",93.10%,6.90%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-704,11,2,0,0,0,13,3.846,0,0,0,0,0,13,DEWITTE P
"",84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-705,21,7,2,0,0,30,3.633,0,0,0,0,0,30,LOPEZ C
"",70.00%,23.33%,6.67%,0.00%,0.00%,,,,,,,,,
LAW-689-706,13,3,0,0,0,16,3.812,0,0,0,0,0,16,POWELL J
"",81.25%,18.75%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-707,13,5,2,0,0,20,3.550,0,0,0,0,0,20,HACKNEY D
"",65.00%,25.00%,10.00%,0.00%,0.00%,,,,,,,,,
LAW-689-708,3,6,0,0,0,9,3.333,0,0,0,0,0,9,HINTZKE D
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,98,31,4,0,0,133,3.706,1,0,0,0,0,134,
"",73.68%,23.31%,3.01%,0.00%,0.00%,,,,,,,,,
LAW-696-701,28,2,0,0,0,30,3.933,0,0,0,0,0,30,DANCY J
"",93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-696-702,17,8,0,0,0,25,3.680,0,0,0,0,0,25,DANCY J
"",68.00%,32.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,45,10,0,0,0,55,3.818,0,0,0,0,0,55,
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-764-701,29,0,0,0,1,30,3.866,0,0,0,0,0,30,HELGE K
"",96.67%,0.00%,0.00%,0.00%,3.33%,,,,,,,,,
LAW-764-702,27,1,0,0,0,28,3.964,0,0,0,0,0,28,HELGE K
