BIOL-111-100,5,2,2,1,2,12,2.583,0,0,0,0,0,12,HAWKINS A
"",41.67%,16.67%,16.67%,8.33%,16.67%,,,,,,,,,
BIOL-111-101,4,2,2,0,1,9,2.888,0,0,0,0,0,9,HAWKINS A
"",44.44%,22.22%,22.22%,0.00%,11.11%,,,,,,,,,
BIOL-111-102,3,6,3,3,0,15,2.600,0,0,0,0,0,15,HAWKINS A
"",20.00%,40.00%,20.00%,20.00%,0.00%,,,,,,,,,
BIOL-111-103,10,5,0,0,0,15,3.666,0,0,0,0,0,15,HAWKINS A
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
BIOL-111-104,6,3,0,1,0,10,3.400,0,0,0,0,0,10,HAWKINS A
"",60.00%,30.00%,0.00%,10.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,18,7,5,3,61,3.032,0,0,0,0,0,61,
"",45.90%,29.51%,11.48%,8.20%,4.92%,,,,,,,,,
BIOL-112-201,10,6,3,2,0,21,3.142,0,0,0,0,0,21,LEE C
"",47.62%,28.57%,14.29%,9.52%,0.00%,,,,,,,,,
BIOL-112-202,12,5,3,2,1,23,3.086,0,0,0,1,0,24,LEE C
"",52.17%,21.74%,13.04%,8.70%,4.35%,,,,,,,,,
BIOL-112-203,9,4,1,1,2,17,3.000,0,0,0,0,0,17,LEE C
"",52.94%,23.53%,5.88%,5.88%,11.76%,,,,,,,,,
BIOL-112-204,9,7,7,0,1,24,2.958,0,0,0,0,0,24,LEE C
"",37.50%,29.17%,29.17%,0.00%,4.17%,,,,,,,,,
BIOL-112-205,7,9,1,1,0,18,3.222,0,0,0,0,0,18,LEE C
"",38.89%,50.00%,5.56%,5.56%,0.00%,,,,,,,,,
COURSE TOTAL:,47,31,15,6,4,103,3.077,0,0,0,1,0,104,
"",45.63%,30.10%,14.56%,5.83%,3.88%,,,,,,,,,
BIOL-113-199,24,8,4,3,1,40,3.275,0,0,0,2,0,42,RAO A
"",60.00%,20.00%,10.00%,7.50%,2.50%,,,,,,,,,
COURSE TOTAL:,24,8,4,3,1,40,3.275,0,0,0,2,0,42,
"",60.00%,20.00%,10.00%,7.50%,2.50%,,,,,,,,,
BIOL-206-101,6,9,4,0,0,19,3.105,0,0,0,0,0,19,JANES D
"",31.58%,47.37%,21.05%,0.00%,0.00%,,,,,,,,,
BIOL-206-102,5,4,3,0,0,12,3.166,0,0,0,0,0,12,JANES D
"",41.67%,33.33%,25.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,13,7,0,0,31,3.129,0,0,0,0,0,31,
"",35.48%,41.94%,22.58%,0.00%,0.00%,,,,,,,,,
BIOL-213-100,10,5,5,2,1,23,2.913,1,0,0,0,0,24,FLETCHER S
"",43.48%,21.74%,21.74%,8.70%,4.35%,,,,,,,,,
COURSE TOTAL:,10,5,5,2,1,23,2.913,1,0,0,0,0,24,
"",43.48%,21.74%,21.74%,8.70%,4.35%,,,,,,,,,
BIOL-214-200,6,11,2,1,1,21,2.952,0,0,0,0,0,21,PEPPER A
"",28.57%,52.38%,9.52%,4.76%,4.76%,,,,,,,,,
COURSE TOTAL:,6,11,2,1,1,21,2.952,0,0,0,0,0,21,
"",28.57%,52.38%,9.52%,4.76%,4.76%,,,,,,,,,
BIOL-319-301,3,3,6,2,0,14,2.500,0,0,0,0,0,14,COHN W
"",21.43%,21.43%,42.86%,14.29%,0.00%,,,,,,,,,
BIOL-319-302,6,3,11,1,0,21,2.666,0,0,0,2,0,23,COHN W
"",28.57%,14.29%,52.38%,4.76%,0.00%,,,,,,,,,
BIOL-319-303,1,2,3,0,0,6,2.666,0,0,0,1,0,7,COHN W
"",16.67%,33.33%,50.00%,0.00%,0.00%,,,,,,,,,
BIOL-319-304,5,7,8,0,0,20,2.850,0,0,0,1,0,21,COHN W
"",25.00%,35.00%,40.00%,0.00%,0.00%,,,,,,,,,
BIOL-319-305,5,9,5,1,0,20,2.900,0,0,0,1,0,21,COHN W
"",25.00%,45.00%,25.00%,5.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,24,33,4,0,81,2.740,0,0,0,5,0,86,
"",24.69%,29.63%,40.74%,4.94%,0.00%,,,,,,,,,
BIOL-320-301,1,4,4,0,0,9,2.666,0,0,0,0,0,9,TAYLOR L
"",11.11%,44.44%,44.44%,0.00%,0.00%,,,,,,,,,
BIOL-320-302,2,8,11,2,0,23,2.434,0,0,0,0,0,23,TAYLOR L
"",8.70%,34.78%,47.83%,8.70%,0.00%,,,,,,,,,
BIOL-320-303,3,1,3,0,1,8,2.625,0,0,0,3,0,11,TAYLOR L
"",37.50%,12.50%,37.50%,0.00%,12.50%,,,,,,,,,
BIOL-320-304,4,7,8,2,1,22,2.500,0,0,0,1,0,23,TAYLOR L
"",18.18%,31.82%,36.36%,9.09%,4.55%,,,,,,,,,
BIOL-320-305,2,9,10,0,0,21,2.619,0,0,0,1,0,22,TAYLOR L
"",9.52%,42.86%,47.62%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,29,36,4,2,83,2.542,0,0,0,5,0,88,
"",14.46%,34.94%,43.37%,4.82%,2.41%,,,,,,,,,
BIOL-401-999,24,11,8,1,4,48,3.041,0,0,0,0,0,48,ST. CLAIR A
"",50.00%,22.92%,16.67%,2.08%,8.33%,,,,,,,,,
COURSE TOTAL:,24,11,8,1,4,48,3.041,0,0,0,0,0,48,
"",50.00%,22.92%,16.67%,2.08%,8.33%,,,,,,,,,
BIOL-402-900,31,2,3,0,1,37,3.675,0,0,0,1,0,38,LEBOEUF B
"",83.78%,5.41%,8.11%,0.00%,2.70%,,,,,,,,,
COURSE TOTAL:,31,2,3,0,1,37,3.675,0,0,0,1,0,38,
"",83.78%,5.41%,8.11%,0.00%,2.70%,,,,,,,,,
BIOL-451-200,7,4,1,0,0,12,3.500,0,0,0,0,0,12,SARKAR T
"",58.33%,33.33%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,4,1,0,0,12,3.500,0,0,0,0,0,12,
"",58.33%,33.33%,8.33%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,220,156,121,26,17,540,2.938,1,0,0,14,0,555,
"",40.74%,28.89%,22.41%,4.81%,3.15%,,,,,,,,,
CHEM-107-300,5,8,5,3,2,23,2.478,0,0,0,4,0,27,MAWK E
"",21.74%,34.78%,21.74%,13.04%,8.70%,,,,,,,,,
CHEM-107-M01,1,1,3,2,0,7,2.142,0,0,0,0,0,7,WANG X
"",14.29%,14.29%,42.86%,28.57%,0.00%,,,,,,,,,
COURSE TOTAL:,6,9,8,5,2,30,2.400,0,0,0,4,0,34,
"",20.00%,30.00%,26.67%,16.67%,6.67%,,,,,,,,,
CHEM-117-300,5,4,5,1,0,15,2.866,0,0,0,0,0,15,SONGOK A
"",33.33%,26.67%,33.33%,6.67%,0.00%,,,,,,,,,
CHEM-117-301,3,4,1,0,0,8,3.250,0,0,0,0,0,8,ASSEM A
"",37.50%,50.00%,12.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,8,6,1,0,23,3.000,0,0,0,0,0,23,
"",34.78%,34.78%,26.09%,4.35%,0.00%,,,,,,,,,
CHEM-120-301,3,6,6,6,1,22,2.181,0,0,0,0,0,22,MCCARTNEY S
"",13.64%,27.27%,27.27%,27.27%,4.55%,,,,,,,,,
CHEM-120-302,4,9,3,0,0,16,3.062,1,0,0,2,0,19,MCCARTNEY S
"",25.00%,56.25%,18.75%,0.00%,0.00%,,,,,,,,,
CHEM-120-303,4,3,7,0,0,14,2.785,0,0,0,2,0,16,MCCARTNEY S
"",28.57%,21.43%,50.00%,0.00%,0.00%,,,,,,,,,
CHEM-120-304,4,9,4,0,1,18,2.833,0,0,0,1,0,19,MCCARTNEY S
"",22.22%,50.00%,22.22%,0.00%,5.56%,,,,,,,,,
CHEM-120-305,4,5,8,3,1,21,2.380,0,0,0,0,0,21,MCCARTNEY S
"",19.05%,23.81%,38.10%,14.29%,4.76%,,,,,,,,,
COURSE TOTAL:,19,32,28,9,3,91,2.604,1,0,0,5,0,97,
"",20.88%,35.16%,30.77%,9.89%,3.30%,,,,,,,,,
CHEM-222-300,16,9,4,0,0,29,3.413,0,0,0,0,0,29,DEGRUYTER J
"",55.17%,31.03%,13.79%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,9,4,0,0,29,3.413,0,0,0,0,0,29,
"",55.17%,31.03%,13.79%,0.00%,0.00%,,,,,,,,,
CHEM-227-301,11,8,13,3,1,36,2.694,0,0,0,2,0,38,SCHAEFER A
"",30.56%,22.22%,36.11%,8.33%,2.78%,,,,,,,,,
CHEM-227-302,14,9,4,2,5,34,2.735,1,0,0,3,0,38,SAN PEDRO J
"",41.18%,26.47%,11.76%,5.88%,14.71%,,,,,,,,,
COURSE TOTAL:,25,17,17,5,6,70,2.714,1,0,0,5,0,76,
"",35.71%,24.29%,24.29%,7.14%,8.57%,,,,,,,,,
CHEM-228-301,26,22,9,5,5,67,2.880,0,0,0,3,0,70,SANTANDER P
"",38.81%,32.84%,13.43%,7.46%,7.46%,,,,,,,,,
CHEM-228-302,25,33,16,5,2,81,2.913,6,0,0,0,0,87,SERRANO C
"",30.86%,40.74%,19.75%,6.17%,2.47%,,,,,,,,,
CHEM-228-303,21,18,4,1,1,45,3.266,1,0,0,4,0,50,PONNAMPERUMA K
"",46.67%,40.00%,8.89%,2.22%,2.22%,,,,,,,,,
COURSE TOTAL:,72,73,29,11,8,193,2.984,7,0,0,7,0,207,
"",37.31%,37.82%,15.03%,5.70%,4.15%,,,,,,,,,
CHEM-237-201,7,5,1,1,1,15,3.066,0,0,0,0,0,15,SCHAEFER A
"",46.67%,33.33%,6.67%,6.67%,6.67%,,,,,,,,,
CHEM-237-202,5,6,3,0,0,14,3.142,0,0,0,0,0,14,SCHAEFER A
"",35.71%,42.86%,21.43%,0.00%,0.00%,,,,,,,,,
CHEM-237-203,11,1,0,1,0,13,3.692,1,0,0,0,0,14,SCHAEFER A
"",84.62%,7.69%,0.00%,7.69%,0.00%,,,,,,,,,
COURSE TOTAL:,23,12,4,2,1,42,3.285,1,0,0,0,0,43,
"",54.76%,28.57%,9.52%,4.76%,2.38%,,,,,,,,,
CHEM-238-201,7,9,3,0,0,19,3.210,1,0,0,0,0,20,SCHAEFER A
"",36.84%,47.37%,15.79%,0.00%,0.00%,,,,,,,,,
CHEM-238-202,12,7,1,0,2,22,3.227,0,0,0,0,0,22,SCHAEFER A
"",54.55%,31.82%,4.55%,0.00%,9.09%,,,,,,,,,
CHEM-238-203,9,3,4,1,1,18,3.000,0,0,0,0,0,18,SCHAEFER A
"",50.00%,16.67%,22.22%,5.56%,5.56%,,,,,,,,,
CHEM-238-204,5,10,3,0,2,20,2.800,0,0,0,0,0,20,SCHAEFER A
"",25.00%,50.00%,15.00%,0.00%,10.00%,,,,,,,,,
COURSE TOTAL:,33,29,11,1,5,79,3.063,1,0,0,0,0,80,
"",41.77%,36.71%,13.92%,1.27%,6.33%,,,,,,,,,
DEPARTMENT TOTAL:,202,189,107,34,25,557,2.854,11,0,0,21,0,589,
"",36.27%,33.93%,19.21%,6.10%,4.49%,,,,,,,,,
MATH-140-100,5,4,8,1,2,20,2.450,0,0,0,2,0,22,CLAYTON B
"",25.00%,20.00%,40.00%,5.00%,10.00%,,,,,,,,,
MATH-140-101,18,18,17,8,7,68,2.470,1,0,0,5,0,74,FISK J
"",26.47%,26.47%,25.00%,11.76%,10.29%,,,,,,,,,
MATH-140-200,1,4,2,0,1,8,2.500,0,0,0,1,0,9,YU B
"",12.50%,50.00%,25.00%,0.00%,12.50%,,,,,,,,,
MATH-140-201,16,18,26,2,6,68,2.529,1,0,0,4,0,73,SENGUPTA S
"",23.53%,26.47%,38.24%,2.94%,8.82%,,,,,,,,,
COURSE TOTAL:,40,44,53,11,16,164,2.493,2,0,0,12,0,178,
"",24.39%,26.83%,32.32%,6.71%,9.76%,,,,,,,,,
MATH-142-101,5,3,4,5,2,19,2.210,0,0,0,0,0,19,SU X
"",26.32%,15.79%,21.05%,26.32%,10.53%,,,,,,,,,
