CHEM-107-100,2,2,6,1,1,12,2.250,0,0,0,0,0,12,ARONSON C
"",16.67%,16.67%,50.00%,8.33%,8.33%,,,,,,,,,
COURSE TOTAL:,2,2,6,1,1,12,2.250,0,0,0,0,0,12,
"",16.67%,16.67%,50.00%,8.33%,8.33%,,,,,,,,,
MATH-142-199,3,2,1,1,1,8,2.625,1,0,0,0,0,9,QIU L
"",37.50%,25.00%,12.50%,12.50%,12.50%,,,,,,,,,
COURSE TOTAL:,3,2,1,1,1,8,2.625,1,0,0,0,0,9,
"",37.50%,25.00%,12.50%,12.50%,12.50%,,,,,,,,,
MATH-147-100,3,1,3,1,0,8,2.750,0,0,0,0,0,8,QIU L
"",37.50%,12.50%,37.50%,12.50%,0.00%,,,,,,,,,
COURSE TOTAL:,3,1,3,1,0,8,2.750,0,0,0,0,0,8,
"",37.50%,12.50%,37.50%,12.50%,0.00%,,,,,,,,,
MATH-151-301,4,12,12,5,1,34,2.382,1,0,0,0,0,35,ARONSON C
"",11.76%,35.29%,35.29%,14.71%,2.94%,,,,,,,,,
COURSE TOTAL:,4,12,12,5,1,34,2.382,1,0,0,0,0,35,
"",11.76%,35.29%,35.29%,14.71%,2.94%,,,,,,,,,
MATH-152-401,1,3,2,0,1,7,2.428,0,0,0,0,0,7,BROWN P
"",14.29%,42.86%,28.57%,0.00%,14.29%,,,,,,,,,
COURSE TOTAL:,1,3,2,0,1,7,2.428,0,0,0,0,0,7,
"",14.29%,42.86%,28.57%,0.00%,14.29%,,,,,,,,,
PHYS-201-101,4,3,2,1,2,12,2.500,0,0,0,2,0,14,BOULAHOUACHE C
"",33.33%,25.00%,16.67%,8.33%,16.67%,,,,,,,,,
COURSE TOTAL:,4,3,2,1,2,12,2.500,0,0,0,2,0,14,
"",33.33%,25.00%,16.67%,8.33%,16.67%,,,,,,,,,
PHYS-206-301,5,5,2,1,0,13,3.076,0,0,0,1,0,14,BOULAHOUACHE C
"",38.46%,38.46%,15.38%,7.69%,0.00%,,,,,,,,,
COURSE TOTAL:,5,5,2,1,0,13,3.076,0,0,0,1,0,14,
"",38.46%,38.46%,15.38%,7.69%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,22,28,28,10,6,94,2.518,2,0,0,3,0,99,
"",23.40%,29.79%,29.79%,10.64%,6.38%,,,,,,,,,
ANTH-210-700,8,1,2,0,2,13,3.000,0,0,0,0,0,13,FURTH B
"",61.54%,7.69%,15.38%,0.00%,15.38%,,,,,,,,,
COURSE TOTAL:,8,1,2,0,2,13,3.000,0,0,0,0,0,13,
"",61.54%,7.69%,15.38%,0.00%,15.38%,,,,,,,,,
COMM-203-700,4,4,0,0,1,9,3.111,0,0,0,1,0,10,VISER V
"",44.44%,44.44%,0.00%,0.00%,11.11%,,,,,,,,,
COURSE TOTAL:,4,4,0,0,1,9,3.111,0,0,0,1,0,10,
"",44.44%,44.44%,0.00%,0.00%,11.11%,,,,,,,,,
DIVE-489-101,5,0,0,0,0,5,4.000,0,0,0,0,0,5,PINTACUDA J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
HIST-105-700,9,10,3,2,1,25,2.960,0,0,0,1,0,26,FALVO K
"",36.00%,40.00%,12.00%,8.00%,4.00%,,,,,,,,,
COURSE TOTAL:,9,10,3,2,1,25,2.960,0,0,0,1,0,26,
"",36.00%,40.00%,12.00%,8.00%,4.00%,,,,,,,,,
HIST-106-700,6,1,2,0,1,10,3.100,0,0,0,0,0,10,FALVO K
"",60.00%,10.00%,20.00%,0.00%,10.00%,,,,,,,,,
COURSE TOTAL:,6,1,2,0,1,10,3.100,0,0,0,0,0,10,
"",60.00%,10.00%,20.00%,0.00%,10.00%,,,,,,,,,
PERF-226-700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,KATES-HAMMOND C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PERF-301-700,5,1,0,1,2,9,2.666,0,0,0,0,0,9,NEALON W
"",55.56%,11.11%,0.00%,11.11%,22.22%,,,,,,,,,
COURSE TOTAL:,5,1,0,1,2,9,2.666,0,0,0,0,0,9,
"",55.56%,11.11%,0.00%,11.11%,22.22%,,,,,,,,,
POLS-206-399,1,5,4,1,1,12,2.333,0,0,0,0,0,12,HANEY A
"",8.33%,41.67%,33.33%,8.33%,8.33%,,,,,,,,,
POLS-206-700,1,3,1,0,0,5,3.000,0,0,0,0,0,5,HANEY A
"",20.00%,60.00%,20.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,8,5,1,1,17,2.529,0,0,0,0,0,17,
"",11.76%,47.06%,29.41%,5.88%,5.88%,,,,,,,,,
POLS-207-399,9,3,3,1,1,17,3.058,0,0,0,1,0,18,HANEY A
"",52.94%,17.65%,17.65%,5.88%,5.88%,,,,,,,,,
POLS-207-701,2,4,5,2,0,13,2.461,0,0,0,0,0,13,HANEY A
"",15.38%,30.77%,38.46%,15.38%,0.00%,,,,,,,,,
COURSE TOTAL:,11,7,8,3,1,30,2.800,0,0,0,1,0,31,
"",36.67%,23.33%,26.67%,10.00%,3.33%,,,,,,,,,
DEPARTMENT TOTAL:,59,32,20,7,9,127,2.984,0,0,0,3,0,130
"",46.46%,25.20%,15.75%,5.51%,7.09%,,,,,,,,
MARS-210-200,3,5,1,0,0,9,3.222,0,0,0,0,0,9,SMITH C
"",33.33%,55.56%,11.11%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,5,1,0,0,9,3.222,0,0,0,0,0,9,
"",33.33%,55.56%,11.11%,0.00%,0.00%,,,,,,,,,
MARS-489-701,4,7,1,1,0,13,3.076,0,0,0,0,0,13,SMITH C
"",30.77%,53.85%,7.69%,7.69%,0.00%,,,,,,,,,
COURSE TOTAL:,4,7,1,1,0,13,3.076,0,0,0,0,0,13,
"",30.77%,53.85%,7.69%,7.69%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,7,12,2,1,0,22,3.136,0,0,0,0,0,22,
"",31.82%,54.55%,9.09%,4.55%,0.00%,,,,,,,,,
MARB-437-100,5,2,0,0,1,8,3.250,0,0,0,0,0,8,PETERSEN L
"",62.50%,25.00%,0.00%,0.00%,12.50%,,,,,,,,,
COURSE TOTAL:,5,2,0,0,1,8,3.250,0,0,0,0,0,8,
"",62.50%,25.00%,0.00%,0.00%,12.50%,,,,,,,,,
MARB-489-100,5,0,0,0,1,6,3.333,0,0,0,0,0,6,HALA D
"",83.33%,0.00%,0.00%,0.00%,16.67%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,1,6,3.333,0,0,0,0,0,6,
"",83.33%,0.00%,0.00%,0.00%,16.67%,,,,,,,,,
DEPARTMENT TOTAL:,10,2,0,0,2,14,3.285,0,0,0,0,0,14,
"",71.43%,14.29%,0.00%,0.00%,14.29%,,,,,,,,,
MARE-200-350,0,5,5,0,1,11,2.272,1,0,0,0,0,12,REEVES A
"",0.00%,45.45%,45.45%,0.00%,9.09%,,,,,,,,,
COURSE TOTAL:,0,5,5,0,1,11,2.272,1,0,0,0,0,12,
"",0.00%,45.45%,45.45%,0.00%,9.09%,,,,,,,,,
