BIMS-320-300,4,3,5,1,3,16,2.250,1,0,0,0,0,17,SILKWOOD C
"",25.00%,18.75%,31.25%,6.25%,18.75%,,,,,,,,,
COURSE TOTAL:,4,3,5,1,3,16,2.250,1,0,0,0,0,17,
"",25.00%,18.75%,31.25%,6.25%,18.75%,,,,,,,,,
BIMS-485-343,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CROUCH E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-485-M01,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SILKWOOD C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4.000,0,0,0,0,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,16,3,5,1,3,28,2.687,1,0,0,0,0,29,
"",57.14%,10.71%,17.86%,3.57%,10.71%,,,,,,,,,
VIBS-305-300,12,30,11,5,0,58,2.844,0,0,0,3,0,61,WILSON P
"",20.69%,51.72%,18.97%,8.62%,0.00%,,,,,,,,,
VIBS-305-301,19,29,22,12,5,87,2.517,0,0,0,1,0,88,WILSON P
"",21.84%,33.33%,25.29%,13.79%,5.75%,,,,,,,,,
COURSE TOTAL:,31,59,33,17,5,145,2.648,0,0,0,4,0,149,
"",21.38%,40.69%,22.76%,11.72%,3.45%,,,,,,,,,
VIBS-601-300,3,16,6,0,1,26,2.769,0,0,0,0,0,26,WILSON P
"",11.54%,61.54%,23.08%,0.00%,3.85%,,,,,,,,,
COURSE TOTAL:,3,16,6,0,1,26,2.769,0,0,0,0,0,26,
"",11.54%,61.54%,23.08%,0.00%,3.85%,,,,,,,,,
VIBS-608-399,14,2,0,0,0,16,3.875,0,0,0,0,0,16,NORMAN K
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,2,0,0,0,16,3.875,0,0,0,0,0,16,
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-633-200,13,2,0,0,0,15,3.866,0,0,0,0,0,15,BUDKE C
"",86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,2,0,0,0,15,3.866,0,0,0,0,0,15,
"",86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-685-309,6,0,0,0,0,6,4.000,0,0,0,1,0,7,HAMER S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,1,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,67,79,39,17,6,208,2.848,0,0,0,5,0,213
"",32.21%,37.98%,18.75%,8.17%,2.88%,,,,,,,,
VLCS-485-313,16,0,0,0,0,16,4.000,0,0,0,0,0,16,COHEN N
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-420-150,22,0,0,0,0,22,4.000,0,0,0,0,0,22,FAJT V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,0,0,0,0,22,4.000,0,0,0,0,0,22,
