AEGD-601-600,2,4,0,0,0,6,0.000,0,0,0,0,0,6,KORMAS I
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,4,0,0,0,6,Error,0,0,0,0,0,6,
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-611-600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,SEYED SADRKHANI S
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,1,0,0,0,6,3.833,0,0,0,0,0,6,
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-616-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,KORMAS I
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-619-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HENNESSY B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-625-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HENNESSY B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,23,7,0,0,0,30,3.871,0,0,0,0,0,30
"",76.67%,23.33%,0.00%,0.00%,0.00%,,,,,,,,
DDHS-3110-500,10,18,1,0,0,29,3.310,0,0,0,0,0,29,FOX E
"",34.48%,62.07%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,18,1,0,0,29,3.310,0,0,0,0,0,29,
"",34.48%,62.07%,3.45%,0.00%,0.00%,,,,,,,,,
DDHS-3120-500,9,17,3,0,0,29,3.206,0,0,0,0,0,29,FOX E
"",31.03%,58.62%,10.34%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,17,3,0,0,29,3.206,0,0,0,0,0,29,
"",31.03%,58.62%,10.34%,0.00%,0.00%,,,,,,,,,
DDHS-3160-500,11,17,1,0,0,29,3.344,0,0,0,0,0,29,COWEN B
"",37.93%,58.62%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,17,1,0,0,29,3.344,0,0,0,0,0,29,
"",37.93%,58.62%,3.45%,0.00%,0.00%,,,,,,,,,
DDHS-3250-500,11,11,4,3,0,29,3.034,0,0,0,0,0,29,LU Y
"",37.93%,37.93%,13.79%,10.34%,0.00%,,,,,,,,,
COURSE TOTAL:,11,11,4,3,0,29,3.034,0,0,0,0,0,29,
"",37.93%,37.93%,13.79%,10.34%,0.00%,,,,,,,,,
DDHS-3425-500,8,19,2,0,0,29,3.206,0,0,0,0,0,29,COTTER J
"",27.59%,65.52%,6.90%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,19,2,0,0,29,3.206,0,0,0,0,0,29,
"",27.59%,65.52%,6.90%,0.00%,0.00%,,,,,,,,,
DDHS-4015-500,22,6,1,0,0,29,3.724,0,0,0,0,0,29,ABRAHAM C
"",75.86%,20.69%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,6,1,0,0,29,3.724,0,0,0,0,0,29,
"",75.86%,20.69%,3.45%,0.00%,0.00%,,,,,,,,,
DDHS-4025-500,15,12,2,0,0,29,3.448,0,0,0,0,0,29,WRIGHT J
"",51.72%,41.38%,6.90%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,12,2,0,0,29,3.448,0,0,0,0,0,29,
"",51.72%,41.38%,6.90%,0.00%,0.00%,,,,,,,,,
DDHS-4140-500,29,0,0,0,0,29,4.000,0,0,0,0,0,29,REED K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,29,0,0,0,0,29,4.000,0,0,0,0,0,29,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-4410-500,28,0,0,0,0,28,4.000,0,0,0,0,0,28,WYATT L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,0,0,0,0,28,4.000,0,0,0,0,0,28,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-4610-500,15,13,1,0,0,29,3.482,0,0,0,0,0,29,ABRAHAM C
"",51.72%,44.83%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,13,1,0,0,29,3.482,0,0,0,0,0,29,
"",51.72%,44.83%,3.45%,0.00%,0.00%,,,,,,,,,
DDHS-4620-500,25,4,0,0,0,29,3.862,0,0,0,0,0,29,BROWN M
"",86.21%,13.79%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,4,0,0,0,29,3.862,0,0,0,0,0,29,
"",86.21%,13.79%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-4715-500,0,29,0,0,0,29,3.000,0,0,0,0,0,29,UMORIN M
"",0.00%,100.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,0,29,0,0,0,29,3.000,0,0,0,0,0,29,
"",0.00%,100.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,183,146,15,3,0,347,3.429,0,0,0,0,0,347
"",52.74%,42.07%,4.32%,0.86%,0.00%,,,,,,,,
OMFS-610-600,9,0,0,0,0,9,4.000,1,0,0,0,0,10,HENDERSON B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,1,0,0,0,0,10,
