EDAD-601-699,12,0,0,0,0,12,4.000,0,0,0,0,0,12,HAYNES DAVISON C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-601-700,5,2,0,0,0,7,3.714,0,0,0,0,0,7,HAYNES DAVISON C
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,2,0,0,0,19,3.894,0,0,0,0,0,19,
"",89.47%,10.53%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-605-700,15,0,0,0,0,15,4.000,0,0,0,0,0,15,FAHRENWALD C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-606-700,11,3,1,0,0,15,3.666,0,0,0,0,0,15,HILL-JACKSON V
"",73.33%,20.00%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,3,1,0,0,15,3.666,0,0,0,0,0,15,
"",73.33%,20.00%,6.67%,0.00%,0.00%,,,,,,,,,
EDAD-610-600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,BROWN J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4.000,0,0,0,0,0,13,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-611-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,PUGH D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-616-600,9,1,0,0,0,10,3.900,2,0,0,0,0,12,SAAVEDRA A
"",90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,1,0,0,0,10,3.900,2,0,0,0,0,12,
"",90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-618-600,10,1,0,0,0,11,3.909,0,0,0,0,0,11,LECHUGA V
"",90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,1,0,0,0,11,3.909,0,0,0,0,0,11,
"",90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-623-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ROUMELL E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-631-600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,PUGH D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4.000,0,0,0,0,0,13,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-639-600,12,2,0,0,0,14,3.857,0,0,0,0,0,14,LECHUGA V
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-639-601,8,0,0,0,0,8,4.000,0,0,0,0,0,8,JAMES GALLAWAY C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-639-700,12,0,0,0,0,12,4.000,0,0,0,0,0,12,FAHRENWALD C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
