ARTS-103-501,12,0,0,1,0,13,3.769,0,0,0,0,0,13,PUGH R
"",92.31%,0.00%,0.00%,7.69%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,1,0,13,3.769,0,0,0,0,0,13,
"",92.31%,0.00%,0.00%,7.69%,0.00%,,,,,,,,,
ARTS-104-500,8,4,1,0,0,13,3.538,0,0,0,0,0,13,GOODMAN J
"",61.54%,30.77%,7.69%,0.00%,0.00%,,,,,,,,,
ARTS-104-701,21,2,0,0,0,23,3.913,0,0,0,0,0,23,HONEYCUTT A
"",91.30%,8.70%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,29,6,1,0,0,36,3.777,0,0,0,0,0,36,
"",80.56%,16.67%,2.78%,0.00%,0.00%,,,,,,,,,
ARTS-115-501,17,1,0,0,0,18,3.944,0,0,0,0,0,18,PUGH R
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
ARTS-115-502,12,6,0,0,0,18,3.666,0,0,0,0,0,18,HOUSE F
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
ARTS-115-503,6,11,2,0,1,20,3.050,0,0,0,0,0,20,KOUSTOV D
"",30.00%,55.00%,10.00%,0.00%,5.00%,,,,,,,,,
ARTS-115-504,5,11,2,0,1,19,3.000,0,0,0,0,0,19,PARMAR N
"",26.32%,57.89%,10.53%,0.00%,5.26%,,,,,,,,,
ARTS-115-505,3,12,1,0,1,17,2.941,0,0,0,0,0,17,KOUSTOV D
"",17.65%,70.59%,5.88%,0.00%,5.88%,,,,,,,,,
ARTS-115-506,6,8,3,0,0,17,3.176,0,0,0,0,0,17,STEELE Z
"",35.29%,47.06%,17.65%,0.00%,0.00%,,,,,,,,,
ARTS-115-507,3,14,0,0,0,17,3.176,0,0,0,0,0,17,KOUSTOV D
"",17.65%,82.35%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,52,63,8,0,3,126,3.277,0,0,0,0,0,126,
"",41.27%,50.00%,6.35%,0.00%,2.38%,,,,,,,,,
ARTS-149-200,6,1,0,0,1,8,3.375,0,0,0,1,0,9,SUTHERLAND S
"",75.00%,12.50%,0.00%,0.00%,12.50%,,,,,,,,,
ARTS-149-500,143,36,4,1,0,184,3.744,0,0,0,4,0,188,SUTHERLAND S
"",77.72%,19.57%,2.17%,0.54%,0.00%,,,,,,,,,
