PHEO-605-600,39,0,0,0,0,39,4.000,0,0,0,0,0,39,MCDONALD T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,39,0,0,0,0,39,4.000,0,0,0,0,0,39,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-613-700,7,0,0,0,0,7,4.000,0,0,0,1,0,8,CARRILLO G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,1,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-618-600,5,6,2,2,0,15,2.933,0,0,0,0,0,15,PICKENS A
"",33.33%,40.00%,13.33%,13.33%,0.00%,,,,,,,,,
COURSE TOTAL:,5,6,2,2,0,15,2.933,0,0,0,0,0,15,
"",33.33%,40.00%,13.33%,13.33%,0.00%,,,,,,,,,
PHEO-621-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MENDOZA SANCHEZ I
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-630-600,25,3,0,0,0,28,3.892,0,0,0,0,0,28,JOHNSON N
"",89.29%,10.71%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,3,0,0,0,28,3.892,0,0,0,0,0,28,
"",89.29%,10.71%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-674-601,12,5,2,0,0,19,3.526,0,0,0,0,0,19,PERES C
"",63.16%,26.32%,10.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,5,2,0,0,19,3.526,0,0,0,0,0,19,
"",63.16%,26.32%,10.53%,0.00%,0.00%,,,,,,,,,
PHEO-678-600,17,3,0,0,0,20,3.850,0,0,0,0,0,20,DOUPHRATE D
"",85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,3,0,0,0,20,3.850,0,0,0,0,0,20,
"",85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,113,17,4,2,0,136,3.772,0,0,0,1,0,137,
"",83.09%,12.50%,2.94%,1.47%,0.00%,,,,,,,,,
PHEB-602-600,19,9,4,0,0,32,3.468,0,0,0,0,0,32,HAN G
"",59.38%,28.13%,12.50%,0.00%,0.00%,,,,,,,,,
PHEB-602-700,6,5,2,0,1,14,3.071,0,0,0,3,0,17,TARWATER P
