LAW-601-601,9,3,0,0,0,12,3.750,0,0,0,0,0,12,GEORGE J
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-601-602,5,3,2,0,0,10,3.300,0,0,0,0,0,10,WELSH N
"",50.00%,30.00%,20.00%,0.00%,0.00%,,,,,,,,,
LAW-601-603,3,6,1,1,0,11,3.000,0,0,0,0,0,11,PIERCE T
"",27.27%,54.55%,9.09%,9.09%,0.00%,,,,,,,,,
COURSE TOTAL:,17,12,3,1,0,33,3.363,0,0,0,0,0,33,
"",51.52%,36.36%,9.09%,3.03%,0.00%,,,,,,,,,
LAW-606-601,9,4,0,0,0,13,3.692,0,0,0,0,0,13,LUNNEY J
"",69.23%,30.77%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-606-602,3,7,1,0,0,11,3.181,0,0,0,0,1,12,GORDON R
"",27.27%,63.64%,9.09%,0.00%,0.00%,,,,,,,,,
LAW-606-603,5,4,2,0,0,11,3.272,0,0,0,0,0,11,SHORT A
"",45.45%,36.36%,18.18%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,15,3,0,0,35,3.400,0,0,0,0,1,36,
"",48.57%,42.86%,8.57%,0.00%,0.00%,,,,,,,,,
LAW-612-601,6,7,0,0,0,13,3.461,0,0,0,0,0,13,REILLY P
"",46.15%,53.85%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,7,0,0,0,13,3.461,0,0,0,0,0,13,
"",46.15%,53.85%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-618-710,21,5,2,1,1,30,3.466,0,0,0,0,0,30,MARLETT D
"",70.00%,16.67%,6.67%,3.33%,3.33%,,,,,,,,,
LAW-618-711,22,7,1,0,0,30,3.700,0,0,0,0,0,30,MARLETT D
"",73.33%,23.33%,3.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,43,12,3,1,1,60,3.583,0,0,0,0,0,60,
"",71.67%,20.00%,5.00%,1.67%,1.67%,,,,,,,,,
LAW-619-701,24,2,1,0,0,27,3.851,1,0,0,0,2,30,BURT J
"",88.89%,7.41%,3.70%,0.00%,0.00%,,,,,,,,,
LAW-619-702,26,3,1,0,0,30,3.833,1,0,0,0,0,31,BURT J
"",86.67%,10.00%,3.33%,0.00%,0.00%,,,,,,,,,
LAW-619-703,22,4,3,0,0,29,3.655,1,0,0,1,0,31,BURT J
"",75.86%,13.79%,10.34%,0.00%,0.00%,,,,,,,,,
LAW-619-704,23,6,0,0,0,29,3.793,1,0,0,0,0,30,BURT J
"",79.31%,20.69%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-619-705,25,3,2,0,0,30,3.766,1,0,0,0,0,31,BURT J
"",83.33%,10.00%,6.67%,0.00%,0.00%,,,,,,,,,
LAW-619-706,11,15,2,2,1,31,3.064,0,0,0,0,0,31,HELGE T
"",35.48%,48.39%,6.45%,6.45%,3.23%,,,,,,,,,
LAW-619-707,16,11,1,0,1,29,3.413,0,0,0,1,0,30,HELGE T
"",55.17%,37.93%,3.45%,0.00%,3.45%,,,,,,,,,
LAW-619-708,17,9,2,1,0,29,3.448,0,0,0,0,0,29,HELGE T
"",58.62%,31.03%,6.90%,3.45%,0.00%,,,,,,,,,
LAW-619-709,14,12,2,0,0,28,3.428,0,0,0,2,0,30,SCHANERBERGER E
"",50.00%,42.86%,7.14%,0.00%,0.00%,,,,,,,,,
LAW-619-710,13,14,3,0,0,30,3.333,0,0,0,0,0,30,SCHANERBERGER E
"",43.33%,46.67%,10.00%,0.00%,0.00%,,,,,,,,,
LAW-619-713,13,9,3,2,2,29,3.000,0,0,0,0,0,29,SCHANERBERGER E
"",44.83%,31.03%,10.34%,6.90%,6.90%,,,,,,,,,
LAW-619-714,12,12,3,0,3,30,3.000,0,0,0,0,0,30,SCHANERBERGER E
"",40.00%,40.00%,10.00%,0.00%,10.00%,,,,,,,,,
COURSE TOTAL:,216,100,23,5,7,351,3.461,5,0,0,4,2,362,
"",61.54%,28.49%,6.55%,1.42%,1.99%,,,,,,,,,
LAW-628-701,39,0,1,0,2,42,3.761,0,0,0,0,0,42,DEWITTE P
"",92.86%,0.00%,2.38%,0.00%,4.76%,,,,,,,,,
COURSE TOTAL:,39,0,1,0,2,42,3.761,0,0,0,0,0,42,
"",92.86%,0.00%,2.38%,0.00%,4.76%,,,,,,,,,
LAW-635-701,25,4,0,0,2,31,3.612,0,0,0,0,0,31,BROWN T
"",80.65%,12.90%,0.00%,0.00%,6.45%,,,,,,,,,
LAW-635-702,27,2,1,0,0,30,3.866,0,0,0,0,0,30,BROWN T
"",90.00%,6.67%,3.33%,0.00%,0.00%,,,,,,,,,
LAW-635-703,27,2,0,0,0,29,3.931,0,0,0,1,0,30,BROWN T
"",93.10%,6.90%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,79,8,1,0,2,90,3.800,0,0,0,1,0,91,
"",87.78%,8.89%,1.11%,0.00%,2.22%,,,,,,,,,
LAW-640-701,30,0,0,0,0,30,4.000,0,0,0,0,0,30,FREDERICK K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-640-702,29,0,0,0,0,29,4.000,0,0,0,0,0,29,FREDERICK K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-640-703,21,0,0,0,2,23,3.652,0,0,0,0,0,23,FREDERICK K
"",91.30%,0.00%,0.00%,0.00%,8.70%,,,,,,,,,
COURSE TOTAL:,80,0,0,0,2,82,3.902,0,0,0,0,0,82,
"",97.56%,0.00%,0.00%,0.00%,2.44%,,,,,,,,,
LAW-649-701,9,0,0,0,0,9,4.000,0,0,0,0,0,9,BYRNES W
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-655-701,23,7,0,0,0,30,3.766,0,0,0,0,0,30,FLORES M
"",76.67%,23.33%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-655-702,22,8,0,0,0,30,3.733,0,0,0,0,0,30,FLORES M
"",73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-655-703,19,11,0,0,0,30,3.633,0,0,0,0,0,30,FLORES M
"",63.33%,36.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-655-704,19,9,1,0,0,29,3.620,1,0,0,0,0,30,FLORES M
"",65.52%,31.03%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,83,35,1,0,0,119,3.689,1,0,0,0,0,120,
"",69.75%,29.41%,0.84%,0.00%,0.00%,,,,,,,,,
LAW-659-701,27,6,2,0,0,35,3.714,1,0,0,0,0,36,FANCHER K
"",77.14%,17.14%,5.71%,0.00%,0.00%,,,,,,,,,
LAW-659-702,17,12,4,1,0,34,3.323,0,0,0,0,0,34,FANCHER K
"",50.00%,35.29%,11.76%,2.94%,0.00%,,,,,,,,,
COURSE TOTAL:,44,18,6,1,0,69,3.521,1,0,0,0,0,70,
"",63.77%,26.09%,8.70%,1.45%,0.00%,,,,,,,,,
LAW-661-701,11,23,0,0,2,36,3.138,0,0,0,0,0,36,MARVIN E
"",30.56%,63.89%,0.00%,0.00%,5.56%,,,,,,,,,
COURSE TOTAL:,11,23,0,0,2,36,3.138,0,0,0,0,0,36,
"",30.56%,63.89%,0.00%,0.00%,5.56%,,,,,,,,,
LAW-667-701,22,3,0,0,0,25,3.880,4,0,0,1,0,30,KISER J
"",88.00%,12.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-667-702,27,1,1,0,0,29,3.896,0,0,0,0,0,29,KISER J
"",93.10%,3.45%,3.45%,0.00%,0.00%,,,,,,,,,
LAW-667-704,26,2,0,0,0,28,3.928,0,0,0,1,0,29,KISER J
"",92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-667-707,23,5,0,0,0,28,3.821,0,0,0,2,0,30,JACKSON A
"",82.14%,17.86%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-667-708,16,12,0,0,1,29,3.448,0,0,0,1,0,30,JACKSON A
"",55.17%,41.38%,0.00%,0.00%,3.45%,,,,,,,,,
COURSE TOTAL:,114,23,1,0,1,139,3.791,4,0,0,5,0,148,
"",82.01%,16.55%,0.72%,0.00%,0.72%,,,,,,,,,
LAW-671-701,0,0,0,0,43,43,0.000,0,0,0,0,0,43,SNYDER F
"",0.00%,0.00%,0.00%,0.00%,100.00%,,,,,,,,,
COURSE TOTAL:,0,0,0,0,43,43,0.000,0,0,0,0,0,43,
"",0.00%,0.00%,0.00%,0.00%,100.00%,,,,,,,,,
LAW-689-607,11,3,1,0,1,16,3.437,0,0,0,0,0,16,KASPAR-COKER L
"",68.75%,18.75%,6.25%,0.00%,6.25%,,,,,,,,,
LAW-689-608,7,1,0,0,0,8,3.875,0,0,0,0,0,8,MESSINA V
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,4,1,0,1,24,3.583,0,0,0,0,0,24,
"",75.00%,16.67%,4.17%,0.00%,4.17%,,,,,,,,,
LAW-718-701,24,6,2,1,1,34,3.500,0,0,0,0,0,34,HARRISON S
"",70.59%,17.65%,5.88%,2.94%,2.94%,,,,,,,,,
COURSE TOTAL:,24,6,2,1,1,34,3.500,0,0,0,0,0,34,
"",70.59%,17.65%,5.88%,2.94%,2.94%,,,,,,,,,
LAW-720-701,4,2,0,0,0,6,3.666,0,0,0,0,0,6,NOBRE L
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-745-701,26,1,2,0,1,30,3.700,0,0,0,0,0,30,WASHINGTON K
"",86.67%,3.33%,6.67%,0.00%,3.33%,,,,,,,,,
LAW-745-702,28,1,0,0,2,31,3.709,0,0,0,1,0,32,ALFE J
"",90.32%,3.23%,0.00%,0.00%,6.45%,,,,,,,,,
LAW-745-703,25,3,0,0,2,30,3.633,0,0,0,0,0,30,WASHINGTON K
"",83.33%,10.00%,0.00%,0.00%,6.67%,,,,,,,,,
COURSE TOTAL:,79,5,2,0,5,91,3.681,0,0,0,1,0,92,
"",86.81%,5.49%,2.20%,0.00%,5.49%,,,,,,,,,
LAW-772-701,30,2,0,0,0,32,3.937,0,0,0,1,0,33,KRAVITZ R
"",93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-772-702,25,3,0,0,0,28,3.892,2,0,0,0,0,30,KRAVITZ R
"",89.29%,10.71%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-772-703,30,1,0,0,0,31,3.967,1,0,0,0,0,32,KRAVITZ R
"",96.77%,3.23%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,85,6,0,0,0,91,3.934,3,0,0,1,0,95,
"",93.41%,6.59%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-773-701,32,6,1,0,0,39,3.794,0,0,0,0,0,39,MARKSON D
"",82.05%,15.38%,2.56%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,32,6,1,0,0,39,3.794,0,0,0,0,0,39,
"",82.05%,15.38%,2.56%,0.00%,0.00%,,,,,,,,,
LAW-777-701,35,4,0,0,0,39,3.897,1,0,0,2,0,42,BYRNES W
"",89.74%,10.26%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,35,4,0,0,0,39,3.897,1,0,0,2,0,42,
"",89.74%,10.26%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-780-701,22,3,0,1,0,26,3.769,0,0,0,3,0,29,TAYLOR R
"",84.62%,11.54%,0.00%,3.85%,0.00%,,,,,,,,,
LAW-780-702,19,5,2,1,1,28,3.428,0,0,0,1,2,31,TAYLOR R
"",67.86%,17.86%,7.14%,3.57%,3.57%,,,,,,,,,
COURSE TOTAL:,41,8,2,2,1,54,3.592,0,0,0,4,2,60,
"",75.93%,14.81%,3.70%,3.70%,1.85%,,,,,,,,,
LAW-792-601,28,0,0,0,0,28,4.000,0,0,0,0,0,28,ALFE J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,0,0,0,0,28,4.000,0,0,0,0,0,28,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,1104,294,50,11,68,1527,3.504,15,0,0,18,5,1565
"",72.30%,19.25%,3.27%,0.72%,4.45%,,,,,,,,
COLLEGE TOTAL:,1104,294,50,11,68,1527,3.504,15,0,0,18,5,1565
"",72.30%,19.25%,3.27%,0.72%,4.45%,,,,,,,,
