BIMS-602-600,25,0,0,0,0,25,4.000,0,0,0,0,0,25,CRISCITIELLO M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,0,0,0,0,25,4.000,0,0,0,0,0,25,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,25,0,0,0,0,25,4.000,0,0,0,0,0,25,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-111-M99,21,1,0,1,0,23,3.826,0,0,0,0,0,23,SILKWOOD C
"",91.30%,4.35%,0.00%,4.35%,0.00%,,,,,,,,,
COURSE TOTAL:,21,1,0,1,0,23,3.826,0,0,0,0,0,23,
"",91.30%,4.35%,0.00%,4.35%,0.00%,,,,,,,,,
VIBS-602-601,7,9,0,0,0,16,3.437,0,0,0,1,0,17,JOHNSON G
"",43.75%,56.25%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,9,0,0,0,16,3.437,0,0,0,1,0,17,
"",43.75%,56.25%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-604-604,15,1,0,0,0,16,3.937,0,0,0,0,0,16,AROSH J
"",93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,1,0,0,0,16,3.937,0,0,0,0,0,16,
"",93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-608-600,8,6,3,0,0,17,3.294,0,0,0,0,0,17,NORMAN K
"",47.06%,35.29%,17.65%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,6,3,0,0,17,3.294,0,0,0,0,0,17,
"",47.06%,35.29%,17.65%,0.00%,0.00%,,,,,,,,,
VIBS-617-603,6,0,0,0,0,6,4.000,0,0,0,0,0,6,LI Q
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-627-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,BURGHARDT R
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-641-600,7,4,0,0,0,11,3.636,0,0,0,0,0,11,CHIU W
"",63.64%,36.36%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,4,0,0,0,11,3.636,0,0,0,0,0,11,
"",63.64%,36.36%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-650-601,39,1,1,0,0,41,3.926,0,0,0,0,0,41,RIJNKELS M
"",95.12%,2.44%,2.44%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,39,1,1,0,0,41,3.926,0,0,0,0,0,41,
"",95.12%,2.44%,2.44%,0.00%,0.00%,,,,,,,,,
VIBS-655-601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HARTBERG Y
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-657-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,HARTBERG Y
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-688-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,MBAH M
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.800,0,0,0,0,0,5,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-689-601,4,5,1,0,0,10,3.300,0,0,0,0,0,10,WILSON P
"",40.00%,50.00%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,5,1,0,0,10,3.300,0,0,0,0,0,10,
"",40.00%,50.00%,10.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,129,30,5,1,0,165,3.640,0,0,0,1,0,166
"",78.18%,18.18%,3.03%,0.61%,0.00%,,,,,,,,
VLCS-485-503,8,0,0,0,0,8,4.000,0,0,0,0,0,8,COHEN N
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-285-508,17,1,0,0,0,18,3.947,0,0,0,0,0,18,BLUE MCLENDON A
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,1,0,0,0,18,3.947,0,0,0,0,0,18,
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-485-508,27,0,0,0,0,27,4.000,1,0,0,0,0,28,BLUE MCLENDON A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-485-509,16,0,0,0,0,16,4.000,0,0,0,0,0,16,BLUE MCLENDON A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,43,0,0,0,0,43,4.000,1,0,0,0,0,44,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-619-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,PHILLIPS T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-625-600,8,6,1,0,0,15,3.466,1,0,0,4,0,20,HERMAN J
"",53.33%,40.00%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,6,1,0,0,15,3.466,1,0,0,4,0,20,
"",53.33%,40.00%,6.67%,0.00%,0.00%,,,,,,,,,
VTPP-673-600,3,5,0,0,0,8,3.375,0,0,0,0,0,8,SAFE S
"",37.50%,62.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,5,0,0,0,8,3.375,0,0,0,0,0,8,
"",37.50%,62.50%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,76,12,1,0,0,89,3.786,2,0,0,4,0,95
"",85.39%,13.48%,1.12%,0.00%,0.00%,,,,,,,,
VTMI-636-600,15,3,1,0,0,19,3.736,1,0,0,3,0,23,SUBASHCHANDRABOSE S
"",78.95%,15.79%,5.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,3,1,0,0,19,3.736,1,0,0,3,0,23,
"",78.95%,15.79%,5.26%,0.00%,0.00%,,,,,,,,,
VTMI-649-600,20,16,3,2,0,41,3.317,0,0,0,7,0,48,FARNELL M
"",48.78%,39.02%,7.32%,4.88%,0.00%,,,,,,,,,
COURSE TOTAL:,20,16,3,2,0,41,3.317,0,0,0,7,0,48,
"",48.78%,39.02%,7.32%,4.88%,0.00%,,,,,,,,,
VTPB-303-950,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BRIGHTSMITH D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,0,0,0,0,10,4.000,0,0,0,0,0,10,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPB-411-550,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BRIGHTSMITH D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
