EDAD-603-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,SALAZAR C
"",77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,2,0,0,0,9,3.777,0,0,0,0,0,9,
"",77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-608-700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,HOLLEY S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-609-700,23,0,0,0,0,23,4.000,0,0,0,0,0,23,FAHRENWALD C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,0,0,0,0,23,4.000,0,0,0,0,0,23,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-610-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,PUGH D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,0,0,0,0,10,4.000,0,0,0,0,0,10,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-611-602,16,0,0,0,0,16,4.000,0,0,0,0,0,16,PUGH D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-612-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,LECHUGA V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-617-600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,JAMES GALLAWAY C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4.000,0,0,0,0,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-620-600,4,0,0,1,0,5,3.400,1,0,0,0,0,6,BOWEN D
"",80.00%,0.00%,0.00%,20.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,0,0,1,0,5,3.400,1,0,0,0,0,6,
"",80.00%,0.00%,0.00%,20.00%,0.00%,,,,,,,,,
EDAD-629-600,17,0,0,0,0,17,4.000,1,0,0,0,0,18,STANLEY C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,0,0,0,0,17,4.000,1,0,0,0,0,18,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-637-700,14,3,0,0,0,17,3.823,0,0,0,0,0,17,WEBB-JOHNSON G
"",82.35%,17.65%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,3,0,0,0,17,3.823,0,0,0,0,0,17,
"",82.35%,17.65%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-638-700,16,0,0,0,0,16,4.000,0,0,0,0,0,16,WEBB-JOHNSON G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-650-600,17,1,0,0,0,18,3.944,0,0,0,0,2,20,STANLEY C
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,1,0,0,0,18,3.944,0,0,0,0,2,20,
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-651-600,14,2,0,0,0,16,3.875,0,0,0,0,0,16,SAAVEDRA A
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,2,0,0,0,16,3.875,0,0,0,0,0,16,
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-653-601,14,0,0,0,0,14,4.000,0,0,0,0,0,14,MADSEN J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,0,0,0,0,14,4.000,0,0,0,0,0,14,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-658-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,ROBERTS D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
