ACCT-209-599,102,304,250,65,20,741,2.543,0,0,0,147,0,888,FOSTER C
"",13.77%,41.03%,33.74%,8.77%,2.70%,,,,,,,,,
COURSE TOTAL:,102,304,250,65,20,741,2.543,0,0,0,147,0,888,
"",13.77%,41.03%,33.74%,8.77%,2.70%,,,,,,,,,
ACCT-210-599,143,83,13,6,1,246,3.467,0,0,0,2,0,248,FARMER K
"",58.13%,33.74%,5.28%,2.44%,0.41%,,,,,,,,,
ACCT-210-700,4,1,0,0,0,5,3.800,0,0,0,0,0,5,FARMER K
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,147,84,13,6,1,251,3.474,0,0,0,2,0,253,
"",58.57%,33.47%,5.18%,2.39%,0.40%,,,,,,,,,
ACCT-229-200,10,8,0,0,0,18,3.555,0,0,0,1,0,19,KNOOP J
"",55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-229-202,15,7,1,3,0,26,3.307,0,0,0,1,0,27,KNOOP J
"",57.69%,26.92%,3.85%,11.54%,0.00%,,,,,,,,,
ACCT-229-501,27,21,22,10,2,82,2.743,0,0,0,10,0,92,BARRETT J
"",32.93%,25.61%,26.83%,12.20%,2.44%,,,,,,,,,
ACCT-229-502,24,33,17,11,0,85,2.823,0,0,0,10,0,95,BARRETT J
"",28.24%,38.82%,20.00%,12.94%,0.00%,,,,,,,,,
ACCT-229-503,19,25,24,6,1,75,2.733,0,0,0,16,0,91,BARRETT J
"",25.33%,33.33%,32.00%,8.00%,1.33%,,,,,,,,,
ACCT-229-504,11,20,18,13,3,65,2.353,0,0,0,22,0,87,HEAD M
"",16.92%,30.77%,27.69%,20.00%,4.62%,,,,,,,,,
ACCT-229-505,40,21,16,7,2,86,3.046,0,0,0,9,0,95,KNOOP J
"",46.51%,24.42%,18.60%,8.14%,2.33%,,,,,,,,,
ACCT-229-506,25,25,22,10,4,86,2.662,0,0,0,8,0,94,ARNOSKY C
"",29.07%,29.07%,25.58%,11.63%,4.65%,,,,,,,,,
ACCT-229-507,16,26,30,9,2,83,2.542,0,0,0,12,0,95,ARNOSKY C
"",19.28%,31.33%,36.14%,10.84%,2.41%,,,,,,,,,
ACCT-229-508,8,27,24,12,5,76,2.276,1,0,0,18,0,95,ARNOSKY C
"",10.53%,35.53%,31.58%,15.79%,6.58%,,,,,,,,,
COURSE TOTAL:,195,213,174,81,19,682,2.709,1,0,0,107,0,790,
"",28.59%,31.23%,25.51%,11.88%,2.79%,,,,,,,,,
ACCT-230-201,9,9,1,0,0,19,3.421,0,0,0,0,0,19,ALLEN N
"",47.37%,47.37%,5.26%,0.00%,0.00%,,,,,,,,,
ACCT-230-501,32,61,34,9,0,136,2.852,0,0,0,10,0,146,ALLEN N
"",23.53%,44.85%,25.00%,6.62%,0.00%,,,,,,,,,
ACCT-230-502,94,145,87,18,2,346,2.898,0,0,0,33,0,379,ALLEN N
"",27.17%,41.91%,25.14%,5.20%,0.58%,,,,,,,,,
COURSE TOTAL:,135,215,122,27,2,501,2.906,0,0,0,43,0,544,
"",26.95%,42.91%,24.35%,5.39%,0.40%,,,,,,,,,
ACCT-321-500,208,0,0,0,0,208,4.000,0,0,0,0,0,208,KYLLONEN C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,208,0,0,0,0,208,4.000,0,0,0,0,0,208,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-322-500,61,4,1,0,0,66,3.909,0,0,0,1,0,67,RHOME C
"",92.42%,6.06%,1.52%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,61,4,1,0,0,66,3.909,0,0,0,1,0,67,
"",92.42%,6.06%,1.52%,0.00%,0.00%,,,,,,,,,
ACCT-327-500,6,12,15,1,0,34,2.676,0,0,0,3,0,37,STUBER S
"",17.65%,35.29%,44.12%,2.94%,0.00%,,,,,,,,,
ACCT-327-501,6,20,11,0,0,37,2.864,1,0,0,1,0,39,STUBER S
"",16.22%,54.05%,29.73%,0.00%,0.00%,,,,,,,,,
ACCT-327-502,9,14,10,1,1,35,2.828,0,0,0,3,0,38,STUBER S
"",25.71%,40.00%,28.57%,2.86%,2.86%,,,,,,,,,
ACCT-327-503,9,8,15,2,1,35,2.628,0,0,0,4,0,39,BLUM E
"",25.71%,22.86%,42.86%,5.71%,2.86%,,,,,,,,,
ACCT-327-504,7,15,7,1,1,31,2.838,0,0,0,9,0,40,BLUM E
"",22.58%,48.39%,22.58%,3.23%,3.23%,,,,,,,,,
ACCT-327-505,5,12,10,7,1,35,2.371,0,0,0,7,0,42,BLUM E
"",14.29%,34.29%,28.57%,20.00%,2.86%,,,,,,,,,
ACCT-327-506,10,9,8,2,0,29,2.931,0,0,0,8,0,37,LARKIN R
"",34.48%,31.03%,27.59%,6.90%,0.00%,,,,,,,,,
ACCT-327-507,10,12,7,1,1,31,2.935,0,0,0,7,0,38,LARKIN R
"",32.26%,38.71%,22.58%,3.23%,3.23%,,,,,,,,,
ACCT-327-508,7,11,10,4,0,32,2.656,0,0,0,6,0,38,LARKIN R
"",21.88%,34.38%,31.25%,12.50%,0.00%,,,,,,,,,
ACCT-327-509,12,13,6,5,0,36,2.888,0,0,0,2,0,38,CLINE K
"",33.33%,36.11%,16.67%,13.89%,0.00%,,,,,,,,,
ACCT-327-510,10,11,13,0,0,34,2.911,0,0,0,4,0,38,CLINE K
"",29.41%,32.35%,38.24%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,91,137,112,24,5,369,2.772,1,0,0,54,0,424,
"",24.66%,37.13%,30.35%,6.50%,1.36%,,,,,,,,,
ACCT-328-501,8,7,6,0,0,21,3.095,0,0,0,1,0,22,WANG D
"",38.10%,33.33%,28.57%,0.00%,0.00%,,,,,,,,,
ACCT-328-502,9,7,5,0,0,21,3.190,0,0,0,1,0,22,WANG D
"",42.86%,33.33%,23.81%,0.00%,0.00%,,,,,,,,,
ACCT-328-503,4,9,4,1,0,18,2.888,0,0,0,0,0,18,JIN H
"",22.22%,50.00%,22.22%,5.56%,0.00%,,,,,,,,,
ACCT-328-504,9,8,3,1,0,21,3.190,0,0,0,1,0,22,GROSSMAN S
"",42.86%,38.10%,14.29%,4.76%,0.00%,,,,,,,,,
ACCT-328-505,7,13,1,1,0,22,3.181,0,0,0,1,0,23,GROSSMAN S
"",31.82%,59.09%,4.55%,4.55%,0.00%,,,,,,,,,
ACCT-328-506,9,5,5,0,0,19,3.210,0,0,0,4,0,23,GROSSMAN S
"",47.37%,26.32%,26.32%,0.00%,0.00%,,,,,,,,,
ACCT-328-507,10,6,4,2,0,22,3.090,0,0,0,1,0,23,HARDING M
"",45.45%,27.27%,18.18%,9.09%,0.00%,,,,,,,,,
ACCT-328-508,10,9,2,0,0,21,3.380,0,0,0,0,0,21,HARDING M
"",47.62%,42.86%,9.52%,0.00%,0.00%,,,,,,,,,
ACCT-328-509,11,6,2,0,1,20,3.300,0,0,0,2,0,22,JIN H
"",55.00%,30.00%,10.00%,0.00%,5.00%,,,,,,,,,
ACCT-328-510,12,8,2,0,0,22,3.454,0,0,0,0,0,22,HARDING M
"",54.55%,36.36%,9.09%,0.00%,0.00%,,,,,,,,,
ACCT-328-511,6,11,2,1,0,20,3.100,0,0,0,2,0,22,JIN H
"",30.00%,55.00%,10.00%,5.00%,0.00%,,,,,,,,,
COURSE TOTAL:,95,89,36,6,1,227,3.193,0,0,0,13,0,240,
"",41.85%,39.21%,15.86%,2.64%,0.44%,,,,,,,,,
ACCT-329-501,124,34,4,0,0,162,3.740,0,0,0,0,0,162,FARMER K
"",76.54%,20.99%,2.47%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,124,34,4,0,0,162,3.740,0,0,0,0,0,162,
"",76.54%,20.99%,2.47%,0.00%,0.00%,,,,,,,,,
ACCT-405-501,12,12,6,0,0,30,3.200,0,0,0,0,0,30,LASSILA D
"",40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,,,
ACCT-405-502,16,18,0,0,0,34,3.470,0,0,0,1,0,35,LASSILA D
"",47.06%,52.94%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-405-503,11,16,2,1,0,30,3.233,0,0,0,0,0,30,MCGUIRE S
"",36.67%,53.33%,6.67%,3.33%,0.00%,,,,,,,,,
ACCT-405-504,12,11,5,0,0,28,3.250,0,0,0,0,0,28,MCGUIRE S
"",42.86%,39.29%,17.86%,0.00%,0.00%,,,,,,,,,
ACCT-405-505,15,15,5,0,0,35,3.285,0,0,0,0,0,35,XIA J
"",42.86%,42.86%,14.29%,0.00%,0.00%,,,,,,,,,
ACCT-405-506,11,18,3,2,1,35,3.028,0,0,0,0,0,35,XIA J
"",31.43%,51.43%,8.57%,5.71%,2.86%,,,,,,,,,
ACCT-405-507,8,23,7,0,0,38,3.026,0,0,0,0,0,38,XIA J
"",21.05%,60.53%,18.42%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,85,113,28,3,1,230,3.208,0,0,0,1,0,231,
"",36.96%,49.13%,12.17%,1.30%,0.43%,,,,,,,,,
ACCT-407-901,9,9,5,0,0,23,3.173,0,0,0,1,0,24,RANZILLA S
"",39.13%,39.13%,21.74%,0.00%,0.00%,,,,,,,,,
ACCT-407-902,8,14,4,0,1,27,3.037,0,0,0,1,0,28,RANZILLA S
"",29.63%,51.85%,14.81%,0.00%,3.70%,,,,,,,,,
COURSE TOTAL:,17,23,9,0,1,50,3.100,0,0,0,2,0,52,
"",34.00%,46.00%,18.00%,0.00%,2.00%,,,,,,,,,
ACCT-408-501,16,0,0,0,0,16,4.000,0,0,0,0,0,16,HEAD M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-410-500,15,7,1,0,0,23,3.608,0,0,0,0,0,23,HEAD M
"",65.22%,30.43%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,7,1,0,0,23,3.608,0,0,0,0,0,23,
"",65.22%,30.43%,4.35%,0.00%,0.00%,,,,,,,,,
ACCT-421-931,40,1,0,0,0,41,3.975,0,0,0,0,0,41,HURTA A
"",97.56%,2.44%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-421-932,40,0,0,0,0,40,4.000,0,0,0,0,0,40,HURTA A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-421-933,41,0,0,0,0,41,4.000,0,0,0,0,0,41,HURTA A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,121,1,0,0,0,122,3.991,0,0,0,0,0,122,
"",99.18%,0.82%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-427-501,13,22,4,0,0,39,3.230,0,0,0,0,0,39,BLASOR T
"",33.33%,56.41%,10.26%,0.00%,0.00%,,,,,,,,,
ACCT-427-502,17,20,1,1,0,39,3.358,0,0,0,1,0,40,BLASOR T
"",43.59%,51.28%,2.56%,2.56%,0.00%,,,,,,,,,
ACCT-427-503,13,19,5,2,0,39,3.102,0,0,0,1,0,40,BLASOR T
"",33.33%,48.72%,12.82%,5.13%,0.00%,,,,,,,,,
ACCT-427-504,21,14,1,0,0,36,3.555,0,0,0,0,0,36,DIAZ M
"",58.33%,38.89%,2.78%,0.00%,0.00%,,,,,,,,,
ACCT-427-505,19,13,6,0,1,39,3.256,0,0,0,1,0,40,DIAZ M
"",48.72%,33.33%,15.38%,0.00%,2.56%,,,,,,,,,
ACCT-427-506,19,12,5,0,0,36,3.388,0,0,0,1,0,37,DIAZ M
"",52.78%,33.33%,13.89%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,102,100,22,3,1,228,3.311,0,0,0,4,0,232,
"",44.74%,43.86%,9.65%,1.32%,0.44%,,,,,,,,,
ACCT-445-599,60,0,1,0,0,61,3.967,0,0,0,0,0,61,CLINE K
"",98.36%,0.00%,1.64%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,60,0,1,0,0,61,3.967,0,0,0,0,0,61,
"",98.36%,0.00%,1.64%,0.00%,0.00%,,,,,,,,,
ACCT-447-500,7,1,0,0,0,8,3.875,0,0,0,0,0,8,FELDMAN M
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,1,0,0,0,8,3.875,0,0,0,0,0,8,
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-615-600,38,2,0,0,0,40,3.950,0,0,0,0,0,40,LARKIN R
"",95.00%,5.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,38,2,0,0,0,40,3.950,0,0,0,0,0,40,
"",95.00%,5.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-620-602,27,6,0,0,0,33,3.818,0,0,0,0,0,33,KINNEY M
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-620-651,16,5,0,0,0,21,3.761,0,0,0,0,0,21,KINNEY M
"",76.19%,23.81%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-620-751,3,3,0,0,0,6,3.500,0,0,0,0,0,6,KINNEY M
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,46,14,0,0,0,60,3.766,0,0,0,0,0,60,
"",76.67%,23.33%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-640-698,24,26,0,0,0,50,3.480,0,0,0,11,0,61,FOSTER C
"",48.00%,52.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-640-699,126,23,3,1,0,153,3.790,0,0,0,4,0,157,FOSTER C
"",82.35%,15.03%,1.96%,0.65%,0.00%,,,,,,,,,
ACCT-640-700,5,4,0,0,0,9,3.555,0,0,0,1,0,10,FOSTER C
"",55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,155,53,3,1,0,212,3.707,0,0,0,16,0,228,
