ARTS-103-501,8,1,0,0,0,9,3.888,0,0,0,0,0,9,PUGH R
"",88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,1,0,0,0,9,3.888,0,0,0,0,0,9,
"",88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
ARTS-104-501,13,5,0,0,0,18,3.722,0,0,0,0,0,18,GOODMAN J
"",72.22%,27.78%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,5,0,0,0,18,3.722,0,0,0,0,0,18,
"",72.22%,27.78%,0.00%,0.00%,0.00%,,,,,,,,,
ARTS-149-501,13,4,3,0,0,20,3.500,0,0,0,0,0,20,SUTHERLAND S
"",65.00%,20.00%,15.00%,0.00%,0.00%,,,,,,,,,
ARTS-149-502,75,42,14,3,1,135,3.385,0,0,0,5,0,140,SUTHERLAND S
"",55.56%,31.11%,10.37%,2.22%,0.74%,,,,,,,,,
ARTS-149-702,50,17,2,0,1,70,3.642,0,0,0,0,0,70,SUTHERLAND S
"",71.43%,24.29%,2.86%,0.00%,1.43%,,,,,,,,,
ARTS-149-703,37,7,2,2,1,49,3.571,0,0,0,2,0,51,SUTHERLAND S
"",75.51%,14.29%,4.08%,4.08%,2.04%,,,,,,,,,
ARTS-149-704,10,5,1,2,0,18,3.277,0,0,0,1,0,19,SUTHERLAND S
"",55.56%,27.78%,5.56%,11.11%,0.00%,,,,,,,,,
COURSE TOTAL:,185,75,22,7,3,292,3.479,0,0,0,8,0,300,
"",63.36%,25.68%,7.53%,2.40%,1.03%,,,,,,,,,
ARTS-150-201,6,1,0,0,0,7,3.857,0,0,0,0,0,7,LEIDERMAN D
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
ARTS-150-501,12,1,0,0,0,13,3.923,0,0,0,0,0,13,LEIDERMAN D
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
ARTS-150-502,54,34,11,3,4,106,3.235,0,0,0,7,0,113,LEIDERMAN D
"",50.94%,32.08%,10.38%,2.83%,3.77%,,,,,,,,,
