LAW-603-601,2,3,2,0,0,7,3.000,1,0,0,0,0,8,MORMANN F
"",28.57%,42.86%,28.57%,0.00%,0.00%,,,,,,,,,
LAW-603-602,5,5,0,0,0,10,3.500,0,0,0,0,0,10,HENNING W
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-603-603,4,5,0,0,0,9,3.444,0,0,0,0,0,9,BURGE M
"",44.44%,55.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,13,2,0,0,26,3.346,1,0,0,0,0,27,
"",42.31%,50.00%,7.69%,0.00%,0.00%,,,,,,,,,
LAW-605-602,5,3,0,0,0,8,3.625,1,0,0,0,0,9,SHORT A
"",62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,3,0,0,0,8,3.625,1,0,0,0,0,9,
"",62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-611-601,6,5,1,0,0,12,3.416,2,0,0,0,0,14,GORDON R
"",50.00%,41.67%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,5,1,0,0,12,3.416,2,0,0,0,0,14,
"",50.00%,41.67%,8.33%,0.00%,0.00%,,,,,,,,,
LAW-612-601,4,8,5,0,0,17,2.941,0,0,0,0,0,17,MARKOVIC M
"",23.53%,47.06%,29.41%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,8,5,0,0,17,2.941,0,0,0,0,0,17,
"",23.53%,47.06%,29.41%,0.00%,0.00%,,,,,,,,,
LAW-615-701,17,12,1,0,0,30,3.533,0,0,0,1,0,31,MOORE C
"",56.67%,40.00%,3.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,12,1,0,0,30,3.533,0,0,0,1,0,31,
"",56.67%,40.00%,3.33%,0.00%,0.00%,,,,,,,,,
LAW-618-711,14,11,0,0,0,25,3.560,0,0,0,1,0,26,MARLETT D
"",56.00%,44.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-618-712,13,8,0,0,2,23,3.304,0,0,0,0,0,23,MARLETT D
"",56.52%,34.78%,0.00%,0.00%,8.70%,,,,,,,,,
COURSE TOTAL:,27,19,0,0,2,48,3.437,0,0,0,1,0,49,
"",56.25%,39.58%,0.00%,0.00%,4.17%,,,,,,,,,
LAW-619-701,28,4,0,0,0,32,3.875,1,0,0,0,0,33,BURT J
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,4,0,0,0,32,3.875,1,0,0,0,0,33,
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-620-701,7,0,0,0,0,7,4.000,0,0,0,2,0,9,DA SILVA B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,2,0,9,
