VMID-686-600,45,0,0,0,0,45,4.000,0,0,0,0,0,45,JOHNSON G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,45,0,0,0,0,45,4.000,0,0,0,0,0,45,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,45,0,0,0,0,45,4.000,0,0,0,0,0,45,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-602-601,18,3,1,0,0,22,3.772,0,0,0,0,0,22,KNEESE D
"",81.82%,13.64%,4.55%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,3,1,0,0,22,3.772,0,0,0,0,0,22,
"",81.82%,13.64%,4.55%,0.00%,0.00%,,,,,,,,,
VIBS-609-601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,LI Q
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-611-600,3,6,2,0,0,11,3.090,0,0,0,0,0,11,PORTER W
"",27.27%,54.55%,18.18%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,6,2,0,0,11,3.090,0,0,0,0,0,11,
"",27.27%,54.55%,18.18%,0.00%,0.00%,,,,,,,,,
VIBS-619-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,PHILLIPS T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-622-600,18,0,0,0,0,18,4.000,0,0,0,0,0,18,AROSH S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,0,0,0,0,18,4.000,0,0,0,0,0,18,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-626-601,5,0,0,0,0,5,4.000,0,0,0,0,0,5,HAMER S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-645-600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,RUSYN I
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,1,0,0,0,6,3.833,0,0,0,0,0,6,
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-650-633,8,1,0,0,0,9,3.888,0,0,0,0,0,9,RIJNKELS M
"",88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,1,0,0,0,9,3.888,0,0,0,0,0,9,
"",88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-658-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HARTBERG Y
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-665-600,6,2,0,0,0,8,3.750,0,0,0,0,0,8,GASTEL B
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,2,0,0,0,8,3.750,0,0,0,0,0,8,
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-670-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,RUSYN I
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-689-600,2,4,0,0,0,6,3.333,1,0,0,0,0,7,CAI J
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,4,0,0,0,6,3.333,1,0,0,0,0,7,
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,89,19,3,0,0,111,3.784,1,0,0,0,0,112
"",80.18%,17.12%,2.70%,0.00%,0.00%,,,,,,,,
VLCS-601-600,31,2,0,0,0,33,3.939,0,0,0,0,0,33,COHEN N
"",93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,31,2,0,0,0,33,3.939,0,0,0,0,0,33,
"",93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,31,2,0,0,0,33,3.939,0,0,0,0,0,33,
"",93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-208-500,65,0,0,0,0,65,4.000,0,0,0,1,0,66,LYONS L
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,65,0,0,0,0,65,4.000,0,0,0,1,0,66,
