AGCJ-306-700,28,6,4,0,0,38,3.631,0,0,0,0,0,38,DUNSFORD D
"",73.68%,15.79%,10.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,6,4,0,0,38,3.631,0,0,0,0,0,38,
"",73.68%,15.79%,10.53%,0.00%,0.00%,,,,,,,,,
AGCJ-307-700,15,9,2,1,2,29,3.172,0,0,0,1,0,30,PEDIGO M
"",51.72%,31.03%,6.90%,3.45%,6.90%,,,,,,,,,
COURSE TOTAL:,15,9,2,1,2,29,3.172,0,0,0,1,0,30,
"",51.72%,31.03%,6.90%,3.45%,6.90%,,,,,,,,,
AGSC-380-201,10,1,0,0,0,11,3.909,0,0,0,0,0,11,LUND R
"",90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,1,0,0,0,11,3.909,0,0,0,0,0,11,
"",90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-425-700,21,4,3,0,0,28,3.642,0,0,0,0,0,28,BYCE C
"",75.00%,14.29%,10.71%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,4,3,0,0,28,3.642,0,0,0,0,0,28,
"",75.00%,14.29%,10.71%,0.00%,0.00%,,,,,,,,,
ALEC-494-310,15,0,0,0,0,15,4.000,0,0,0,0,0,15,CUMMINGS S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-494-360,29,0,0,0,0,29,4.000,0,0,0,0,0,29,CUMMINGS S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,44,0,0,0,0,44,4.000,0,0,0,0,0,44,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-606-700,24,7,0,0,0,31,3.774,0,0,0,0,0,31,MOORE L
"",77.42%,22.58%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,7,0,0,0,31,3.774,0,0,0,0,0,31,
"",77.42%,22.58%,0.00%,0.00%,0.00%,,,,,,,,,
ALEC-618-700,21,5,5,0,0,31,3.516,0,0,0,0,0,31,STRONG J
"",67.74%,16.13%,16.13%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,5,5,0,0,31,3.516,0,0,0,0,0,31,
"",67.74%,16.13%,16.13%,0.00%,0.00%,,,,,,,,,
ALEC-695-701,13,4,2,0,0,19,3.578,0,0,0,0,0,19,QUIJADA LANDAVERDE
"",68.42%,21.05%,10.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,4,2,0,0,19,3.578,0,0,0,0,0,19,
"",68.42%,21.05%,10.53%,0.00%,0.00%,,,,,,,,,
ALED-202-700,50,6,2,0,0,58,3.827,0,0,0,0,0,58,NELSON C
"",86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,50,6,2,0,0,58,3.827,0,0,0,0,0,58,
"",86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,,,
ALED-301-700,35,4,1,0,0,40,3.850,0,0,0,0,0,40,ODOM S
"",87.50%,10.00%,2.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,35,4,1,0,0,40,3.850,0,0,0,0,0,40,
"",87.50%,10.00%,2.50%,0.00%,0.00%,,,,,,,,,
ALED-340-700,3,17,3,0,0,23,3.000,0,0,0,1,0,24,MOORE L
"",13.04%,73.91%,13.04%,0.00%,0.00%,,,,,,,,,
ALED-340-932,11,14,5,0,0,30,3.200,0,0,0,1,0,31,DUNN A
"",36.67%,46.67%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,31,8,0,0,53,3.113,0,0,0,2,0,55,
"",26.42%,58.49%,15.09%,0.00%,0.00%,,,,,,,,,
ALED-344-700,25,7,5,0,0,37,3.540,0,0,0,0,0,37,LOCKETT L
"",67.57%,18.92%,13.51%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,7,5,0,0,37,3.540,0,0,0,0,0,37,
"",67.57%,18.92%,13.51%,0.00%,0.00%,,,,,,,,,
ALED-422-700,32,1,5,0,1,39,3.615,0,0,0,0,0,39,ELBERT C
"",82.05%,2.56%,12.82%,0.00%,2.56%,,,,,,,,,
COURSE TOTAL:,32,1,5,0,1,39,3.615,0,0,0,0,0,39,
"",82.05%,2.56%,12.82%,0.00%,2.56%,,,,,,,,,
ALED-424-700,22,15,2,1,1,41,3.365,0,0,0,2,0,43,BOYD B
"",53.66%,36.59%,4.88%,2.44%,2.44%,,,,,,,,,
COURSE TOTAL:,22,15,2,1,1,41,3.365,0,0,0,2,0,43,
"",53.66%,36.59%,4.88%,2.44%,2.44%,,,,,,,,,
ALED-440-700,15,19,7,0,2,43,3.046,0,0,0,4,0,47,PRESTON T
"",34.88%,44.19%,16.28%,0.00%,4.65%,,,,,,,,,
COURSE TOTAL:,15,19,7,0,2,43,3.046,0,0,0,4,0,47,
"",34.88%,44.19%,16.28%,0.00%,4.65%,,,,,,,,,
ALED-481-700,22,14,7,0,0,43,3.348,0,0,0,0,0,43,STRONG J
"",51.16%,32.56%,16.28%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,14,7,0,0,43,3.348,0,0,0,0,0,43,
"",51.16%,32.56%,16.28%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,391,133,53,2,6,585,3.554,0,0,0,9,0,594
"",66.84%,22.74%,9.06%,0.34%,1.03%,,,,,,,,
AGEC-314-100,6,2,1,0,0,9,3.555,0,0,0,0,0,9,WEBER K
"",66.67%,22.22%,11.11%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,2,1,0,0,9,3.555,0,0,0,0,0,9,
"",66.67%,22.22%,11.11%,0.00%,0.00%,,,,,,,,,
AGEC-317-100,13,4,0,0,0,17,3.764,0,0,0,0,0,17,PARUM F
"",76.47%,23.53%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,4,0,0,0,17,3.764,0,0,0,0,0,17,
"",76.47%,23.53%,0.00%,0.00%,0.00%,,,,,,,,,
AGEC-324-100,7,4,3,0,0,14,3.285,0,0,0,0,0,14,SALDANA V
"",50.00%,28.57%,21.43%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,4,3,0,0,14,3.285,0,0,0,0,0,14,
"",50.00%,28.57%,21.43%,0.00%,0.00%,,,,,,,,,
AGEC-325-200,5,11,7,2,0,25,2.760,0,0,0,0,0,25,HYDE J
"",20.00%,44.00%,28.00%,8.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,11,7,2,0,25,2.760,0,0,0,0,0,25,
"",20.00%,44.00%,28.00%,8.00%,0.00%,,,,,,,,,
AGEC-330-399,21,21,5,0,0,47,3.340,0,0,0,0,0,47,LEATHAM D
"",44.68%,44.68%,10.64%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,21,5,0,0,47,3.340,0,0,0,0,0,47,
"",44.68%,44.68%,10.64%,0.00%,0.00%,,,,,,,,,
AGEC-485-201,21,0,0,0,0,21,4.000,0,0,0,0,0,21,SPRINGFIELD H
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,0,0,0,0,21,4.000,0,0,0,0,0,21,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGEC-489-150,16,3,0,0,0,19,3.842,0,0,0,1,0,20,THOMAS-WINSTON C
"",84.21%,15.79%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,3,0,0,0,19,3.842,0,0,0,1,0,20,
"",84.21%,15.79%,0.00%,0.00%,0.00%,,,,,,,,,
AGLS-235-200,29,28,7,2,0,66,3.272,0,0,0,0,0,66,KILMER N
"",43.94%,42.42%,10.61%,3.03%,0.00%,,,,,,,,,
AGLS-235-700,93,21,6,0,1,121,3.694,0,0,0,0,0,121,ROACH D
"",76.86%,17.36%,4.96%,0.00%,0.83%,,,,,,,,,
COURSE TOTAL:,122,49,13,2,1,187,3.545,0,0,0,0,0,187,
"",65.24%,26.20%,6.95%,1.07%,0.53%,,,,,,,,,
AGLS-435-700,23,21,3,0,1,48,3.354,0,0,0,0,0,48,MOORE C
