ARCH-249-700,19,8,4,0,1,32,3.375,0,0,0,1,0,33,CAFFEY S
"",59.38%,25.00%,12.50%,0.00%,3.13%,,,,,,,,,
COURSE TOTAL:,19,8,4,0,1,32,3.375,0,0,0,1,0,33,
"",59.38%,25.00%,12.50%,0.00%,3.13%,,,,,,,,,
ARCH-250-700,25,10,2,2,0,39,3.487,0,0,0,0,0,39,CAMPAGNOL G
"",64.10%,25.64%,5.13%,5.13%,0.00%,,,,,,,,,
COURSE TOTAL:,25,10,2,2,0,39,3.487,0,0,0,0,0,39,
"",64.10%,25.64%,5.13%,5.13%,0.00%,,,,,,,,,
ARCH-335-101,0,5,0,0,0,5,3.000,0,0,0,0,0,5,HABERL J
"",0.00%,100.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,0,5,0,0,0,5,3.000,0,0,0,0,0,5,
"",0.00%,100.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-406-101,21,0,0,0,0,21,4.000,0,0,0,0,0,21,TATE J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,0,0,0,0,21,4.000,0,0,0,0,0,21,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-603-300,4,3,3,0,0,10,3.100,0,0,0,0,0,10,ERMINY M
"",40.00%,30.00%,30.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,3,3,0,0,10,3.100,0,0,0,0,0,10,
"",40.00%,30.00%,30.00%,0.00%,0.00%,,,,,,,,,
ENDS-101-200,11,0,1,0,0,12,3.833,0,0,0,0,0,12,CAFFEY S
"",91.67%,0.00%,8.33%,0.00%,0.00%,,,,,,,,,
ENDS-101-700,69,9,0,2,0,80,3.812,0,0,0,2,0,82,BILLINGSLEY A
"",86.25%,11.25%,0.00%,2.50%,0.00%,,,,,,,,,
ENDS-101-G00,22,1,1,0,1,25,3.720,0,0,0,0,0,25,CAFFEY S
"",88.00%,4.00%,4.00%,0.00%,4.00%,,,,,,,,,
COURSE TOTAL:,102,10,2,2,1,117,3.794,0,0,0,2,0,119,
"",87.18%,8.55%,1.71%,1.71%,0.85%,,,,,,,,,
ENDS-105-100,12,1,2,3,0,18,3.222,0,0,0,0,0,18,DE LIMA VAZ XAVIER
"",66.67%,5.56%,11.11%,16.67%,0.00%,,,,,,,,,
COURSE TOTAL:,12,1,2,3,0,18,3.222,0,0,0,0,0,18,
"",66.67%,5.56%,11.11%,16.67%,0.00%,,,,,,,,,
ENDS-108-100,7,10,5,0,0,22,3.090,0,0,0,0,0,22,BORGES GONZALEZ A
"",31.82%,45.45%,22.73%,0.00%,0.00%,,,,,,,,,
ENDS-108-200,5,8,0,0,0,13,3.384,0,0,0,0,0,13,BORGES GONZALEZ A
"",38.46%,61.54%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,18,5,0,0,35,3.200,0,0,0,0,0,35,
"",34.29%,51.43%,14.29%,0.00%,0.00%,,,,,,,,,
ENDS-115-100,13,1,4,3,0,21,3.142,0,0,0,0,0,21,DE LIMA VAZ XAVIER
"",61.90%,4.76%,19.05%,14.29%,0.00%,,,,,,,,,
COURSE TOTAL:,13,1,4,3,0,21,3.142,0,0,0,0,0,21,
"",61.90%,4.76%,19.05%,14.29%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,208,56,22,10,2,298,3.515,0,0,0,3,0,301
"",69.80%,18.79%,7.38%,3.36%,0.67%,,,,,,,,
COSC-222-900,7,0,0,0,0,7,4.000,0,0,0,0,0,7,BOLDT G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-275-100,4,3,0,0,0,7,3.571,0,0,0,0,0,7,PALMER R
"",57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,3,0,0,0,7,3.571,0,0,0,0,0,7,
"",57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-301-101,12,14,4,0,0,30,3.266,0,0,0,0,0,30,HARTELL J
"",40.00%,46.67%,13.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,14,4,0,0,30,3.266,0,0,0,0,0,30,
"",40.00%,46.67%,13.33%,0.00%,0.00%,,,,,,,,,
COSC-326-199,22,77,16,0,0,115,3.052,0,0,0,0,0,115,CARLSON K
"",19.13%,66.96%,13.91%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,77,16,0,0,115,3.052,0,0,0,0,0,115,
"",19.13%,66.96%,13.91%,0.00%,0.00%,,,,,,,,,
COSC-375-200,4,30,15,0,0,49,2.775,0,0,0,0,0,49,BOLDT G
"",8.16%,61.22%,30.61%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,30,15,0,0,49,2.775,0,0,0,0,0,49,
"",8.16%,61.22%,30.61%,0.00%,0.00%,,,,,,,,,
COSC-421-100,9,9,3,0,0,21,3.285,0,0,0,0,0,21,DUDLEY D
"",42.86%,42.86%,14.29%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,9,3,0,0,21,3.285,0,0,0,0,0,21,
"",42.86%,42.86%,14.29%,0.00%,0.00%,,,,,,,,,
COSC-440-900,6,12,1,0,0,19,3.263,0,0,0,0,0,19,FLEMING D
"",31.58%,63.16%,5.26%,0.00%,0.00%,,,,,,,,,
COSC-440-901,17,5,1,0,0,23,3.695,0,0,0,0,0,23,COUSSONS D
"",73.91%,21.74%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,17,2,0,0,42,3.500,0,0,0,0,0,42,
"",54.76%,40.48%,4.76%,0.00%,0.00%,,,,,,,,,
COSC-461-101,18,2,0,0,0,20,3.900,0,0,0,1,0,21,SAKIB M
"",90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-461-200,6,2,0,0,0,8,3.750,0,0,0,0,0,8,SAKIB M
"",75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,4,0,0,0,28,3.857,0,0,0,1,0,29,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COSC-464-100,20,11,2,0,0,33,3.545,2,0,0,0,0,35,MCGOWAN A
"",60.61%,33.33%,6.06%,0.00%,0.00%,,,,,,,,,
COSC-464-101,27,6,1,0,0,34,3.764,0,0,0,0,0,34,MCGOWAN A
"",79.41%,17.65%,2.94%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,47,17,3,0,0,67,3.656,2,0,0,0,0,69,
"",70.15%,25.37%,4.48%,0.00%,0.00%,,,,,,,,,
COSC-465-200,12,6,2,0,0,20,3.500,0,0,0,0,0,20,COKINOS G
"",60.00%,30.00%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,6,2,0,0,20,3.500,0,0,0,0,0,20,
"",60.00%,30.00%,10.00%,0.00%,0.00%,,,,,,,,,
COSC-475-100,2,18,7,0,0,27,2.814,0,0,0,0,0,27,PALMER R
"",7.41%,66.67%,25.93%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,18,7,0,0,27,2.814,0,0,0,0,0,27,
"",7.41%,66.67%,25.93%,0.00%,0.00%,,,,,,,,,
COSC-477-100,9,12,9,2,0,32,2.875,0,0,0,0,0,32,FICKEL L
