ANTH-201-200,4,0,1,0,0,5,3.600,0,0,0,0,0,5,GURSKY S
"",80.00%,0.00%,20.00%,0.00%,0.00%,,,,,,,,,
ANTH-201-700,24,4,0,0,0,28,3.857,0,0,0,0,0,28,KHAUMYEN B
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
ANTH-201-G00,18,9,1,0,0,28,3.607,0,0,0,0,0,28,GURSKY S
"",64.29%,32.14%,3.57%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,46,13,2,0,0,61,3.721,0,0,0,0,0,61,
"",75.41%,21.31%,3.28%,0.00%,0.00%,,,,,,,,,
ANTH-205-200,4,0,0,1,0,5,3.400,0,0,0,0,0,5,THAKAR H
"",80.00%,0.00%,0.00%,20.00%,0.00%,,,,,,,,,
ANTH-205-700,5,14,17,4,1,41,2.439,0,0,0,2,0,43,ALVARD M
"",12.20%,34.15%,41.46%,9.76%,2.44%,,,,,,,,,
ANTH-205-G00,18,2,2,0,0,22,3.727,0,0,0,0,0,22,THAKAR H
"",81.82%,9.09%,9.09%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,16,19,5,1,68,2.926,0,0,0,2,0,70,
"",39.71%,23.53%,27.94%,7.35%,1.47%,,,,,,,,,
ANTH-210-199,58,31,4,1,1,95,3.515,0,0,0,0,0,95,LEMUS S
"",61.05%,32.63%,4.21%,1.05%,1.05%,,,,,,,,,
ANTH-210-200,12,0,0,0,0,12,4.000,0,0,0,0,0,12,PALOMINO BERROCAL R
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ANTH-210-G00,32,7,2,0,0,41,3.731,0,0,0,0,0,41,PALOMINO BERROCAL R
"",78.05%,17.07%,4.88%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,102,38,6,1,1,148,3.614,0,0,0,0,0,148,
"",68.92%,25.68%,4.05%,0.68%,0.68%,,,,,,,,,
ANTH-435-150,21,3,0,0,0,24,3.875,0,0,0,0,0,24,HOPKINS A
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,3,0,0,0,24,3.875,0,0,0,0,0,24,
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
