EDAD-608-700,16,0,0,0,0,16,4.000,0,0,0,0,0,16,FAHRENWALD C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-619-300,13,2,0,0,0,15,3.866,0,0,0,0,0,15,WEBB-JOHNSON G
"",86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,2,0,0,0,15,3.866,0,0,0,0,0,15,
"",86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-624-700,16,0,0,0,0,16,4.000,0,0,0,0,0,16,FAHRENWALD C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-625-300,18,0,2,0,0,20,3.800,0,0,0,0,0,20,POENITZSCH N
"",90.00%,0.00%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,0,2,0,0,20,3.800,0,0,0,0,0,20,
"",90.00%,0.00%,10.00%,0.00%,0.00%,,,,,,,,,
EDAD-635-700,16,0,0,0,0,16,4.000,0,0,0,0,0,16,WEBB-JOHNSON G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-669-100,9,0,0,0,0,9,4.000,1,0,0,0,0,10,BAILEY K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,1,0,0,0,0,10,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-689-200,9,0,0,0,0,9,4.000,0,0,0,1,0,10,PUGH D
